n,metric,observed,bootstrap_mean,bootstrap_median,q05,q95,empirical_p_value_greater_equal,interpretation
24,top10pct_lex_count,0.0,1.6305,2.0,0.0,4.0,1.0,comparable
24,top25pct_lex_count,0.0,4.005,4.0,1.0,7.0,1.0,weak
24,top10pct_U2_count,0.0,1.6305,2.0,0.0,4.0,1.0,comparable
24,top25pct_U2_count,0.0,4.005,4.0,1.0,7.0,1.0,weak
24,top10pct_PEEQ_count,0.0,1.6135,2.0,0.0,4.0,1.0,comparable
24,top25pct_PEEQ_count,0.0,4.0435,4.0,2.0,7.0,1.0,weak
24,top10pct_SurfaceT_count,3.0,1.5785,1.0,0.0,3.0,0.2065,comparable
24,top25pct_SurfaceT_count,5.0,3.987,4.0,1.0,7.0,0.3595,comparable
24,best_lex_rank,139.0,11.4065,8.0,1.0,32.0,1.0,weak
24,median_lex_rank,162.0,95.34875,95.5,61.0,129.5,1.0,weak
40,top10pct_lex_count,0.0,1.649,2.0,0.0,4.0,1.0,comparable
40,top25pct_lex_count,0.0,3.9875,4.0,1.9500000000000028,7.0,1.0,weak
40,top10pct_U2_count,0.0,1.649,2.0,0.0,4.0,1.0,comparable
40,top25pct_U2_count,0.0,3.9875,4.0,1.9500000000000028,7.0,1.0,weak
40,top10pct_PEEQ_count,0.0,1.6065,1.0,0.0,4.0,1.0,comparable
40,top25pct_PEEQ_count,0.0,3.9725,4.0,1.0,7.0,1.0,weak
40,top10pct_SurfaceT_count,0.0,1.6545,2.0,0.0,4.0,1.0,comparable
40,top25pct_SurfaceT_count,0.0,3.986,4.0,1.0,7.0,1.0,weak
40,best_lex_rank,165.0,12.2785,9.0,1.0,33.0,1.0,weak
40,median_lex_rank,172.0,103.3775,103.0,68.0,139.5,0.9995,weak
