family,n,family_count,v03_count,family_best_u2_range,family_median_u2_range,v03_best_u2_range,v03_median_u2_range,v03_best_beats_family_best_u2_range,v03_median_beats_family_median_u2_range,family_best_peeq_max,family_median_peeq_max,v03_best_peeq_max,v03_median_peeq_max,v03_best_beats_family_best_peeq_max,v03_median_beats_family_median_peeq_max,family_best_surface_t_proxy,family_median_surface_t_proxy,v03_best_surface_t_proxy,v03_median_surface_t_proxy,v03_best_beats_family_best_surface_t_proxy,v03_median_beats_family_median_surface_t_proxy,family_best_mises_max,family_median_mises_max,v03_best_mises_max,v03_median_mises_max,v03_best_beats_family_best_mises_max,v03_median_beats_family_median_mises_max
raster,24,1,16,0.0005523721708868,0.0005523721708868,0.0001702423680853,0.00027177957622365,True,True,0.1892502903938293,0.1892502903938293,0.1666601449251175,0.17386179417371744,True,True,587159872.0,587159872.0,581186176.0,582332512.0,True,True,579944256.0,579944256.0,579943936.0,579944832.0,True,False
raster,40,1,16,0.0015270577277988,0.0015270577277988,0.0007193772387381,0.0008975243688382,True,True,0.200013056397438,0.200013056397438,0.1566403955221176,0.16961321979761118,True,True,585953088.0,585953088.0,582840064.0,584022432.0,True,True,579928512.0,579928512.0,579925824.0,579926496.0,True,True
odd_even,24,16,16,8.360300034837564e-05,0.00020757473248520002,0.0001702423680853,0.00027177957622365,False,False,0.1496064215898513,0.15481503307819366,0.1666601449251175,0.17386179417371744,False,False,581204672.0,583085152.0,581186176.0,582332512.0,True,True,579943296.0,579944128.0,579943936.0,579944832.0,False,False
odd_even,40,16,16,0.0001595688736415,0.0006819835541591001,0.0007193772387381,0.0008975243688382,False,False,0.1440253555774688,0.1516208499670028,0.1566403955221176,0.16961321979761118,False,False,581541824.0,583446368.0,582840064.0,584022432.0,False,False,579924928.0,579926080.0,579925824.0,579926496.0,False,False
edge_in,24,1,16,0.0005255469384337,0.0005255469384337,0.0001702423680853,0.00027177957622365,True,True,0.1848475784063339,0.1848475784063339,0.1666601449251175,0.17386179417371744,True,True,590591168.0,590591168.0,581186176.0,582332512.0,True,True,579942784.0,579942784.0,579943936.0,579944832.0,False,False
edge_in,40,1,16,0.0016398808220401,0.0016398808220401,0.0007193772387381,0.0008975243688382,True,True,0.2005691230297088,0.2005691230297088,0.1566403955221176,0.16961321979761118,True,True,595556480.0,595556480.0,582840064.0,584022432.0,True,True,579926400.0,579926400.0,579925824.0,579926496.0,True,False
center_out,24,2,16,0.0006249901030059,0.00062579460866625,0.0001702423680853,0.00027177957622365,True,True,0.1726419776678085,0.17280188947916025,0.1666601449251175,0.17386179417371744,True,False,588072192.0,588171392.0,581186176.0,582332512.0,True,True,579944128.0,579944160.0,579943936.0,579944832.0,True,False
center_out,40,2,16,0.0016625018324702,0.0017483317642472,0.0007193772387381,0.0008975243688382,True,True,0.1796219497919082,0.1808240190148353,0.1566403955221176,0.16961321979761118,True,True,587521984.0,588064608.0,582840064.0,584022432.0,True,True,579925632.0,579926208.0,579925824.0,579926496.0,False,False
center_edge,24,1,16,0.0005546370016418,0.0005546370016418,0.0001702423680853,0.00027177957622365,True,True,0.1753909140825271,0.1753909140825271,0.1666601449251175,0.17386179417371744,True,True,581775744.0,581775744.0,581186176.0,582332512.0,True,False,579943744.0,579943744.0,579943936.0,579944832.0,False,False
center_edge,40,1,16,0.0018988421652466,0.0018988421652466,0.0007193772387381,0.0008975243688382,True,True,0.177616149187088,0.177616149187088,0.1566403955221176,0.16961321979761118,True,True,588119552.0,588119552.0,582840064.0,584022432.0,True,True,579924096.0,579924096.0,579925824.0,579926496.0,False,False
method_c,24,3,16,5.621172385872342e-05,8.025430179259274e-05,0.0001702423680853,0.00027177957622365,False,False,0.1543776392936706,0.1612091809511184,0.1666601449251175,0.17386179417371744,False,False,581727232.0,584544768.0,581186176.0,582332512.0,True,True,579944384.0,579944576.0,579943936.0,579944832.0,True,False
method_c,40,3,16,0.0001108189990191,0.0001491561724833,0.0007193772387381,0.0008975243688382,False,False,0.153950959444046,0.1566519737243652,0.1566403955221176,0.16961321979761118,False,False,582221504.0,583935936.0,582840064.0,584022432.0,False,False,579926208.0,579926528.0,579925824.0,579926496.0,True,True
regular_jump,24,9,16,7.285496940312441e-05,0.0004528175495579,0.0001702423680853,0.00027177957622365,False,True,0.149288535118103,0.1619622707366943,0.1666601449251175,0.17386179417371744,False,False,580991360.0,583032192.0,581186176.0,582332512.0,False,True,579942848.0,579943808.0,579943936.0,579944832.0,False,False
regular_jump,40,13,16,0.0002895531576996,0.0014238423900678,0.0007193772387381,0.0008975243688382,False,True,0.1442238241434097,0.1520021110773086,0.1566403955221176,0.16961321979761118,False,False,581119040.0,584105600.0,582840064.0,584022432.0,False,True,579924032.0,579926016.0,579925824.0,579926496.0,False,False
engineering,24,1,16,5.621172385872342e-05,5.621172385872342e-05,0.0001702423680853,0.00027177957622365,False,False,0.1543776392936706,0.1543776392936706,0.1666601449251175,0.17386179417371744,False,False,581727232.0,581727232.0,581186176.0,582332512.0,True,False,579944640.0,579944640.0,579943936.0,579944832.0,True,False
engineering,40,1,16,0.0001108189990191,0.0001108189990191,0.0007193772387381,0.0008975243688382,False,False,0.153950959444046,0.153950959444046,0.1566403955221176,0.16961321979761118,False,False,582221504.0,582221504.0,582840064.0,584022432.0,False,False,579926528.0,579926528.0,579925824.0,579926496.0,True,True
random,24,6,16,0.0002786342520266,0.00030953250029590003,0.0001702423680853,0.00027177957622365,True,True,0.1525747328996658,0.1637780740857124,0.1666601449251175,0.17386179417371744,False,False,582068544.0,582725792.0,581186176.0,582332512.0,True,True,579943104.0,579944032.0,579943936.0,579944832.0,False,False
random,40,11,16,0.0010186854147491,0.0011485806799669,0.0007193772387381,0.0008975243688382,True,True,0.1546751409769058,0.1619139313697815,0.1566403955221176,0.16961321979761118,False,False,583097088.0,584457024.0,582840064.0,584022432.0,True,True,579924800.0,579926016.0,579925824.0,579926496.0,False,False
