n,v01_candidate_count,v02K2_candidate_count,v03_candidate_count,v01_best_lex_rank,v02K2_best_lex_rank,v03_best_lex_rank,known_v01_best_lex_rank,known_v02K2_best_lex_rank,v01_topk_count,v02K2_topk_count,v03_topk_count,known_v01_topk_count,known_v02K2_topk_count,v03_improves_v01_best_lex_rank,v03_improves_v02K2_best_lex_rank,v03_improves_v01_topk_count,v03_improves_v02K2_topk_count,v01_best_u2_range,v01_median_u2_range,v02K2_best_u2_range,v02K2_median_u2_range,v03_best_u2_range,v03_median_u2_range,v01_best_peeq_max,v01_median_peeq_max,v02K2_best_peeq_max,v02K2_median_peeq_max,v03_best_peeq_max,v03_median_peeq_max,v01_best_surface_t_proxy,v01_median_surface_t_proxy,v02K2_best_surface_t_proxy,v02K2_median_surface_t_proxy,v03_best_surface_t_proxy,v03_median_surface_t_proxy,v01_best_mises_max,v01_median_mises_max,v02K2_best_mises_max,v02K2_median_mises_max,v03_best_mises_max,v03_median_mises_max,interpretation
24,8,16,16,134,114,139,134,114,3,0,5,3,0,False,False,True,True,0.0001286480594444,0.00015391524516409998,9.453498660150216e-05,0.00014045583725415,0.0001702423680853,0.00027177957622365,0.1512520015239715,0.1567566394805908,0.1558585613965988,0.1570346280932426,0.1666601449251175,0.17386179417371744,584139200.0,585510784.0,582223488.0,582460832.0,581186176.0,582332512.0,579943488.0,579944288.0,579943296.0,579944192.0,579943936.0,579944832.0,v03 improves prior PPO on at least one primary targeted criterion
40,8,16,16,147,147,165,147,147,0,16,0,0,16,False,False,False,False,0.000474216584962,0.00054483493306625,0.0004007218865353,0.00045678247636254997,0.0007193772387381,0.0008975243688382,0.1537813395261764,0.154441587626934,0.1641117632389068,0.1695306897163391,0.1566403955221176,0.16961321979761118,582664128.0,584015104.0,581153472.0,581623392.0,582840064.0,584022432.0,579925504.0,579926560.0,579926912.0,579926976.0,579925824.0,579926496.0,v03 is weak under primary targeted criteria
