n,trials,v01_best_lex_rank,v02K2_best_lex_rank,v03_best_lex_rank,v03_equal8_best_lex_mean,v03_equal8_best_lex_median,prob_v03_equal8_beats_v01_best_lex,prob_v03_equal8_beats_v02K2_best_lex,v01_topk_count,v02K2_topk_count,v03_topk_count,v03_equal8_topk_mean,v03_equal8_topk_median,prob_v03_equal8_beats_v01_topk,prob_v03_equal8_beats_v02K2_topk,v03_direct16_beats_v02K2_best_lex,v03_direct16_beats_v02K2_topk
24,2000,134,114,139,142.3865,139.0,0.0,0.0,3,0,5,2.4745,2.0,0.1385,0.9875,False,True
40,2000,147,147,165,168.276,171.0,0.0,0.0,0,16,0,0.0,0.0,0.0,0.0,False,False
