n,count,best_u2_strategy,best_u2_source,best_u2_value,best_peeq_strategy,best_peeq_source,best_peeq_value,best_surfaceT_strategy,best_surfaceT_source,best_surfaceT_value,best_mises_strategy,best_mises_source,best_mises_value,best_reward_strategy,best_reward_source,best_reward_value,best_constrained_reward_strategy,best_constrained_reward_source,best_constrained_reward_value,best_strict_penalty_guard_strategy,best_strict_penalty_guard_source,best_strict_penalty_guard_value
24,16,S3R49SCN_N24_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,2.9523077955673216e-05,S3R49SCN_N24_B07_two_stage,run51_stricter_constrained_N24_N40_batch32,0.1539869755506515,S3R49SCN_N24_B03_strict_guard,run51_stricter_constrained_N24_N40_batch32,581865344.0,S3R49SCN_N24_B15_mises_repair,run51_stricter_constrained_N24_N40_batch32,579943488.0,S3R49SCN_N24_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,0.7983333333333332,S3R49SCN_N24_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,0.7233333333333334,S3R49SCN_N24_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,0.6566666666666667
40,16,S3R49SCN_N40_B04_strict_guard,run51_stricter_constrained_N24_N40_batch32,6.170961933094077e-05,S3R49SCN_N40_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,0.1534324586391449,S3R49SCN_N40_B05_two_stage,run51_stricter_constrained_N24_N40_batch32,581980672.0,S3R49SCN_N40_B11_peeq_repair,run51_stricter_constrained_N24_N40_batch32,579926528.0,S3R49SCN_N40_B04_strict_guard,run51_stricter_constrained_N24_N40_batch32,0.8750000000000001,S3R49SCN_N40_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,0.8833333333333334,S3R49SCN_N40_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,0.9000000000000001
