comparison,n,metric,baseline_best_strategy,baseline_best_source,baseline_best_value,run51_best_strategy,run51_best_source,run51_best_value,run51_beats_baseline,absolute_improvement,relative_improvement_fraction,combined328_best_strategy,combined328_best_source,combined328_best_value
run51_vs_combined296,24,U2,S3R44CNS_N24_B14_hybrid_disagree,run46_constrained_N24_N40_batch32,3.166340729876538e-05,S3R49SCN_N24_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,2.9523077955673216e-05,True,2.140329343092162e-06,0.06759630518903814,S3R49SCN_N24_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,2.9523077955673216e-05
run51_vs_combined296,24,PEEQ,S3R19B28_N24_B07_control_sentinel,batch28_run20,0.149288535118103,S3R49SCN_N24_B07_two_stage,run51_stricter_constrained_N24_N40_batch32,0.1539869755506515,False,-0.004698440432548495,-0.03147221204114256,S3R19B28_N24_B07_control_sentinel,batch28_run20,0.149288535118103
run51_vs_combined296,24,SurfaceT,S3R24L64_N24_B06_model_disagreement,shortlist64_run27,580875968.0,S3R49SCN_N24_B03_strict_guard,run51_stricter_constrained_N24_N40_batch32,581865344.0,False,-989376.0,-0.0017032482913805103,S3R24L64_N24_B06_model_disagreement,shortlist64_run27,580875968.0
run51_vs_combined296,24,Mises,N24_A06_edge_in_alternating,probe60_run08,579942784.0,S3R49SCN_N24_B15_mises_repair,run51_stricter_constrained_N24_N40_batch32,579943488.0,False,-704.0,-1.2139128538583557e-06,N24_A06_edge_in_alternating,probe60_run08,579942784.0
run51_vs_combined296,24,combined_reward,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.9083333333333332,S3R49SCN_N24_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,0.7983333333333332,False,-0.10999999999999999,-0.12110091743119267,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.8915354330708661
run51_vs_combined296,40,U2,S3R34N32INF_N40_B08_n40_best_near,run36_N32_informed_native_batch32,5.696606240235269e-05,S3R49SCN_N40_B04_strict_guard,run51_stricter_constrained_N24_N40_batch32,6.170961933094077e-05,False,-4.7435569285880774e-06,-0.08326987558108227,S3R34N32INF_N40_B08_n40_best_near,run36_N32_informed_native_batch32,5.696606240235269e-05
run51_vs_combined296,40,PEEQ,S3R39N2440B60_N40_B10_surrogate_top,run41_native_N24_N40_focused_batch60,0.1440253555774688,S3R49SCN_N40_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,0.1534324586391449,False,-0.009407103061676109,-0.06531560379738961,S3R39N2440B60_N40_B10_surrogate_top,run41_native_N24_N40_focused_batch60,0.1440253555774688
run51_vs_combined296,40,SurfaceT,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20,581119040.0,S3R49SCN_N40_B05_two_stage,run51_stricter_constrained_N24_N40_batch32,581980672.0,False,-861632.0,-0.0014827117005149237,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20,581119040.0
run51_vs_combined296,40,Mises,N40_A07_regular_jump_coprime,probe60_run08,579924032.0,S3R49SCN_N40_B11_peeq_repair,run51_stricter_constrained_N24_N40_batch32,579926528.0,False,-2496.0,-4.3040120123871675e-06,N40_A07_regular_jump_coprime,probe60_run08,579924032.0
run51_vs_combined296,40,combined_reward,S3R44CNS_N40_B01_reward_balanced,run46_constrained_N24_N40_batch32,0.8828828828828829,S3R49SCN_N40_B04_strict_guard,run51_stricter_constrained_N24_N40_batch32,0.8750000000000001,False,-0.007882882882882747,-0.008928571428571275,S3R49SCN_N40_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,0.8832677165354332
run51_vs_combined296_constrained,24,constrained_u2_reward_balanced,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.8905405405405404,S3R49SCN_N24_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,0.7233333333333334,False,-0.16720720720720705,-0.18775923115832055,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.8791338582677165
run51_vs_combined296_constrained,40,constrained_u2_reward_balanced,S3R39N2440B60_N40_B02_n40_u2_near,run41_native_N24_N40_focused_batch60,0.8414414414414415,S3R49SCN_N40_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,0.8833333333333334,True,0.04189189189189191,0.04978586723768738,S3R49SCN_N40_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,0.854724409448819
run51_vs_combined296_strict_penalty_guard,24,strict_penalty_guard,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.8815315315315314,S3R49SCN_N24_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,0.6566666666666667,False,-0.22486486486486468,-0.2550843127235563,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.8751968503937009
run51_vs_combined296_strict_penalty_guard,40,strict_penalty_guard,S3R39N2440B60_N40_B02_n40_u2_near,run41_native_N24_N40_focused_batch60,0.836936936936937,S3R49SCN_N40_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,0.9000000000000001,True,0.06306306306306309,0.0753498385360603,S3R49SCN_N40_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,0.8476377952755907
