group_type,group_value,count,median_u2_rank_combined328,best_u2_rank_combined328,median_reward_rank_combined328,best_reward_rank_combined328,median_strict_guard_rank_combined328,best_strict_guard_rank_combined328,top5_u2_count,top10_u2_count,top5_reward_count,top10_reward_count,top5_strict_guard_count,top10_strict_guard_count
n,24,16,36.5,1.0,27.5,3.0,33.0,7.0,3,5,3,3,0,4
n,40,16,20.0,5.0,23.5,1.0,30.0,1.0,1,4,1,1,1,2
candidate_source,Mises_repair_candidates,4,51.5,18.0,65.5,15.0,70.5,11.0,0,0,0,0,0,0
candidate_source,PEEQ_repair_candidates,4,7.5,2.0,15.0,5.0,28.0,20.0,1,3,1,1,0,0
candidate_source,SurfaceT_repair_candidates,4,37.0,8.0,36.5,11.0,33.0,10.0,0,1,0,0,0,1
candidate_source,no_penalty_worse_than_median,4,22.5,1.0,12.5,1.0,8.0,1.0,1,2,2,2,1,3
candidate_source,strict_penalty_guard_local_search,4,25.5,5.0,25.0,11.0,28.0,10.0,1,1,0,0,0,1
candidate_source,strict_penalty_guard_top,4,31.5,5.0,32.5,13.0,41.0,21.0,1,1,0,0,0,0
candidate_source,two_stage_guarded_local_search,4,33.5,21.0,36.0,17.0,34.0,12.0,0,0,0,0,0,0
candidate_source,two_stage_guarded_top,4,32.5,9.0,44.5,4.0,51.5,8.0,0,1,1,1,0,1
generation_method,existing_pool_selection,8,31.5,5.0,32.5,4.0,44.5,8.0,1,2,1,1,0,1
generation_method,offline_mutation_or_pointer_proxy,24,24.5,1.0,21.0,1.0,28.0,1.0,3,7,3,3,1,5
selection_bucket,Mises_repair_candidates,4,51.5,18.0,65.5,15.0,70.5,11.0,0,0,0,0,0,0
selection_bucket,PEEQ_repair_candidates,4,7.5,2.0,15.0,5.0,28.0,20.0,1,3,1,1,0,0
selection_bucket,SurfaceT_repair_candidates,4,37.0,8.0,36.5,11.0,33.0,10.0,0,1,0,0,0,1
selection_bucket,no_penalty_worse_than_median,4,22.5,1.0,12.5,1.0,8.0,1.0,1,2,2,2,1,3
selection_bucket,strict_penalty_guard_local_search,4,25.5,5.0,25.0,11.0,28.0,10.0,1,1,0,0,0,1
selection_bucket,strict_penalty_guard_top,4,31.5,5.0,32.5,13.0,41.0,21.0,1,1,0,0,0,0
selection_bucket,two_stage_guarded_local_search,4,33.5,21.0,36.0,17.0,34.0,12.0,0,0,0,0,0,0
selection_bucket,two_stage_guarded_top,4,32.5,9.0,44.5,4.0,51.5,8.0,0,1,1,1,0,1
priority_role,constrained_reward_balance,32,26.5,1.0,24.0,1.0,33.0,1.0,4,9,4,4,1,6
