source,n,count,best_u2_strategy,best_u2_value,best_peeq_strategy,best_peeq_value,best_surfaceT_strategy,best_surfaceT_value,best_mises_strategy,best_mises_value,best_reward_strategy,best_reward_value_combined328_basis,best_constrained_reward_strategy,best_constrained_reward_value_combined328_basis,best_strict_penalty_guard_strategy,best_strict_penalty_guard_value_combined328_basis,top5_u2_entries_combined328,top10_u2_entries_combined328,top5_reward_entries_combined328,top10_reward_entries_combined328
run46_constrained_N24_N40_batch32,24,16,S3R44CNS_N24_B14_hybrid_disagree,3.166340729876538e-05,S3R44CNS_N24_B16_uncertainty,0.1528085321187973,S3R44CNS_N24_B07_surfacet_guarded,581497728.0,S3R44CNS_N24_B03_constr_surrogate,579943360.0,S3R44CNS_N24_B16_uncertainty,0.8915354330708661,S3R44CNS_N24_B16_uncertainty,0.8791338582677165,S3R44CNS_N24_B16_uncertainty,0.8751968503937009,1,1,2,4
run46_constrained_N24_N40_batch32,40,16,S3R44CNS_N40_B01_reward_balanced,5.7689914683578536e-05,S3R44CNS_N40_B08_surfacet_guarded,0.1534235626459121,S3R44CNS_N40_B05_peeq_guarded,581921728.0,S3R44CNS_N40_B04_constr_surrogate,579926528.0,S3R44CNS_N40_B01_reward_balanced,0.8811023622047245,S3R44CNS_N40_B08_surfacet_guarded,0.8240157480314961,S3R44CNS_N40_B08_surfacet_guarded,0.8196850393700787,2,2,2,4
run41_native_N24_N40_focused_batch60,24,30,S3R39N2440B60_N24_B08_n24_u2_near,3.7988751273587695e-05,S3R39N2440B60_N24_B12_surrogate_top,0.1496064215898513,S3R39N2440B60_N24_B17_diversity,581337792.0,S3R39N2440B60_N24_B17_diversity,579942848.0,S3R39N2440B60_N24_B07_n24_u2_near,0.7962598425196851,S3R39N2440B60_N24_B07_n24_u2_near,0.7484251968503937,S3R39N2440B60_N24_B07_n24_u2_near,0.7429133858267717,0,1,0,1
run41_native_N24_N40_focused_batch60,40,30,S3R39N2440B60_N40_B04_n40_u2_near,6.792713247705251e-05,S3R39N2440B60_N40_B10_surrogate_top,0.1440253555774688,S3R39N2440B60_N40_B01_n40_u2_near,581616832.0,S3R39N2440B60_N40_B25_diversity,579924352.0,S3R39N2440B60_N40_B04_n40_u2_near,0.8757874015748032,S3R39N2440B60_N40_B04_n40_u2_near,0.8374015748031496,S3R39N2440B60_N40_B02_n40_u2_near,0.8358267716535434,0,1,1,2
run36_N32_informed_native_batch32,24,12,S3R34N32INF_N24_B10_n24_calibration,3.273940910730744e-05,S3R34N32INF_N24_B02_surrogate_top,0.1497802585363388,S3R34N32INF_N24_B01_graph_pointer,581126080.0,S3R34N32INF_N24_B05_uncertainty,579943296.0,S3R34N32INF_N24_B11_n24_calibration,0.8031496062992126,S3R34N32INF_N24_B11_n24_calibration,0.7535433070866142,S3R34N32INF_N24_B11_n24_calibration,0.7133858267716535,1,1,0,2
run36_N32_informed_native_batch32,40,12,S3R34N32INF_N40_B08_n40_best_near,5.696606240235269e-05,S3R34N32INF_N40_B06_diversity,0.1472502499818802,S3R34N32INF_N40_B10_n40_best_near,581764736.0,S3R34N32INF_N40_B06_diversity,579925120.0,S3R34N32INF_N40_B08_n40_best_near,0.8600393700787402,S3R34N32INF_N40_B08_n40_best_near,0.8011811023622047,S3R34N32INF_N40_B10_n40_best_near,0.7818897637795276,1,2,0,2
shortlist64_run27,24,24,S3R24L64_N24_B20_tradeoff_probe,5.346994021238061e-05,S3R24L64_N24_B22_sentinel_control,0.1525747328996658,S3R24L64_N24_B06_model_disagreement,580875968.0,S3R24L64_N24_B18_tradeoff_probe,579943168.0,S3R24L64_N24_B03_top_region,0.7143700787401576,S3R24L64_N24_B03_top_region,0.6956692913385827,S3R24L64_N24_B07_model_disagreement,0.7177165354330708,0,0,0,0
shortlist64_run27,40,24,S3R24L64_N40_B23_exploitation_reference,5.95808796788333e-05,S3R24L64_N40_B24_exploitation_reference,0.1537862718105316,S3R24L64_N40_B01_top_region,581591424.0,S3R24L64_N40_B21_sentinel_control,579924800.0,S3R24L64_N40_B23_exploitation_reference,0.8771653543307086,S3R24L64_N40_B23_exploitation_reference,0.823228346456693,S3R24L64_N40_B23_exploitation_reference,0.8070866141732285,1,1,1,1
run51_stricter_constrained_N24_N40_batch32,24,16,S3R49SCN_N24_B09_median_guard,2.9523077955673216e-05,S3R49SCN_N24_B07_two_stage,0.1539869755506515,S3R49SCN_N24_B03_strict_guard,581865344.0,S3R49SCN_N24_B15_mises_repair,579943488.0,S3R49SCN_N24_B09_median_guard,0.8346456692913385,S3R49SCN_N24_B09_median_guard,0.7755905511811024,S3R49SCN_N24_B09_median_guard,0.725984251968504,3,5,3,3
run51_stricter_constrained_N24_N40_batch32,40,16,S3R49SCN_N40_B04_strict_guard,6.170961933094077e-05,S3R49SCN_N40_B09_median_guard,0.1534324586391449,S3R49SCN_N40_B05_two_stage,581980672.0,S3R49SCN_N40_B11_peeq_repair,579926528.0,S3R49SCN_N40_B09_median_guard,0.8832677165354332,S3R49SCN_N40_B09_median_guard,0.854724409448819,S3R49SCN_N40_B09_median_guard,0.8476377952755907,1,4,1,1
