dataset_scope,N,N_numeric,objective_view,selection_basis,strategy_id,best_value,candidate_family,candidate_source,source_run,teacher_validation_status,order_compact,order_hash,order_length,order_source_file,metric_semantic_warning,legacy_compatibility_status,claim_role,u2_range,peeq_max,surface_t_proxy_legacy_raw,mises_max_legacy_proxy,plus_N32_rank,plus_N32_source_file
native_stage3,N12,12,constrained_reward,best_constrained_reward_from_stage3_final_native_best_strategy_table,S3R74FSD_N12_B02_n12_penalty,0.859090909090909,penalty_repair,N12_final_diag_penalty_aware,Run76,PASS_TEACHER_FIELDS_EXTRACTED,9-11-7-5-3-1-0-2-4-6-8-10,386d1b07eed1cd5a,12,E:\Projects\RL-LAM-ScanOpt\outputs\paper_figures\section_3_4_multin_outcomes\table_3_4_best_teacher_labelled_scan_orders_by_N.csv,False,,native_multi_N_claim_scope_within_N_only,,,,,,
native_stage3,N16,16,constrained_reward,best_constrained_reward_from_stage3_final_native_best_strategy_table,S3R74FSD_N16_B01_n16_penalty,0.8805194805194806,penalty_repair,N16_final_diag_penalty_aware,Run76,PASS_TEACHER_FIELDS_EXTRACTED,14-6-10-12-8-4-2-0-1-3-5-7-9-11-13-15,5e0129a21f85cd34,16,E:\Projects\RL-LAM-ScanOpt\outputs\paper_figures\section_3_4_multin_outcomes\table_3_4_best_teacher_labelled_scan_orders_by_N.csv,False,,native_multi_N_claim_scope_within_N_only,,,,,,
native_stage3,N24,24,constrained_reward,best_constrained_reward_from_stage3_final_native_best_strategy_table,S3R44CNS_N24_B16_uncertainty,0.8558201058201058,penalty_repair,uncertainty_calibration,Run46,PASS_TEACHER_FIELDS_EXTRACTED,22-17-15-13-9-7-5-3-1-11-19-21-23-0-2-4-6-8-10-12-14-16-18-20,e72abd003436348f,24,E:\Projects\RL-LAM-ScanOpt\outputs\paper_figures\section_3_4_multin_outcomes\table_3_4_best_teacher_labelled_scan_orders_by_N.csv,False,,native_multi_N_claim_scope_within_N_only,,,,,,
native_stage3,N40,40,constrained_reward,best_constrained_reward_from_stage3_final_native_best_strategy_table,S3R64VNR_N40_B03_n40_penalty_anchor,0.9097560975609756,penalty_repair,N40_followup_penalty_repair,Run66,PASS_TEACHER_FIELDS_EXTRACTED,0-2-4-7-9-11-13-15-17-19-34-36-38-32-30-28-26-24-22-20-18-16-14-12-10-8-6-5-3-1-21-23-25-27-29-31-33-35-39-37,520a2adf7b065203,40,E:\Projects\RL-LAM-ScanOpt\outputs\paper_figures\section_3_4_multin_outcomes\table_3_4_best_teacher_labelled_scan_orders_by_N.csv,False,,native_multi_N_claim_scope_within_N_only,,,,,,
auxiliary_fixed_N32,N32,32,constrained_reward_auxiliary_plus_N32,best_auxiliary_N32_constrained_reward_rank_from_plus_N32_frozen_table,RL20_A15_V01,0.8422960725075529,,,Stage2_fixed32_legacy,LEGACY_TEACHER_LABEL_COMPATIBLE,1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-0-24-4-6-8-10-12-14-16-18-20-22-2-26-28-30,8c10c86abce25016,32,D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_rl_approved20_v01\RL20_A15_V01\scan_order.json,True,LEGACY_COMPATIBLE_WITH_WARNINGS,auxiliary_fixed_N32_context_not_native_multi_N_claim,6.209749e-05,0.1447494466602802,0.0033929840362046,1.933277184,1.0,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
