N,n,objective,family_label,top_k,top10_count,claim_role
N40,40,Mises,engineering_baseline,10,3,native_top10_family_occupancy_within_N_only
N40,40,Mises,graph_pointer_or_gnn_rl,10,1,native_top10_family_occupancy_within_N_only
N40,40,Mises,recovery_anchor,10,2,native_top10_family_occupancy_within_N_only
N40,40,Mises,surrogate_guided,10,1,native_top10_family_occupancy_within_N_only
N40,40,PEEQ,diversity,10,4,native_top10_family_occupancy_within_N_only
N40,40,PEEQ,engineering_baseline,10,1,native_top10_family_occupancy_within_N_only
N40,40,PEEQ,other,10,1,native_top10_family_occupancy_within_N_only
N40,40,PEEQ,surrogate_guided,10,3,native_top10_family_occupancy_within_N_only
N40,40,PEEQ,uncertainty,10,1,native_top10_family_occupancy_within_N_only
N40,40,SurfaceT,graph_pointer_or_gnn_rl,10,1,native_top10_family_occupancy_within_N_only
N40,40,SurfaceT,other,10,3,native_top10_family_occupancy_within_N_only
N40,40,SurfaceT,penalty_repair,10,1,native_top10_family_occupancy_within_N_only
N40,40,SurfaceT,recovery_anchor,10,4,native_top10_family_occupancy_within_N_only
N40,40,SurfaceT,uncertainty,10,1,native_top10_family_occupancy_within_N_only
N40,40,U2,penalty_repair,10,6,native_top10_family_occupancy_within_N_only
N40,40,U2,recovery_anchor,10,1,native_top10_family_occupancy_within_N_only
N40,40,U2,surrogate_guided,10,3,native_top10_family_occupancy_within_N_only
N40,40,constrained_reward,penalty_repair,10,7,native_top10_family_occupancy_within_N_only
N40,40,constrained_reward,recovery_anchor,10,1,native_top10_family_occupancy_within_N_only
N40,40,constrained_reward,surrogate_guided,10,2,native_top10_family_occupancy_within_N_only
N40,40,penalty_repair,penalty_repair,10,6,native_top10_family_occupancy_within_N_only
N40,40,penalty_repair,recovery_anchor,10,2,native_top10_family_occupancy_within_N_only
N40,40,penalty_repair,surrogate_guided,10,2,native_top10_family_occupancy_within_N_only
N40,40,strict_penalty_guard,penalty_repair,10,7,native_top10_family_occupancy_within_N_only
N40,40,strict_penalty_guard,recovery_anchor,10,1,native_top10_family_occupancy_within_N_only
N40,40,strict_penalty_guard,surrogate_guided,10,2,native_top10_family_occupancy_within_N_only
N40,40,u2_primary,penalty_repair,10,5,native_top10_family_occupancy_within_N_only
N40,40,u2_primary,recovery_anchor,10,2,native_top10_family_occupancy_within_N_only
