n,count,best_u2_strategy,best_u2_source,best_u2_value,best_peeq_strategy,best_peeq_source,best_peeq_value,best_surfaceT_strategy,best_surfaceT_source,best_surfaceT_value,best_mises_strategy,best_mises_source,best_mises_value,best_reward_strategy,best_reward_source,best_reward_value,best_constrained_reward_strategy,best_constrained_reward_source,best_constrained_reward_value,best_strict_penalty_guard_strategy,best_strict_penalty_guard_source,best_strict_penalty_guard_value,best_penalty_repair_strategy,best_penalty_repair_source,best_penalty_repair_value
24,32,S3R54CAL64_N24_B04_n24_u2ret_top,run56_calibrated_N24_N40_batch64,3.356376646479475e-05,S3R54CAL64_N24_B20_median_guard,run56_calibrated_N24_N40_batch64,0.1517210751771927,S3R54CAL64_N24_B10_penalty_repair,run56_calibrated_N24_N40_batch64,580972224.0,S3R54CAL64_N24_B14_penalty_repair,run56_calibrated_N24_N40_batch64,579943488.0,S3R54CAL64_N24_B04_n24_u2ret_top,run56_calibrated_N24_N40_batch64,0.7927419354838711,S3R54CAL64_N24_B04_n24_u2ret_top,run56_calibrated_N24_N40_batch64,0.7112903225806453,S3R54CAL64_N24_B09_penalty_repair,run56_calibrated_N24_N40_batch64,0.7225806451612903,S3R54CAL64_N24_B09_penalty_repair,run56_calibrated_N24_N40_batch64,0.7209677419354839
40,32,S3R54CAL64_N40_B12_penalty_repair,run56_calibrated_N24_N40_batch64,5.201993008085992e-05,S3R54CAL64_N40_B32_diversity,run56_calibrated_N24_N40_batch64,0.1480723470449447,S3R54CAL64_N40_B14_penalty_repair,run56_calibrated_N24_N40_batch64,582003392.0,S3R54CAL64_N40_B21_median_guard,run56_calibrated_N24_N40_batch64,579925888.0,S3R54CAL64_N40_B25_peeq_repair,run56_calibrated_N24_N40_batch64,0.9072580645161292,S3R54CAL64_N40_B11_penalty_repair,run56_calibrated_N24_N40_batch64,0.9016129032258066,S3R54CAL64_N40_B11_penalty_repair,run56_calibrated_N24_N40_batch64,0.9096774193548387,S3R54CAL64_N40_B11_penalty_repair,run56_calibrated_N24_N40_batch64,0.9112903225806452
