source,n,count,best_u2_strategy,best_u2_value,best_peeq_strategy,best_peeq_value,best_surfaceT_strategy,best_surfaceT_value,best_mises_strategy,best_mises_value,best_reward_strategy,best_reward_value_combined392_basis,best_constrained_reward_strategy,best_constrained_reward_value_combined392_basis,best_strict_penalty_guard_strategy,best_strict_penalty_guard_value_combined392_basis,best_penalty_repair_strategy,best_penalty_repair_value_combined392_basis,top5_u2_entries_combined392,top10_u2_entries_combined392,top5_reward_entries_combined392,top10_reward_entries_combined392
run51_stricter_constrained_N24_N40_batch32,24,16,S3R49SCN_N24_B09_median_guard,2.9523077955673216e-05,S3R49SCN_N24_B07_two_stage,0.1539869755506515,S3R49SCN_N24_B03_strict_guard,581865344.0,S3R49SCN_N24_B15_mises_repair,579943488.0,S3R49SCN_N24_B09_median_guard,0.820440251572327,S3R49SCN_N24_B09_median_guard,0.7553459119496856,S3R49SCN_N24_B09_median_guard,0.7,S3R49SCN_N24_B06_two_stage,0.6726415094339623,2,4,0,1
run51_stricter_constrained_N24_N40_batch32,40,16,S3R49SCN_N40_B04_strict_guard,6.170961933094077e-05,S3R49SCN_N40_B09_median_guard,0.1534324586391449,S3R49SCN_N40_B05_two_stage,581980672.0,S3R49SCN_N40_B11_peeq_repair,579926528.0,S3R49SCN_N40_B09_median_guard,0.8735849056603774,S3R49SCN_N40_B09_median_guard,0.8528301886792453,S3R49SCN_N40_B09_median_guard,0.8490566037735849,S3R49SCN_N40_B09_median_guard,0.8320754716981132,0,1,1,1
run46_constrained_N24_N40_batch32,24,16,S3R44CNS_N24_B14_hybrid_disagree,3.166340729876538e-05,S3R44CNS_N24_B16_uncertainty,0.1528085321187973,S3R44CNS_N24_B07_surfacet_guarded,581497728.0,S3R44CNS_N24_B03_constr_surrogate,579943360.0,S3R44CNS_N24_B16_uncertainty,0.8644654088050315,S3R44CNS_N24_B16_uncertainty,0.8512578616352201,S3R44CNS_N24_B16_uncertainty,0.8471698113207548,S3R44CNS_N24_B16_uncertainty,0.8333333333333334,1,1,1,2
run46_constrained_N24_N40_batch32,40,16,S3R44CNS_N40_B01_reward_balanced,5.7689914683578536e-05,S3R44CNS_N40_B08_surfacet_guarded,0.1534235626459121,S3R44CNS_N40_B05_peeq_guarded,581921728.0,S3R44CNS_N40_B04_constr_surrogate,579926528.0,S3R44CNS_N40_B01_reward_balanced,0.8727987421383647,S3R44CNS_N40_B08_surfacet_guarded,0.818553459119497,S3R44CNS_N40_B08_surfacet_guarded,0.8172955974842766,S3R44CNS_N40_B08_surfacet_guarded,0.785062893081761,2,2,1,3
run41_native_N24_N40_focused_batch60,24,30,S3R39N2440B60_N24_B08_n24_u2_near,3.7988751273587695e-05,S3R39N2440B60_N24_B12_surrogate_top,0.1496064215898513,S3R39N2440B60_N24_B17_diversity,581337792.0,S3R39N2440B60_N24_B17_diversity,579942848.0,S3R39N2440B60_N24_B07_n24_u2_near,0.7580188679245282,S3R39N2440B60_N24_B07_n24_u2_near,0.7157232704402516,S3R39N2440B60_N24_B07_n24_u2_near,0.7135220125786164,S3R39N2440B60_N24_B15_surrogate_top,0.6814465408805032,0,1,0,0
run41_native_N24_N40_focused_batch60,40,30,S3R39N2440B60_N40_B04_n40_u2_near,6.792713247705251e-05,S3R39N2440B60_N40_B10_surrogate_top,0.1440253555774688,S3R39N2440B60_N40_B01_n40_u2_near,581616832.0,S3R39N2440B60_N40_B25_diversity,579924352.0,S3R39N2440B60_N40_B04_n40_u2_near,0.8562893081761007,S3R39N2440B60_N40_B04_n40_u2_near,0.8238993710691824,S3R39N2440B60_N40_B02_n40_u2_near,0.8292452830188679,S3R39N2440B60_N40_B02_n40_u2_near,0.8209119496855346,0,0,0,1
run36_N32_informed_native_batch32,24,12,S3R34N32INF_N24_B10_n24_calibration,3.273940910730744e-05,S3R34N32INF_N24_B02_surrogate_top,0.1497802585363388,S3R34N32INF_N24_B01_graph_pointer,581126080.0,S3R34N32INF_N24_B05_uncertainty,579943296.0,S3R34N32INF_N24_B10_n24_calibration,0.7869496855345911,S3R34N32INF_N24_B11_n24_calibration,0.721069182389937,S3R34N32INF_N24_B11_n24_calibration,0.679559748427673,S3R34N32INF_N24_B01_graph_pointer,0.6850628930817609,1,1,0,0
run36_N32_informed_native_batch32,40,12,S3R34N32INF_N40_B08_n40_best_near,5.696606240235269e-05,S3R34N32INF_N40_B06_diversity,0.1472502499818802,S3R34N32INF_N40_B10_n40_best_near,581764736.0,S3R34N32INF_N40_B06_diversity,579925120.0,S3R34N32INF_N40_B08_n40_best_near,0.8559748427672955,S3R34N32INF_N40_B08_n40_best_near,0.8,S3R34N32INF_N40_B10_n40_best_near,0.770125786163522,S3R34N32INF_N40_B08_n40_best_near,0.7330188679245283,1,1,0,1
shortlist64_run27,24,24,S3R24L64_N24_B20_tradeoff_probe,5.346994021238061e-05,S3R24L64_N24_B22_sentinel_control,0.1525747328996658,S3R24L64_N24_B06_model_disagreement,580875968.0,S3R24L64_N24_B18_tradeoff_probe,579943168.0,S3R24L64_N24_B03_top_region,0.6605345911949687,S3R24L64_N24_B03_top_region,0.64874213836478,S3R24L64_N24_B07_model_disagreement,0.680503144654088,S3R24L64_N24_B11_uncertainty_calibration,0.6990566037735849,0,0,0,0
shortlist64_run27,40,24,S3R24L64_N40_B23_exploitation_reference,5.95808796788333e-05,S3R24L64_N40_B24_exploitation_reference,0.1537862718105316,S3R24L64_N40_B01_top_region,581591424.0,S3R24L64_N40_B21_sentinel_control,579924800.0,S3R24L64_N40_B23_exploitation_reference,0.8724842767295596,S3R24L64_N40_B23_exploitation_reference,0.820440251572327,S3R24L64_N40_B23_exploitation_reference,0.8053459119496855,S3R24L64_N40_B23_exploitation_reference,0.7677672955974844,0,1,0,1
run56_calibrated_N24_N40_batch64,24,32,S3R54CAL64_N24_B04_n24_u2ret_top,3.356376646479475e-05,S3R54CAL64_N24_B20_median_guard,0.1517210751771927,S3R54CAL64_N24_B10_penalty_repair,580972224.0,S3R54CAL64_N24_B14_penalty_repair,579943488.0,S3R54CAL64_N24_B09_penalty_repair,0.8408805031446541,S3R54CAL64_N24_B09_penalty_repair,0.8358490566037736,S3R54CAL64_N24_B09_penalty_repair,0.8377358490566037,S3R54CAL64_N24_B09_penalty_repair,0.8289308176100629,1,3,4,7
run56_calibrated_N24_N40_batch64,40,32,S3R54CAL64_N40_B12_penalty_repair,5.201993008085992e-05,S3R54CAL64_N40_B32_diversity,0.1480723470449447,S3R54CAL64_N40_B14_penalty_repair,582003392.0,S3R54CAL64_N40_B21_median_guard,579925888.0,S3R54CAL64_N40_B11_penalty_repair,0.9069182389937106,S3R54CAL64_N40_B11_penalty_repair,0.8823899371069183,S3R54CAL64_N40_B11_penalty_repair,0.8767295597484277,S3R54CAL64_N40_B11_penalty_repair,0.8553459119496855,2,5,3,3
