run_id,batch_name,n,handoff_strategy_name,original_run12_candidate_id,original_run12_strategy_name,candidate_family,candidate_source,selection_bucket,predicted_reward_mean_all,predicted_rank_within_n,predicted_uncertainty_std,novelty_distance_to_teacher,nearest_existing_teacher_strategy,order_json,order_compact,order_hash,is_teacher_validated,teacher_validation_status,notes
run_13_batch20_surrogate_screened_teacher_handoff,stage3_run13_batch20_surrogate_screened_v01,12,S3B20_N12_B01_surrogate_top,RUN12_N12_C00417,N12_RUN12_N12_C00417_mutate_reverse_short_segment,mutation,surrogate_mutation,surrogate_top,0.7767226608929189,2,0.1078570361595807,0.045454545454545456,N12_A02_odd_even_interlaced,"[0,2,4,10,8,6,1,3,5,7,9,11]","0,2,4,10,8,6,1,3,5,7,9,11",ddeac1737cd4186c,False,NOT_RUN,Run13 handoff only. Not teacher-validated. Do not claim physical superiority.
run_13_batch20_surrogate_screened_teacher_handoff,stage3_run13_batch20_surrogate_screened_v01,12,S3B20_N12_B02_diversity_top,RUN12_N12_C00026,N12_RUN12_N12_C00026_regular_jump_non_coprime_sentinel,regular_jump_sentinel,engineering_baseline,diversity_top,0.7420064397319364,49,0.1732309693755779,0.4090909090909091,N12_A06_edge_in_alternating,"[1,11,9,7,5,3,0,2,4,6,8,10]","1,11,9,7,5,3,0,2,4,6,8,10",bdefebe906990eb4,False,NOT_RUN,Run13 handoff only. Not teacher-validated. Do not claim physical superiority.
run_13_batch20_surrogate_screened_teacher_handoff,stage3_run13_batch20_surrogate_screened_v01,12,S3B20_N12_B03_method_c_inspired,RUN12_N12_C00134,N12_RUN12_N12_C00134_method_c_maximin_seed_like,method_c_inspired,method_c_inspired,method_c_inspired,0.5524798939236236,343,0.10988264889627439,0.045454545454545456,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,"[0,5,11,6,8,4,2,7,1,3,9,10]","0,5,11,6,8,4,2,7,1,3,9,10",e1bbed764cecf310,False,NOT_RUN,Run13 handoff only. Not teacher-validated. Do not claim physical superiority.
run_13_batch20_surrogate_screened_teacher_handoff,stage3_run13_batch20_surrogate_screened_v01,12,S3B20_N12_B04_surrogate_top,RUN12_N12_C00024,N12_RUN12_N12_C00024_regular_jump_non_coprime_sentinel,regular_jump_sentinel,engineering_baseline,surrogate_top,0.776602931332815,3,0.09967508742031235,0.15151515151515152,N12_A02_odd_even_interlaced,"[0,10,8,6,4,2,1,3,5,7,9,11]","0,10,8,6,4,2,1,3,5,7,9,11",689e550783923e35,False,NOT_RUN,Run13 handoff only. Not teacher-validated. Do not claim physical superiority.
run_13_batch20_surrogate_screened_teacher_handoff,stage3_run13_batch20_surrogate_screened_v01,12,S3B20_N12_B05_surrogate_top,RUN12_N12_C00414,N12_RUN12_N12_C00414_mutate_reverse_short_segment,mutation,surrogate_mutation,surrogate_top,0.7726359545437126,5,0.1050507539805205,0.015151515151515152,N12_A02_odd_even_interlaced,"[0,2,4,6,10,8,1,3,5,7,9,11]","0,2,4,6,10,8,1,3,5,7,9,11",5e763bfd943521e1,False,NOT_RUN,Run13 handoff only. Not teacher-validated. Do not claim physical superiority.
run_13_batch20_surrogate_screened_teacher_handoff,stage3_run13_batch20_surrogate_screened_v01,16,S3B20_N16_B01_surrogate_top,RUN12_N16_C01673,N16_RUN12_N16_C01673_mutate_reverse_short_segment,mutation,surrogate_mutation,surrogate_top,0.8064539049176901,2,0.09729417405795705,0.008333333333333333,N16_A04_method_c_u2_first_engineering,"[0,2,4,6,8,10,14,12,7,5,3,1,9,11,13,15]","0,2,4,6,8,10,14,12,7,5,3,1,9,11,13,15",07d1527fe5bebcbb,False,NOT_RUN,Run13 handoff only. Not teacher-validated. Do not claim physical superiority.
run_13_batch20_surrogate_screened_teacher_handoff,stage3_run13_batch20_surrogate_screened_v01,16,S3B20_N16_B02_diversity_top,RUN12_N16_C01688,N16_RUN12_N16_C01688_mutate_rotate_sequence,mutation,surrogate_mutation,diversity_top,0.7334030970777086,120,0.11906715403470836,0.375,N16_A03_greedy_maximin_distance,"[1,9,11,13,15,0,2,4,6,8,10,12,14,7,5,3]","1,9,11,13,15,0,2,4,6,8,10,12,14,7,5,3",9a674580a1a6fa6e,False,NOT_RUN,Run13 handoff only. Not teacher-validated. Do not claim physical superiority.
run_13_batch20_surrogate_screened_teacher_handoff,stage3_run13_batch20_surrogate_screened_v01,16,S3B20_N16_B03_method_c_inspired,RUN12_N16_C01488,N16_RUN12_N16_C01488_method_c_mutated_topology_like,method_c_inspired,method_c_inspired,method_c_inspired,0.6973127116819496,167,0.13823169772875507,0.05,N16_A03_greedy_maximin_distance,"[0,15,7,11,3,5,9,13,1,2,4,12,10,8,6,14]","0,15,7,11,3,5,9,13,1,2,4,12,10,8,6,14",0275e331daee6af4,False,NOT_RUN,Run13 handoff only. Not teacher-validated. Do not claim physical superiority.
run_13_batch20_surrogate_screened_teacher_handoff,stage3_run13_batch20_surrogate_screened_v01,16,S3B20_N16_B04_surrogate_top,RUN12_N16_C01764,N16_RUN12_N16_C01764_mutate_parity_preserving_swap,mutation,surrogate_mutation,surrogate_top,0.8064539049176901,3,0.09729417405795705,0.025,N16_A04_method_c_u2_first_engineering,"[0,2,4,6,8,14,12,10,7,5,3,1,9,11,13,15]","0,2,4,6,8,14,12,10,7,5,3,1,9,11,13,15",a2a8d66c6fafcb1a,False,NOT_RUN,Run13 handoff only. Not teacher-validated. Do not claim physical superiority.
run_13_batch20_surrogate_screened_teacher_handoff,stage3_run13_batch20_surrogate_screened_v01,16,S3B20_N16_B05_surrogate_top,RUN12_N16_C01668,N16_RUN12_N16_C01668_mutate_reverse_short_segment,mutation,surrogate_mutation,surrogate_top,0.8006184221134572,4,0.13048758531361718,0.05,N16_A02_odd_even_interlaced,"[0,2,4,6,8,14,12,10,7,1,3,5,9,11,13,15]","0,2,4,6,8,14,12,10,7,1,3,5,9,11,13,15",16c51042534d88b9,False,NOT_RUN,Run13 handoff only. Not teacher-validated. Do not claim physical superiority.
