N,strategy_id,family_label,candidate_source,u2_range,peeq_max,surface_t_proxy,mises_max,u2_norm_within_N,peeq_norm_within_N,surface_t_norm_within_N,mises_norm_within_N,u2_rank_within_N,peeq_rank_within_N,surface_t_rank_within_N,mises_rank_within_N,U2_gate_status,PEEQ_gate_status,U2_PEEQ_gate_status,hierarchy_region,constrained_reward_if_available,source_file
N12,N12_A11_graph_pointer_policy_diverse_01,graph_pointer_proxy,,7.328880428758566e-05,0.1638757288455963,582071168.0,579939392.0,0.37609526953574834,0.6728821019812724,0.2546104024522891,0.7586206896551724,65,74,55,23,U2_near_safe_analysis_gate,PEEQ_safe_analysis_gate,near_admissible_analysis_gate,near_admissible_review_region,0.2136363636363636,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N12,N12_A12_graph_pointer_policy_diverse_02,graph_pointer_proxy,,0.0001395468352711,0.1633458584547042,581337984.0,579938048.0,0.8620532162235865,0.6577448024731184,0.11301048155839019,0.034482758620689655,77,72,41,2,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.1961038961038961,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N12,N12_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,,7.77201084929402e-05,0.1403219699859619,581967424.0,579939328.0,0.40859589566089033,0.0,0.2345743102936814,0.7241379310344828,66,1,54,21,U2_near_safe_analysis_gate,PEEQ_safe_analysis_gate,near_admissible_analysis_gate,near_admissible_review_region,0.4480519480519481,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N12,N12_A14_graph_pointer_policy_u2first_proxy,graph_pointer_proxy,,0.0001010998803394,0.1588887572288513,581829312.0,579938368.0,0.5800707456056858,0.5304146527731074,0.20790072184317215,0.20689655172413793,72,67,49,10,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.2188311688311688,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N12,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,graph_pointer_proxy,,9.216308080794988e-05,0.1593673974275589,581069312.0,579938240.0,0.5145253515485504,0.5440884118074268,0.06112182339562939,0.13793103448275862,71,68,26,4,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.2753246753246753,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N16,N16_A01_raster_left_to_right,raster,,0.0002434928235288,0.1752076148986816,587841664.0,579948288.0,0.8575348565650852,0.8660872204831617,1.0,0.8,76,77,78,37,U2_outside_near_safe_analysis_gate,PEEQ_outside_analysis_gate,outside_U2_PEEQ_analysis_gate,PEEQ_safety_filter_region,0.0636363636363636,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N16,N16_A02_odd_even_interlaced,odd_even,,4.9715717977960594e-05,0.1537079364061355,585719808.0,579947520.0,0.08187768421374651,0.23317415671191305,0.6948999687114645,0.4,42,55,76,13,U2_safe_analysis_gate,PEEQ_safe_analysis_gate,combined_safe_analysis_gate,admissible_secondary_SurfaceT_ranking_region,0.3922077922077922,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N16,N16_A03_greedy_maximin_distance,maximin,,4.607185064742225e-05,0.1532730907201767,582927360.0,579948160.0,0.06729189595979172,0.22037305759485804,0.29337603298179743,0.7333333333333333,33,53,68,33,U2_safe_analysis_gate,PEEQ_safe_analysis_gate,combined_safe_analysis_gate,admissible_secondary_SurfaceT_ranking_region,0.45,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N16,N16_A04_method_c_u2_first_engineering,method_c,,5.043179316999158e-05,0.1518275737762451,581727104.0,579948352.0,0.08474401280846264,0.17781955810721708,0.12079215209909264,0.8333333333333334,45,37,49,47,U2_safe_analysis_gate,PEEQ_safe_analysis_gate,combined_safe_analysis_gate,admissible_secondary_SurfaceT_ranking_region,0.4311688311688312,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N16,N16_A05_center_out,center_out,,0.0002790839121189,0.1664191931486129,582182080.0,579946816.0,1.0,0.6073714011987797,0.1862127988515267,0.03333333333333333,78,71,59,2,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.1577922077922078,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N16,N16_A06_edge_in_alternating,edge_in,,0.0002053208902452,0.1797565519809723,581764096.0,579947776.0,0.7047390257584728,1.0,0.12611120313621557,0.5333333333333333,73,78,50,26,U2_outside_near_safe_analysis_gate,PEEQ_outside_analysis_gate,outside_U2_PEEQ_analysis_gate,PEEQ_safety_filter_region,0.1545454545454545,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
N16,N16_A07_regular_jump_coprime,regular_jump,,0.0002763091160886,0.1653308719396591,581433216.0,579946752.0,0.9888929580375555,0.5753331216047388,0.0785342241363444,0.0,77,70,32,1,U2_outside_near_safe_analysis_gate,PEEQ_safe_analysis_gate,outside_U2_PEEQ_analysis_gate,U2_warpage_filter_region,0.2220779220779221,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv
