strategy_name,final_expansion_batch,global_candidate_index,n,order_json,order_compact,order_hash,ppo_checkpoint,ppo_version_source,ppo_generation_mode,seed,selected_by_bucket,predicted_reward_available,predicted_quality_score,mean_abs_jump,max_abs_jump,long_jump_count,adjacent_fraction,total_travel_proxy,jump_variance,local_continuity_score,path_complexity_score,novelty_distance_score,min_hamming_to_combined552_sameN,min_hamming_to_conventional_baseline,nearest_conventional_baseline,candidate_source,teacher_validated,abaqus_validated,notes,stageT_pool_source,source_row_index,parity_switch_fraction,early_center_bias,early_edge_bias,duplicate_vs_combined552,duplicate_vs_ppo_v01,duplicate_vs_ppo_v02K2,duplicate_vs_ppo_v03,selected_already
PPOFINAL_N12_B011_quality,final_expansion_batch01,11,12,"[11, 1, 3, 9, 5, 7, 0, 2, 4, 6, 8, 10]","11,1,3,9,5,7,0,2,4,6,8,10",472a17ad0a36f2df,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21460835,quality,True,0.7531506548508535,3.727272727272727,10.0,4,0.0,41.0,6.925619834710743,-0.3388429752066115,0.3678425881656535,3.0,3,6.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,existing_v01_rollout_pool,228,0.0909090909090909,0.7575757575757577,0.2424242424242424,False,False,False,False,False
PPOFINAL_N12_B012_diversity,final_expansion_batch01,12,12,"[11, 1, 3, 7, 9, 5, 4, 0, 2, 6, 8, 10]","11,1,3,7,9,5,4,0,2,6,8,10",481320830eebac7d,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203809983,diversity,True,0.7017385423343372,3.363636363636364,10.0,5,0.0909090909090909,37.0,5.504132231404959,-0.2148760330578512,0.325791726430344,3.0,3,7.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,3693,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B013_diversity,final_expansion_batch01,13,12,"[11, 3, 1, 7, 5, 9, 0, 2, 4, 8, 6, 10]","11,3,1,7,5,9,0,2,4,8,6,10",005af0c248f4d57d,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203808591,diversity,True,0.6739092919977485,4.090909090909091,9.0,6,0.0,45.0,5.900826446280991,-0.371900826446281,0.3896762516221569,5.0,5,6.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,2301,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B014_diversity,final_expansion_batch01,14,12,"[1, 11, 3, 7, 9, 5, 0, 2, 4, 6, 8, 10]","1,11,3,7,9,5,0,2,4,6,8,10",9e1157dda1e792d5,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203807342,diversity,True,0.7175525424814981,3.909090909090909,10.0,5,0.0,43.0,6.991735537190084,-0.3553719008264462,0.3835405140814607,2.0,2,3.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,1052,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B015_diversity,final_expansion_batch01,15,12,"[11, 1, 3, 7, 9, 4, 0, 2, 5, 6, 8, 10]","11,1,3,7,9,4,0,2,5,6,8,10",237922b59aa4d7b3,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203807729,diversity,True,0.7021914904404882,3.363636363636364,10.0,4,0.0909090909090909,37.0,5.685950413223142,-0.2148760330578512,0.3272943560321472,2.0,2,5.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,1439,0.2727272727272727,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N12_B016_diversity,final_expansion_batch01,16,12,"[11, 3, 1, 9, 7, 5, 4, 0, 2, 6, 8, 10]","11,3,1,9,7,5,4,0,2,6,8,10",f6a591afae75c006,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,203808080,diversity,True,0.6992665888246384,3.363636363636364,8.0,4,0.0909090909090909,37.0,5.504132231404959,-0.2148760330578512,0.325791726430344,6.0,6,8.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,1790,0.0909090909090909,0.2424242424242423,0.7575757575757576,False,False,False,False,False
PPOFINAL_N16_B017_quality,final_expansion_batch01,17,16,"[11, 1, 3, 15, 13, 9, 7, 5, 0, 2, 4, 6, 8, 12, 14, 10]","11,1,3,15,13,9,7,5,0,2,4,6,8,12,14,10",939f0390b5bbea6c,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,204206570,quality,True,0.864852382423214,3.8,12.0,2,0.0,57.0,9.093333333333332,-0.2533333333333333,0.2779148148148148,9.0,9,10.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,280,0.06666666666666667,0.2666666666666667,0.7333333333333334,False,False,False,False,False
PPOFINAL_N16_B018_quality,final_expansion_batch01,18,16,"[11, 1, 3, 13, 15, 9, 7, 5, 0, 2, 4, 6, 8, 10, 14, 12]","11,1,3,13,15,9,7,5,0,2,4,6,8,10,14,12",68083be28a1aa0cd,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,204206560,quality,True,0.9259326743817458,3.6666666666666665,10.0,3,0.0,55.0,7.688888888888887,-0.2444444444444444,0.2633395061728394,8.0,8,10.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,270,0.0666666666666666,0.3333333333333333,0.6666666666666667,False,False,False,False,False
PPOFINAL_N16_B019_quality,final_expansion_batch01,19,16,"[11, 15, 3, 1, 13, 9, 7, 5, 0, 2, 4, 6, 8, 10, 12, 14]","11,15,3,1,13,9,7,5,0,2,4,6,8,10,12,14",77a09d02d881a290,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,21860673,quality,True,0.8585311742138704,3.8,12.0,2,0.0,57.0,11.22666666666667,-0.2533333333333333,0.2873962962962963,7.0,7,7.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,Stage T repair replacement from rollout pool; original duplicate physical order removed; not physically validated yet.,existing_v01_rollout_pool,594,0.0666666666666666,0.7333333333333334,0.2666666666666666,False,False,False,False,False
PPOFINAL_N16_B020_quality,final_expansion_batch01,20,16,"[11, 1, 3, 15, 13, 9, 7, 5, 4, 0, 2, 6, 8, 10, 14, 12]","11,1,3,15,13,9,7,5,4,0,2,6,8,10,14,12",d3f9b9321fe2cf06,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v01\ppo_training\checkpoints\maskable_ppo_lam_scan_order_final.zip,v01,stochastic,204206639,quality,True,0.9104711888437276,3.6666666666666665,12.0,2,0.0666666666666666,55.0,9.288888888888888,-0.1777777777777777,0.2704506172839506,10.0,10,13.0,odd_even,PPO_final_expansion_checkpoint_inference,False,False,final expansion PPO candidate; not physically validated yet.,fresh_v01_checkpoint_inference_lowN_topup,349,0.0666666666666666,0.2666666666666667,0.7333333333333334,False,False,False,False,False
