policy,total_reward,coverage_ratio,invalid_action_rate,reheat,peak,variance,jump,early_adjacency_ratio,cumulative_early_reheat,early_peak_heat
ppo_segment6,172.61740616383022,1.0,0.0,-8.610740204036405,-122.6407012701035,-0.7417581516783684,-36.3893942103516,0.06060606060606061,-2.2131062348539063,0.41317981481552124
random_segment6,171.50339654294936,1.0,0.0,-9.582805365145402,-122.56743354797364,-0.7517706517828628,-36.59459389214882,0.06060606060606061,-2.3360950808443204,0.4825774133205414
distance_aware_cool_first_segment6,200.04706857647605,1.0,0.0,-8.893731888688666,-119.77132399082181,-0.8101646794384578,-11.477710864574911,0.010101010101010102,-1.8244205260399378,0.47990044951438904
