term,mean_abs_per_step,std_abs_per_step,max_abs_per_step,mean_signed_per_step,mean_cumulative_per_episode,std_cumulative_per_episode,fraction_of_total_abs_reward_magnitude
coverage,1.0,0.0,1.0,1.0,56.0,0.0,0.6011057869629873
completion_bonus,0.1428571492433548,1.0594569444656372,8.0,0.1428571492433548,8.0,0.0,0.08587225528042676
invalid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peak,0.390761137008667,0.016120225191116333,0.5528790354728699,-0.390761137008667,-21.88262367248535,0.1254466027021408,0.23488877668143826
variance,0.003053823485970497,0.0003887773782480508,0.005144515540450811,-0.003053823485970497,-0.17101411521434784,0.002997231436893344,0.001835671001770257
reheat,0.023544305935502052,0.049893319606781006,0.3968883156776428,-0.023544305935502052,-1.318481206893921,0.38244953751564026,0.014152618835766465
jump,0.10338429361581802,0.06487653404474258,0.2773784101009369,-0.10338429361581802,-5.789520263671875,0.513327956199646,0.06214489525415436
total,0.6221135854721069,1.0585683584213257,8.570701599121094,0.6221135854721069,34.83836364746094,0.48103463649749756,1.0
