policy,episode_id,phase,adjacency_ratio,concentration_metric,cumulative_reheat,peak_heat,heat_variance,coverage_ratio
ppo_smoke,6,late,0.9285714285714286,0.9285714285714286,-45.06536398239785,0.4905253052711487,0.002877107821404934,1.0
random,6,early,0.06390977443609022,0.9821428571428571,-7.225562527331825,0.3080601096153259,0.001004948397167027,0.3
random,6,full,0.07311586051743532,1.0,-27.267470841541282,0.33708471059799194,0.0010742866434156895,1.0
random,6,late,0.07142857142857142,1.0,-8.676314326557332,0.33708471059799194,0.0010742866434156895,1.0
distance_aware_cool_first,6,early,0.0,1.0,-1.493507167302528,0.2905636727809906,0.0008711531991139054,0.3
distance_aware_cool_first,6,full,0.0,1.0,-9.209663489383175,0.3711099624633789,0.0015433046501129866,1.0
distance_aware_cool_first,6,late,0.0,0.9241071428571429,-4.939461812339722,0.3711099624633789,0.0015433046501129866,1.0
ppo_smoke,7,early,0.943609022556391,0.8928571428571429,-43.57534053516744,0.47325897216796875,0.0028144544921815395,0.3
ppo_smoke,7,full,0.9392575928008999,1.0,-149.23135395975066,0.4905253052711487,0.002877107821404934,1.0
ppo_smoke,7,late,0.9285714285714286,0.9285714285714286,-45.06536398239785,0.4905253052711487,0.002877107821404934,1.0
random,7,early,0.06015037593984962,1.0,-7.841586803973957,0.3219596743583679,0.001007101614959538,0.3
random,7,full,0.05399325084364454,1.0,-27.05759531833541,0.29764994978904724,0.001011303742416203,1.0
random,7,late,0.05639097744360902,1.0,-8.635758588938032,0.29764994978904724,0.001011303742416203,1.0
distance_aware_cool_first,7,early,0.0,1.0,-1.493507167302528,0.2905636727809906,0.0008711531991139054,0.3
distance_aware_cool_first,7,full,0.0,1.0,-9.209663489383175,0.3711099624633789,0.0015433046501129866,1.0
distance_aware_cool_first,7,late,0.0,0.9241071428571429,-4.939461812339722,0.3711099624633789,0.0015433046501129866,1.0
ppo_smoke,8,early,0.943609022556391,0.8928571428571429,-43.57534053516744,0.47325897216796875,0.0028144544921815395,0.3
ppo_smoke,8,full,0.9392575928008999,1.0,-149.23135395975066,0.4905253052711487,0.002877107821404934,1.0
ppo_smoke,8,late,0.9285714285714286,0.9285714285714286,-45.06536398239785,0.4905253052711487,0.002877107821404934,1.0
random,8,early,0.05639097744360902,1.0,-7.243060578757258,0.29005107283592224,0.0011069809552282095,0.3
random,8,full,0.05961754780652419,1.0,-26.938819422933566,0.31146350502967834,0.001032481319271028,1.0
random,8,late,0.08270676691729323,1.0,-9.162476776465775,0.31146350502967834,0.001032481319271028,1.0
distance_aware_cool_first,8,early,0.0,1.0,-1.493507167302528,0.2905636727809906,0.0008711531991139054,0.3
distance_aware_cool_first,8,full,0.0,1.0,-9.209663489383175,0.3711099624633789,0.0015433046501129866,1.0
distance_aware_cool_first,8,late,0.0,0.9241071428571429,-4.939461812339722,0.3711099624633789,0.0015433046501129866,1.0
ppo_smoke,9,early,0.943609022556391,0.8928571428571429,-43.57534053516744,0.47325897216796875,0.0028144544921815395,0.3
ppo_smoke,9,full,0.9392575928008999,1.0,-149.23135395975066,0.4905253052711487,0.002877107821404934,1.0
ppo_smoke,9,late,0.9285714285714286,0.9285714285714286,-45.06536398239785,0.4905253052711487,0.002877107821404934,1.0
random,9,early,0.04887218045112782,1.0,-7.886605719312205,0.2902713716030121,0.001018194598145783,0.3
random,9,full,0.0562429696287964,1.0,-28.17221674373897,0.3038625419139862,0.0012525515630841255,1.0
random,9,late,0.07518796992481203,1.0,-8.887165917016095,0.3038625419139862,0.0012525515630841255,1.0
distance_aware_cool_first,9,early,0.0,1.0,-1.493507167302528,0.2905636727809906,0.0008711531991139054,0.3
distance_aware_cool_first,9,full,0.0,1.0,-9.209663489383175,0.3711099624633789,0.0015433046501129866,1.0
distance_aware_cool_first,9,late,0.0,0.9241071428571429,-4.939461812339722,0.3711099624633789,0.0015433046501129866,1.0
