policy,total_reward,coverage_ratio,invalid_action_rate,reheat,peak,variance,jump,early_adjacency_ratio,cumulative_early_reheat
stripe_ppo_smoke,389.07040877613747,1.0,0.0,-149.23135395975066,-345.35128784179705,-2.7028604583756533,-11.644088963939499,0.9436090225563911,-43.57534053516745
segment_ppo_smoke,172.61740616383022,1.0,0.0,-8.610740204036405,-122.6407012701035,-0.7417581516783684,-36.3893942103516,0.06060606060606061,-2.2131062348539063
