planner,total_reward,coverage,invalid,peak,variance,reheat,jump,completion_bonus,support_risk,steps,coverage_ratio,peak_heat_final,heat_variance_final
raster,76.40470640292992,224.0,0.0,-101.38200669288635,-1.010422268678667,-47.038318766910805,-6.164545868594255,8.0,0.0,890,1.0,0.8173623085021973,0.006727737374603748
random,115.84117624928228,224.0,0.0,-84.73503701686865,-0.5754995914176106,-6.511670074082303,-24.336617068349224,8.0,0.0,890,1.0,0.4235895276069641,0.002515280619263649
greedy,121.36249801603395,224.0,0.0,-83.84204680919649,-0.5417837444983888,-3.3787121031835223,-22.87495932708768,8.0,0.0,890,1.0,0.4821859896183014,0.0028732591308653355
cool_first,120.7192254816005,224.0,0.0,-83.6631136894226,-0.5406869505823124,-3.050440951241293,-24.026532927153262,8.0,0.0,890,1.0,0.48736661672592163,0.0031727172899991274
checkerboard,112.61502960105616,224.0,0.0,-89.02926616668702,-0.7841710223874543,-21.230646300445844,-8.340886909423489,8.0,0.0,890,1.0,0.3751385807991028,0.003013012930750847
distance_aware_cool_first,130.5538301019151,224.0,0.0,-85.3108064174652,-0.634682009840617,-7.271139462040558,-8.22954200873856,8.0,0.0,890,1.0,0.4433192014694214,0.0029095548670738935
