planner,total_reward,coverage,invalid,peak,variance,reheat,jump,completion_bonus,support_risk,steps,coverage_ratio,peak_heat_final,heat_variance_final
raster,135.2629039969084,454.0,0.0,-210.94615046977995,-2.0237128753506113,-105.23248734669312,-8.53474531126794,8.0,0.0,890,1.0,0.5074513554573059,0.003949105739593506
random,333.1030156451584,581.0,0.0,-176.14847457408885,-0.9205940990359522,-16.30621878510882,-62.52169689660782,8.0,0.0,890,1.0,0.29510635137557983,0.0010430951369926333
greedy,359.864650149067,600.0,0.0,-175.95365579128264,-0.8049179439840373,-7.19749805892071,-64.17927805674586,8.0,0.0,890,1.0,0.3375351130962372,0.001240402925759554
cool_first,356.45123330762823,596.0,0.0,-175.757439994812,-0.8054506263288204,-6.909939050336508,-64.0759370208944,8.0,0.0,890,1.0,0.32591161131858826,0.0013277773978188634
checkerboard,253.28145130548225,472.0,0.0,-161.8399501800537,-1.4517818029562477,-51.08642956379514,-12.340387147712365,8.0,0.0,890,1.0,0.2895072400569916,0.0011669353116303682
distance_aware_cool_first,403.34928353984066,598.0,0.0,-173.9895647764204,-0.8976659527106676,-9.24082046458099,-18.522665266447216,8.0,0.0,890,1.0,0.3432334363460541,0.001452721538953483
