planner,total_reward,coverage,invalid,peak,variance,reheat,jump,completion_bonus,support_risk,steps,coverage_ratio,peak_heat_final,heat_variance_final
raster,201.04239467692736,447.0,0.0,-179.115736079216,-1.5525503918761387,-61.76861291662638,-11.52070593535408,8.0,0.0,890,1.0,0.549357533454895,0.0037454243283718824
random,299.9196286089979,531.0,0.0,-166.5648273468017,-0.8984359601163305,-15.177010981603464,-56.44009710248033,8.0,0.0,890,1.0,0.3081752359867096,0.0011278806487098336
greedy,312.50332093978426,532.0,0.0,-162.12406489849093,-0.776731091842521,-6.298543194289308,-58.29733987559312,8.0,0.0,890,1.0,0.3162408173084259,0.0011993512744084
cool_first,308.94501199196515,527.0,0.0,-161.201948928833,-0.7788278033258393,-6.3916612095081025,-57.6825500663682,8.0,0.0,890,1.0,0.32414695620536804,0.0013086498947814107
checkerboard,231.63345670928976,464.0,0.0,-168.5991019010545,-1.4981649229303002,-56.82938379183492,-13.439892674890714,8.0,0.0,890,1.0,0.28996041417121887,0.0014409101568162441
distance_aware_cool_first,357.83430843386657,538.0,0.0,-162.0392520666124,-0.8661920086597092,-8.43590329835091,-16.824344192510438,8.0,0.0,890,1.0,0.29565998911857605,0.001141476328484714
