environment,metric,value
fixed_segment6,thermal_share,0.2612325262047511
fixed_segment6,coverage_completion_share,0.668257953411502
fixed_segment6,jump_share,0.07050952038375242
variable_length,thermal_share,0.2584647917251887
variable_length,coverage_completion_share,0.6723964881386771
variable_length,jump_share,0.06913872013612686
fixed_random,early_adjacency_ratio,0.06060606060606061
fixed_random,cumulative_early_reheat,-2.3360950808443204
fixed_random,early_peak_heat,0.4754903331398964
fixed_random,early_heat_variance,0.0023901007894892245
fixed_distance_aware_cool_first,early_adjacency_ratio,0.010101010101010102
fixed_distance_aware_cool_first,cumulative_early_reheat,-1.8244205260399378
fixed_distance_aware_cool_first,early_peak_heat,0.4602269870042801
fixed_distance_aware_cool_first,early_heat_variance,0.0025353056217136327
fixed_cool_first,early_adjacency_ratio,0.0
fixed_cool_first,cumulative_early_reheat,-0.38057606215492
fixed_cool_first,early_peak_heat,0.45795936226844786
fixed_cool_first,early_heat_variance,0.0020141586738463956
variable_random,early_adjacency_ratio,0.040229885057471264
variable_random,cumulative_early_reheat,-4.567190010767236
variable_random,early_peak_heat,0.39772617203848704
variable_random,early_heat_variance,0.0017423288633913866
variable_distance_aware_cool_first,early_adjacency_ratio,0.18435754189944134
variable_distance_aware_cool_first,cumulative_early_reheat,-2.697981509171175
variable_distance_aware_cool_first,early_peak_heat,0.3848311518629392
variable_distance_aware_cool_first,early_heat_variance,0.0017675949132858982
variable_cool_first,early_adjacency_ratio,0.0
variable_cool_first,cumulative_early_reheat,-0.7034492741219236
variable_cool_first,early_peak_heat,0.38291168762318917
variable_cool_first,early_heat_variance,0.0013911930992796123
