env,action_format,action_count,mean_cells_per_action,min_cells_per_action,max_cells_per_action
fixed_segment6,"(stripe_id, segment_index)",336,2.6726726726726726,1,4
variable_length,"(stripe_id, start_cell, length[2..8])",6230,4.249277688603532,1,8
