regime,target,feature_set,model_name,macro_spearman_leave_N_out,macro_top5_overlap_leave_N_out,macro_top10_overlap_leave_N_out,n24_spearman,n32_spearman,n40_spearman
native_combined204,target_mises_score_combined204_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.75,3.5,nan,nan,nan
native_combined204,target_mises_score_combined204_plus_N32_rank,F01_basic_order,Ridge,0.614532143084772,2.0,4.75,0.5938470630321798,nan,0.5884957258540996
native_combined204,target_mises_score_combined204_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.6610078564526145,1.75,4.5,0.6336457456987327,nan,0.6633749339894404
native_combined204,target_mises_score_combined204_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.75,3.5,nan,nan,nan
native_combined204,target_mises_score_combined204_plus_N32_rank,F07_F01_no_n,Ridge,0.6112104791308448,1.5,4.5,0.5912902229661875,nan,0.620267325537924
native_combined204,target_mises_score_combined204_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.6610629141809575,2.0,4.25,0.6354481083682028,nan,0.6518158036979412
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F01_basic_order,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F01_basic_order,Ridge,0.7713925473600701,0.8,3.4,0.7275972578618002,0.7750821965164456,0.8262126736598
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F01_basic_order,RandomForestRegressor,0.8555664260446081,1.4,4.6,0.8265294417486125,0.8191678359308558,0.8929436374326277
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F01_basic_order,ExtraTreesRegressor,0.8409477507791472,1.0,4.4,0.8136488430024291,0.7769241603701151,0.8845021732245478
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F03_family_plus_features,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F03_family_plus_features,Ridge,0.8335019514676413,1.4,4.4,0.7983383607402884,0.8465683844426668,0.8523327418849806
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F03_family_plus_features,RandomForestRegressor,0.8281362005683282,0.8,4.6,0.8430611222444889,0.803009533309403,0.9013766974366085
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F03_family_plus_features,ExtraTreesRegressor,0.8449600240972955,1.2,4.4,0.8355130627653553,0.7853782875424258,0.9349963469366455
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F05_n_agnostic,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F05_n_agnostic,Ridge,0.8319812665703955,1.2,4.8,0.783976453194286,0.8346997184210785,0.8694917023275233
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F05_n_agnostic,RandomForestRegressor,0.8254615554477402,1.0,4.6,0.8402550909036213,0.797428179679318,0.9002588512315567
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F05_n_agnostic,ExtraTreesRegressor,0.831158452069741,1.0,4.0,0.8290661629317356,0.7969989268733612,0.9092882715062813
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F07_F01_no_n,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F07_F01_no_n,Ridge,0.7769270984807453,0.8,3.6,0.737012411888589,0.7760128481324697,0.8265466994021327
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F07_F01_no_n,RandomForestRegressor,0.8544089015541537,1.4,4.8,0.8336899690904941,0.814861632794222,0.8920250570518404
plus_N32_unweighted,target_reward_combined204_plus_N32_mapped_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.8391378298790704,1.2,4.4,0.8083462950582952,0.7842114333509927,0.8850521968885912
plus_N32_unweighted,target_u2_score_combined204_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.2,1.2,nan,nan,nan
plus_N32_unweighted,target_u2_score_combined204_plus_N32_rank,F01_basic_order,Ridge,0.8065700600736981,1.6,4.0,0.7723685873775143,0.8358564705229391,0.8715775447903525
plus_N32_unweighted,target_u2_score_combined204_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.8389423617978162,0.8,4.4,0.826353807307193,0.8319430642454643,0.8994363305786472
plus_N32_unweighted,target_u2_score_combined204_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.2,1.2,nan,nan,nan
plus_N32_unweighted,target_u2_score_combined204_plus_N32_rank,F07_F01_no_n,Ridge,0.8043455342170172,1.6,4.0,0.776418522669996,0.8304535777321,0.8695316371185651
plus_N32_unweighted,target_u2_score_combined204_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.844745361235668,0.8,4.4,0.8302784868689794,0.8356145887635316,0.8945929067526777
plus_N32_unweighted,target_peeq_score_combined204_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.0,0.8,nan,nan,nan
plus_N32_unweighted,target_peeq_score_combined204_plus_N32_rank,F01_basic_order,Ridge,0.5002931320675887,1.0,3.8,0.4903135578067917,0.2155985738615833,0.5757977499547945
plus_N32_unweighted,target_peeq_score_combined204_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.5620591772760684,0.8,4.2,0.5794956380618526,0.22564667521931706,0.6438137417372795
plus_N32_unweighted,target_peeq_score_combined204_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.0,0.8,nan,nan,nan
plus_N32_unweighted,target_peeq_score_combined204_plus_N32_rank,F07_F01_no_n,Ridge,0.5090080589689601,1.0,3.8,0.4780384961986513,0.21237736629394474,0.5843989128198601
plus_N32_unweighted,target_peeq_score_combined204_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.554105758983309,1.2,3.4,0.592480482143933,0.20511797639485999,0.6993872746178735
plus_N32_unweighted,target_surfaceT_score_combined204_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.2,1.8,nan,nan,nan
plus_N32_unweighted,target_surfaceT_score_combined204_plus_N32_rank,F01_basic_order,Ridge,0.13234877551619623,0.6,2.4,0.0754457017888085,0.33302721532967733,0.4078871846059524
plus_N32_unweighted,target_surfaceT_score_combined204_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.3055716344538739,1.0,2.8,0.34031982029915775,0.1397931074109635,0.5113152428691649
plus_N32_unweighted,target_surfaceT_score_combined204_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.2,1.8,nan,nan,nan
plus_N32_unweighted,target_surfaceT_score_combined204_plus_N32_rank,F07_F01_no_n,Ridge,0.08010580277616809,0.4,2.4,0.0716880298679492,0.290373350854682,0.42788697592811964
plus_N32_unweighted,target_surfaceT_score_combined204_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.31649902099448635,1.0,3.0,0.3396935416456812,0.18066511930483856,0.5820876858434613
plus_N32_unweighted,target_mises_score_combined204_plus_N32_rank,F01_basic_order,MeanBaseline,nan,0.6,2.8,nan,nan,nan
plus_N32_unweighted,target_mises_score_combined204_plus_N32_rank,F01_basic_order,Ridge,0.29882610766042966,1.4,3.4,0.5793862462655018,0.025554533468781386,-0.2992905592584463
plus_N32_unweighted,target_mises_score_combined204_plus_N32_rank,F01_basic_order,ExtraTreesRegressor,0.2691959171185126,1.2,3.4,0.4882831006354305,-0.04118984111889131,-0.4784656595806449
plus_N32_unweighted,target_mises_score_combined204_plus_N32_rank,F07_F01_no_n,MeanBaseline,nan,0.6,2.8,nan,nan,nan
plus_N32_unweighted,target_mises_score_combined204_plus_N32_rank,F07_F01_no_n,Ridge,0.4611557648966532,1.2,3.6,0.5610272962834585,0.028121359557038993,0.5915683739814168
plus_N32_unweighted,target_mises_score_combined204_plus_N32_rank,F07_F01_no_n,ExtraTreesRegressor,0.3095968783138541,1.0,3.8,0.484468798241901,-0.044123784444492206,-0.23071229763548115
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F01_basic_order,MeanBaseline,nan,0.4,1.2,nan,nan,nan
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F01_basic_order,Ridge,0.7713925473600701,0.8,3.4,0.7275972578618002,0.7750821965164456,0.8262126736598
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F01_basic_order,RandomForestRegressor,0.850244997779279,1.6,5.0,0.8174274303169496,0.8123462273100817,0.9095502100690904
plus_N32_balanced,target_reward_combined204_plus_N32_mapped_u2_primary,F01_basic_order,ExtraTreesRegressor,0.8500848776292951,1.4,4.8,0.8351304250280737,0.7787678033168386,0.8955323639603011
