n,validation_rows,k,topk_hit_fraction,predicted_topk_teacher_reward_mean,predicted_topk_teacher_reward_best,observed_validation_best_reward,observed_validation_mean_reward,predicted_topk_lift_fraction_vs_mean_to_best
12,20,5,0.4,0.7713766233766233,1.0114285714285713,1.056038961038961,0.576948051948052,0.40582813770669524
16,20,5,0.8,0.874168831168831,1.0705194805194804,1.0705194805194804,0.5568863636363636,0.6177219830719536
24,47,5,0.2,0.8175555555555556,1.027089947089947,1.0321693121693123,0.5504289091523135,0.5545033066155679
40,51,5,0.4,0.9272341463414635,1.0379024390243903,1.0379024390243903,0.5127283596365375,0.7892731248047835
