model_type,spearman,pearson,mae,rmse
HistGradientBoostingRegressor,0.878558039393863,0.8863107612337054,0.09416472314732778,0.13792435602768863
GradientBoostingRegressor,0.8719779354181744,0.8808215361749712,0.09821130853506341,0.14032459571006436
RandomForestRegressor,0.8639274681668632,0.8740731273374911,0.09888403304051746,0.14426622138841863
ExtraTreesRegressor,0.8539363040455538,0.8646576175602522,0.09870291352186453,0.14922688397728437
ElasticNet,0.7805825287051896,0.8143417066951893,0.1389428824822092,0.1723806497872585
Ridge,0.7775048117866511,0.8125997553404865,0.13930960785654015,0.17329912697253108
