strategy_name,n,order_json,order_compact,order_hash,ppo_checkpoint,ppo_seed,ppo_generation_mode,selected_by,predicted_reward,conservative_reward,candidate_source,teacher_validated,abaqus_validated,stageK2_role,notes
PPOV02_N24_B11_diverse_tophalf,24,"[21,17,3,9,7,13,15,1,5,11,19,23,18,0,2,22,20,4,8,10,12,14,6,16]","21,17,3,9,7,13,15,1,5,11,19,23,18,0,2,22,20,4,8,10,12,14,6,16",0c749c8bf0d90074,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,stochastic,diverse_tophalf,0.6554263196367985,0.6303504529920838,PPO_v02_checkpoint_inference,False,False,N24_retained_from_StageK_v02,N24 candidate retained from Stage K v02.
PPOV02_N24_B12_diverse_tophalf,24,"[21,3,17,7,9,13,5,1,11,23,15,19,0,2,18,22,20,4,8,10,12,6,14,16]","21,3,17,7,9,13,5,1,11,23,15,19,0,2,18,22,20,4,8,10,12,6,14,16",3995ed2b0c2db6cc,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,stochastic,diverse_tophalf,0.657739953686204,0.6320727907972225,PPO_v02_checkpoint_inference,False,False,N24_retained_from_StageK_v02,N24 candidate retained from Stage K v02.
PPOV02_N24_B13_diverse_tophalf,24,"[21,3,7,17,9,13,5,11,1,19,15,23,0,2,18,4,20,22,8,10,12,14,6,16]","21,3,7,17,9,13,5,11,1,19,15,23,0,2,18,4,20,22,8,10,12,14,6,16",12d8d508bf9c0aa0,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,stochastic,diverse_tophalf,0.6580546524284444,0.6318415479184212,PPO_v02_checkpoint_inference,False,False,N24_retained_from_StageK_v02,N24 candidate retained from Stage K v02.
PPOV02_N24_B14_novelty_tophalf,24,"[21,17,7,3,13,9,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,6,14,16]","21,17,7,3,13,9,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,6,14,16",e9785cdd94f93113,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,stochastic,novelty_tophalf,0.6600199010313651,0.6366791768547079,PPO_v02_checkpoint_inference,False,False,N24_retained_from_StageK_v02,N24 candidate retained from Stage K v02.
PPOV02_N24_B15_novelty_tophalf,24,"[21,9,17,3,7,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,6,14,16]","21,9,17,3,7,13,5,1,11,15,19,23,0,2,18,20,22,4,8,10,12,6,14,16",0b587b2305dd8692,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,stochastic,novelty_tophalf,0.6604327123822783,0.6300114696241449,PPO_v02_checkpoint_inference,False,False,N24_retained_from_StageK_v02,N24 candidate retained from Stage K v02.
PPOV02_N24_B16_novelty_tophalf,24,"[21,3,17,7,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,6,12,10,14,16]","21,3,17,7,9,13,5,1,11,15,19,23,0,2,18,20,22,4,8,6,12,10,14,16",c13cf1f80061e36e,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\ppo_training_v02\checkpoints\N24_seed20260624_maskable_ppo_v02.zip,20260624,stochastic,novelty_tophalf,0.6549937951091864,0.6298483452884668,PPO_v02_checkpoint_inference,False,False,N24_retained_from_StageK_v02,N24 candidate retained from Stage K v02.
PPOV02K2_N40_B01_deterministic,40,"[37,35,29,20,24,26,30,25,23,19,17,13,11,9,7,5,3,1,0,2,4,6,8,10,14,16,18,12,15,21,22,28,34,38,36,32,27,31,33,39]","37,35,29,20,24,26,30,25,23,19,17,13,11,9,7,5,3,1,0,2,4,6,8,10,14,16,18,12,15,21,22,28,34,38,36,32,27,31,33,39",bcf2d41b8aa56c9f,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,deterministic,deterministic,0.5696744620500784,0.6336436014802016,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
PPOV02K2_N40_B02_top_reward,40,"[37,35,29,24,20,30,26,25,23,19,17,13,11,9,7,5,3,1,0,2,4,6,8,10,14,18,16,12,15,21,22,28,38,36,34,32,27,31,33,39]","37,35,29,24,20,30,26,25,23,19,17,13,11,9,7,5,3,1,0,2,4,6,8,10,14,18,16,12,15,21,22,28,38,36,34,32,27,31,33,39",dbc3f8d62a762a03,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,stochastic,top_reward,0.5665774256651016,0.6367197231137901,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
PPOV02K2_N40_B03_top_reward,40,"[37,35,29,20,24,26,30,25,23,19,17,13,11,9,7,5,3,1,0,2,4,6,8,10,14,16,18,12,15,21,22,28,38,36,34,32,31,27,33,39]","37,35,29,20,24,26,30,25,23,19,17,13,11,9,7,5,3,1,0,2,4,6,8,10,14,16,18,12,15,21,22,28,38,36,34,32,31,27,33,39",fc208f8b833e1113,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,stochastic,top_reward,0.5682436228482004,0.634096997497623,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
PPOV02K2_N40_B04_top_reward,40,"[37,35,29,24,20,30,26,25,23,19,13,11,9,7,5,3,1,0,2,4,6,8,10,14,16,18,12,15,17,21,22,28,34,38,36,32,27,31,33,39]","37,35,29,24,20,30,26,25,23,19,13,11,9,7,5,3,1,0,2,4,6,8,10,14,16,18,12,15,17,21,22,28,34,38,36,32,27,31,33,39",8f5c87772dc094d8,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,stochastic,top_reward,0.5689349667449142,0.6338050270249607,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
PPOV02K2_N40_B05_top_reward,40,"[37,35,29,20,24,26,30,25,23,19,17,13,11,9,7,5,3,1,0,2,4,6,8,10,14,16,18,12,15,21,22,28,32,36,38,34,31,27,33,39]","37,35,29,20,24,26,30,25,23,19,17,13,11,9,7,5,3,1,0,2,4,6,8,10,14,16,18,12,15,21,22,28,32,36,38,34,31,27,33,39",92f11a995b28f49a,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,stochastic,top_reward,0.5698171459311425,0.6335732086201543,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
PPOV02K2_N40_B06_top_reward,40,"[37,35,29,20,24,30,26,25,23,19,17,13,11,9,7,5,3,1,0,2,4,6,8,10,14,16,18,12,15,21,22,28,34,38,36,32,27,31,33,39]","37,35,29,20,24,30,26,25,23,19,17,13,11,9,7,5,3,1,0,2,4,6,8,10,14,16,18,12,15,21,22,28,34,38,36,32,27,31,33,39",f0ff15c3d24ff363,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v02_targeted_N24_N40\stageK2_n40_completion\checkpoints\N40_seed20260624_maskable_ppo_v02_K2.zip,20260624,stochastic,top_reward,0.568003599374022,0.6328728053149492,PPO_v02K2_checkpoint_inference,False,False,N40_refreshed_after_K2_training,N40 candidate refreshed after Stage K2 N40 PPO completion.
