dataset_source,teacher_metric_extracted,n,strategy_name,source_strategy_name,order_json,order_compact,order_hash,u2_range,peeq_max,surface_t_proxy,mises_max,teacher_validation_status,ppo_v01_predicted_surrogate_reward_lex,duplicate_vs_combined552,duplicate_role
stage3_native_combined552,True,24,N24_A06_edge_in_alternating,N24_A06_edge_in_alternating,"[0,23,1,22,2,21,3,20,4,19,5,18,6,17,7,16,8,15,9,14,10,13,11,12]","0,23,1,22,2,21,3,20,4,19,5,18,6,17,7,16,8,15,9,14,10,13,11,12",nan,0.0005255469384337,0.1848475784063339,590591168.0,579942784.0,PASS_ODB_EXTRACTED,,,
stage3_native_combined552,True,24,N24_A07_regular_jump_coprime,N24_A07_regular_jump_coprime,"[0,11,22,9,20,7,18,5,16,3,14,1,12,23,10,21,8,19,6,17,4,15,2,13]","0,11,22,9,20,7,18,5,16,3,14,1,12,23,10,21,8,19,6,17,4,15,2,13",nan,0.0002371341688558,0.1627264767885208,583243392.0,579943104.0,PASS_ODB_EXTRACTED,,,
stage3_native_combined552,True,24,N24_A08_block_interleaved_quarters,N24_A08_block_interleaved_quarters,"[0,6,12,18,1,7,13,19,2,8,14,20,3,9,15,21,4,10,16,22,5,11,17,23]","0,6,12,18,1,7,13,19,2,8,14,20,3,9,15,21,4,10,16,22,5,11,17,23",nan,0.000624739785735,0.1546273678541183,584995648.0,579943744.0,PASS_ODB_EXTRACTED,,,
stage3_native_combined552,True,24,N24_A09_center_edge_alternating,N24_A09_center_edge_alternating,"[11,0,12,23,10,1,13,22,9,2,14,21,8,3,15,20,7,4,16,19,6,5,17,18]","11,0,12,23,10,1,13,22,9,2,14,21,8,3,15,20,7,4,16,19,6,5,17,18",nan,0.0005546370016418,0.1753909140825271,581775744.0,579943744.0,PASS_ODB_EXTRACTED,,,
stage3_native_combined552,True,24,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,"[0,23,2,11,4,17,6,5,8,10,14,12,20,16,1,18,3,22,7,9,13,15,19,21]","0,23,2,11,4,17,6,5,8,10,14,12,20,16,1,18,3,22,7,9,13,15,19,21",nan,0.0001888593301373,0.1541593670845031,583863616.0,579943360.0,PASS_ODB_EXTRACTED,,,
stage3_native_combined552,True,24,N24_A11_graph_pointer_policy_diverse_01,N24_A11_graph_pointer_policy_diverse_01,"[0,11,23,22,1,9,20,2,7,21,18,3,5,16,4,19,14,12,6,17,10,8,15,13]","0,11,23,22,1,9,20,2,7,21,18,3,5,16,4,19,14,12,6,17,10,8,15,13",nan,0.0002307547981672,0.163732573390007,589194880.0,579943936.0,PASS_ODB_EXTRACTED,,,
stage3_native_combined552,True,24,N24_A12_graph_pointer_policy_diverse_02,N24_A12_graph_pointer_policy_diverse_02,"[9,14,8,15,7,16,6,17,5,18,4,19,3,20,2,21,1,22,0,23,11,12,10,13]","9,14,8,15,7,16,6,17,5,18,4,19,3,20,2,21,1,22,0,23,11,12,10,13",nan,0.0005429062013035,0.1641553044319152,583079232.0,579943936.0,PASS_ODB_EXTRACTED,,,
stage3_native_combined552,True,24,N24_A13_graph_pointer_policy_anti_odd_even_novelty,N24_A13_graph_pointer_policy_anti_odd_even_novelty,"[1,22,3,20,5,18,7,16,9,14,11,12,13,10,15,8,17,6,19,4,21,2,23,0]","1,22,3,20,5,18,7,16,9,14,11,12,13,10,15,8,17,6,19,4,21,2,23,0",nan,0.0002316626496394,0.1621642112731933,581204672.0,579944256.0,PASS_ODB_EXTRACTED,,,
stage3_native_combined552,True,24,N24_A14_graph_pointer_policy_u2first_proxy,N24_A14_graph_pointer_policy_u2first_proxy,"[0,11,2,12,4,10,6,13,8,9,14,15,16,7,18,20,22,17,1,5,3,19,21,23]","0,11,2,12,4,10,6,13,8,9,14,15,16,7,18,20,22,17,1,5,3,19,21,23",nan,0.0003735758580205,0.1622905135154724,583235840.0,579944640.0,PASS_ODB_EXTRACTED,,,
stage3_native_combined552,True,24,N24_A15_graph_pointer_policy_balanced_dispersion_proxy,N24_A15_graph_pointer_policy_balanced_dispersion_proxy,"[0,11,23,12,10,17,13,5,9,8,14,20,15,2,7,1,16,3,6,4,18,19,21,22]","0,11,23,12,10,17,13,5,9,8,14,20,15,2,7,1,16,3,6,4,18,19,21,22",nan,0.0004410466524404,0.1661432981491089,583990144.0,579944128.0,PASS_ODB_EXTRACTED,,,
stage3_native_combined552,True,24,S3B20_N24_B01_surrogate_top,S3B20_N24_B01_surrogate_top,"[0,2,4,6,8,10,12,22,20,18,16,14,1,3,5,7,9,11,13,15,17,19,21,23]","0,2,4,6,8,10,12,22,20,18,16,14,1,3,5,7,9,11,13,15,17,19,21,23",nan,7.634673784195911e-05,0.1602428555488586,586730944.0,579944704.0,PASS_TEACHER_FIELDS_EXTRACTED,,,
