candidate_id,strategy_name,n,candidate_source,generation_method,selection_bucket,priority_role,surrogate_prediction,predicted_u2_guarded_score,predicted_peeq_guarded_score,predicted_surfaceT_guarded_score,predicted_mises_guarded_score,strict_penalty_guard_score,penalty_repair_score,two_stage_guarded_score,two_stage_penalty_repair_score,no_penalty_worse_than_median_score,N24_maintenance_score,N40_u2_reward_retention_score,N40_penalty_repair_score,gnn_reward_prediction,graph_pointer_policy_score,hybrid_score,constrained_score,uncertainty_score,gnn_vs_surrogate_disagreement,novelty_distance,nearest_existing_teacher_strategy,order_json,order_compact,order_hash,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,odd_even_transition_count,mean_signed_jump,jump_std_norm,edge_visit_early_fraction,center_visit_early_fraction,pred_rank_constrained_within_n,batch_option,handoff_strategy_name,teacher_validated,teacher_validation_status
R58_N12_C00158,N12_R58_N12_C00158_variableN_anchor_top,12.0,variableN_anchor_top,existing_pool_selection,variableN_anchor_top,constrained_reward_balance,0.8375795148247978,0.8352654652380209,0.8196249693702523,0.8375795148247978,0.8375795148247978,0.8312675313537234,0.831498936312401,0.832670992097525,0.8321014156512441,0.8196249693702523,0.831933853667773,0.831933853667773,0.831498936312401,0.8058945160499876,0.7603305785123967,0.8350898454033102,0.8310185644115746,0.027722948373960755,0.031684998774810125,0.16666666666666666,S3R19B28_N12_B02_u2_primary_top,"[3,5,7,9,11,1,0,2,4,6,8,10]",3-5-7-9-11-1-0-2-4-6-8-10,f5f1bd4e7fe9e016,0.2727272727272727,0.9090909090909091,0.23966942148760328,0.9090909090909091,1.0,1.0,0.09090909090909091,0.09090909090909091,2.0,1.0,0.05785123966942149,0.2132807917448585,0.0,0.3333333333333333,2.0,variable_N_recovery_anchor_batch48,S3R58N40_N12_B01_variableN_anchor_top,False,NOT_RUN
R58_N12_C00175,N12_R58_N12_C00175_variableN_anchor_top,12.0,variableN_anchor_top,existing_pool_selection,variableN_anchor_top,constrained_reward_balance,0.8347576370170708,0.8317824304055006,0.8122576370170709,0.8347576370170708,0.8347576370170708,0.8268175543724426,0.8271150750335998,0.8285650233807073,0.8278663147030212,0.8122576370170709,0.8276450337112857,0.8276450337112857,0.8271150750335998,0.8031855133545698,0.743801652892562,0.8316150750335998,0.8265032981740956,0.03239078952670964,0.03157212366250106,0.3333333333333333,S3B20_N12_B02_diversity_top,"[1,3,5,7,9,11,0,2,4,6,8,10]",1-3-5-7-9-11-0-2-4-6-8-10,8aadf6f90209956f,0.09090909090909091,0.9090909090909091,0.25619834710743805,1.0,0.0,1.0,0.09090909090909091,0.0,2.0,1.0,0.0743801652892562,0.2352107350538464,0.0,0.3333333333333333,3.0,variable_N_recovery_anchor_batch48,S3R58N40_N12_B02_variableN_anchor_top,False,NOT_RUN
R58_N12_C00054,N12_R58_N12_C00054_variableN_anchor_top,12.0,variableN_anchor_top,existing_pool_selection,variableN_anchor_top,constrained_reward_balance,0.7290267295597486,0.7260515229481783,0.7290267295597486,0.7290267295597486,0.7290267295597486,0.7278366469151204,0.7281341675762774,0.7273903659233849,0.727985407245699,0.7290267295597486,0.7275391262539633,0.7275391262539633,0.7281341675762774,0.7016838421955405,0.743801652892562,0.7281341675762775,0.7277473907167733,0.0214873059082958,0.02734288736420809,0.16666666666666666,S3B20_N12_B02_diversity_top,"[1,7,9,11,5,3,0,2,4,6,8,10]",1-7-9-11-5-3-0-2-4-6-8-10,835612bac75498fa,0.09090909090909091,0.9090909090909091,0.25619834710743805,0.5454545454545454,0.0,2.0,0.09090909090909091,0.0,2.0,1.0,0.0743801652892562,0.13878393077476583,0.0,0.0,6.0,variable_N_recovery_anchor_batch48,S3R58N40_N12_B03_variableN_anchor_top,False,NOT_RUN
R58_N12_C00243,N12_R58_N12_C00243_variableN_anchor_diversity,12.0,variableN_anchor_diversity,offline_mutation_or_pointer_proxy,variableN_anchor_diversity,constrained_reward_balance,0.8578571428571425,0.8548819362455723,0.8399025974025971,0.8578571428571425,0.8578571428571425,0.8512806965761507,0.8515782172373079,0.8525849837662335,0.8521476387249112,0.8399025974025971,0.8518809031877211,0.8518809031877211,0.8515782172373079,0.8253610389610386,0.743801652892562,0.855169126328217,0.8318118949232584,0.02451792620378908,0.03249610389610391,0.0,S3B20_N12_B02_diversity_top,"[1,11,9,7,5,3,0,2,4,6,8,10]",1-11-9-7-5-3-0-2-4-6-8-10,cea9436fc85171ab,0.09090909090909091,0.9090909090909091,0.25619834710743805,0.9090909090909091,0.0,1.0,0.09090909090909091,0.0,2.0,1.0,0.0743801652892562,0.20809385639692846,0.3333333333333333,0.0,1.0,variable_N_recovery_anchor_batch48,S3R58N40_N12_B04_variableN_anchor_diversity,False,NOT_RUN
R58_N12_C00010,N12_R58_N12_C00010_variableN_anchor_diversity,12.0,variableN_anchor_diversity,offline_mutation_or_pointer_proxy,variableN_anchor_diversity,constrained_reward_balance,0.8314285714285713,0.828453364817001,0.8134740259740258,0.8314285714285713,0.8314285714285713,0.8248521251475796,0.8251496458087365,0.8261564123376622,0.8257190672963399,0.8134740259740258,0.8254523317591498,0.8254523317591498,0.8251496458087365,0.7999896103896103,0.743801652892562,0.8287405548996456,0.805383323494687,0.025697958332070878,0.031438961038961044,0.0,S3R19B28_N12_B01_surrogate_top,"[1,11,9,7,5,3,2,0,4,6,8,10]",1-11-9-7-5-3-2-0-4-6-8-10,d17554c9d2e0795a,0.09090909090909091,0.9090909090909091,0.25619834710743805,0.9090909090909091,1.0,1.0,0.09090909090909091,0.09090909090909091,2.0,1.0,0.0743801652892562,0.21519366225275272,0.3333333333333333,0.0,4.0,variable_N_recovery_anchor_batch48,S3R58N40_N12_B05_variableN_anchor_diversity,False,NOT_RUN
R58_N12_C00001,N12_R58_N12_C00001_variableN_anchor_diversity,12.0,variableN_anchor_diversity,offline_mutation_or_pointer_proxy,variableN_anchor_diversity,constrained_reward_balance,0.7452619047619049,0.7416255411255414,0.7273073593073595,0.7437619047619048,0.7452619047619049,0.7381209956709958,0.7384096320346321,0.7393898593073596,0.7389797456709957,0.7273073593073595,0.7387300865800868,0.7387300865800868,0.7384096320346321,0.7172696103896105,0.7272727272727273,0.7422255411255413,0.7378848593073595,0.02862203439937412,0.027992294372294446,0.16666666666666666,S3B20_N12_B02_diversity_top,"[1,11,9,7,5,3,4,2,0,6,8,10]",1-11-9-7-5-3-4-2-0-6-8-10,278b20a302510f0d,0.09090909090909091,0.9090909090909091,0.2727272727272727,0.9090909090909091,1.0,2.0,0.09090909090909091,0.09090909090909091,4.0,1.0,0.0743801652892562,0.22932953595886954,0.3333333333333333,0.0,5.0,variable_N_recovery_anchor_batch48,S3R58N40_N12_B06_variableN_anchor_diversity,False,NOT_RUN
R58_N12_C00233,N12_R58_N12_C00233_variableN_anchor_sentinel,12.0,variableN_anchor_sentinel,offline_mutation_or_pointer_proxy,variableN_anchor_sentinel,constrained_reward_balance,0.7149613656783471,0.7119861590667769,0.7149613656783471,0.7149613656783471,0.7149613656783471,0.713771283033719,0.7140688036948761,0.7133250020419835,0.7139200433642975,0.7149613656783471,0.7134737623725621,0.7134737623725621,0.7140688036948761,0.688181092869395,0.743801652892562,0.714068803694876,0.713682026835372,0.01752796914902038,0.02678027280895212,0.16666666666666666,S3R19B28_N12_B04_method_c_inspired,"[1,7,11,9,5,3,0,2,4,6,8,10]",1-7-11-9-5-3-0-2-4-6-8-10,fdfe81b2f7dcfdbf,0.09090909090909091,0.9090909090909091,0.25619834710743805,0.5454545454545454,0.0,1.0,0.09090909090909091,0.0,2.0,1.0,0.0743801652892562,0.11511064691887701,0.3333333333333333,0.0,7.0,variable_N_recovery_anchor_batch48,S3R58N40_N12_B07_variableN_anchor_sentinel,False,NOT_RUN
R58_N12_C00281,N12_R58_N12_C00281_variableN_anchor_sentinel,12.0,variableN_anchor_sentinel,offline_mutation_or_pointer_proxy,variableN_anchor_sentinel,constrained_reward_balance,0.7129367699910152,0.7086392493298582,0.7129367699910152,0.7114367699910151,0.7129367699910152,0.7109177617265523,0.7112725137926681,0.7103368836273789,0.7110913877596101,0.7114367699910151,0.7105630096604367,0.7105630096604367,0.7112725137926681,0.6862374810095564,0.7107438016528926,0.7114975137926681,0.7106913361067176,0.023143941881338233,0.02669928898145879,0.25,S3R19B28_N12_B01_surrogate_top,"[1,3,9,7,11,5,2,0,4,6,8,10]",1-3-9-7-11-5-2-0-4-6-8-10,80f72dfd1bf8b3c7,0.09090909090909091,0.9090909090909091,0.2892561983471074,0.5454545454545454,0.0,2.0,0.09090909090909091,0.0,4.0,1.0,0.0743801652892562,0.13878393077476583,0.0,0.0,8.0,variable_N_recovery_anchor_batch48,S3R58N40_N12_B08_variableN_anchor_sentinel,False,NOT_RUN
R58_N16_C00053,N16_R58_N16_C00053_variableN_anchor_top,16.0,variableN_anchor_top,existing_pool_selection,variableN_anchor_top,constrained_reward_balance,0.7948104222821206,0.7917882000598984,0.7823104222821207,0.7948104222821206,0.7948104222821206,0.7898515333932318,0.7901537556154539,0.7906169500598984,0.7905026445043428,0.7823104222821207,0.7901743111710094,0.7901743111710094,0.7901537556154539,0.764351338724169,0.7911111111111111,0.7926537556154539,0.785435866726565,0.013643715088937254,0.030459083557951572,0.125,S3R24L64_N16_B02_top_region,"[8,6,4,2,10,14,12,0,1,3,5,7,9,11,13,15]",8-6-4-2-10-14-12-0-1-3-5-7-9-11-13-15,a611be7825eb9f66,0.5333333333333333,1.0,0.20888888888888887,0.8,1.0,2.0,0.06666666666666667,0.06666666666666667,3.0,1.0,0.03111111111111111,0.18991876105974667,0.0,0.25,10.0,variable_N_recovery_anchor_batch48,S3R58N40_N16_B01_variableN_anchor_top,False,NOT_RUN
R58_N16_C00216,N16_R58_N16_C00216_variableN_anchor_top,16.0,variableN_anchor_top,existing_pool_selection,variableN_anchor_top,constrained_reward_balance,0.7948104222821206,0.7914326445043428,0.7823104222821207,0.7948104222821206,0.7948104222821206,0.7897093111710095,0.7900470889487874,0.7904213945043429,0.7903782000598985,0.7823104222821207,0.7899965333932318,0.7899965333932318,0.7900470889487874,0.764351338724169,0.7822222222222223,0.7925470889487873,0.7852829778376763,0.010741421419852886,0.030459083557951572,0.125,S3R24L64_N16_B02_top_region,"[8,6,4,0,10,12,14,2,1,3,5,7,9,11,13,15]",8-6-4-0-10-12-14-2-1-3-5-7-9-11-13-15,c4d40c7d24c0d513,0.5333333333333333,1.0,0.21777777777777776,0.8,1.0,2.0,0.06666666666666667,0.06666666666666667,3.0,1.0,0.03111111111111111,0.20722743514444036,0.25,0.25,11.0,variable_N_recovery_anchor_batch48,S3R58N40_N16_B02_variableN_anchor_top,False,NOT_RUN
