"original_path","archived_path","strategy_name","extension","size_bytes","modified_time","moved_ok"
"E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N40S3R24L64_N40_B04_top_region\J2D_S3R24L64_N40_B04_top_region.msg","E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_25_shortlist64_active_learning_cae_inp_generation\archived_failed_N40_B02_B03_B04_B05_solver_outputs_before_cool_initialInc_patch_20260613_085016\N40S3R24L64_N40_B04_top_region\J2D_S3R24L64_N40_B04_top_region.msg","S3R24L64_N40_B04_top_region",".msg","5135617","2026-06-13T04:01:12.7297427+08:00","True"
"E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N40S3R24L64_N40_B04_top_region\J2D_S3R24L64_N40_B04_top_region.odb","E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_25_shortlist64_active_learning_cae_inp_generation\archived_failed_N40_B02_B03_B04_B05_solver_outputs_before_cool_initialInc_patch_20260613_085016\N40S3R24L64_N40_B04_top_region\J2D_S3R24L64_N40_B04_top_region.odb","S3R24L64_N40_B04_top_region",".odb","159369584","2026-06-13T04:01:17.7881659+08:00","True"
"E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N40S3R24L64_N40_B04_top_region\J2D_S3R24L64_N40_B04_top_region.prt","E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_25_shortlist64_active_learning_cae_inp_generation\archived_failed_N40_B02_B03_B04_B05_solver_outputs_before_cool_initialInc_patch_20260613_085016\N40S3R24L64_N40_B04_top_region\J2D_S3R24L64_N40_B04_top_region.prt","S3R24L64_N40_B04_top_region",".prt","9325","2026-06-13T04:01:17.7953648+08:00","True"
"E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N40S3R24L64_N40_B04_top_region\J2D_S3R24L64_N40_B04_top_region.sta","E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_25_shortlist64_active_learning_cae_inp_generation\archived_failed_N40_B02_B03_B04_B05_solver_outputs_before_cool_initialInc_patch_20260613_085016\N40S3R24L64_N40_B04_top_region\J2D_S3R24L64_N40_B04_top_region.sta","S3R24L64_N40_B04_top_region",".sta","66603","2026-06-13T04:01:12.7297427+08:00","True"
"E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.com","E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_25_shortlist64_active_learning_cae_inp_generation\archived_failed_N40_B02_B03_B04_B05_solver_outputs_before_cool_initialInc_patch_20260613_085016\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.com","S3R24L64_N40_B05_top_region",".com","4463","2026-06-13T04:01:24.9778207+08:00","True"
"E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.dat","E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_25_shortlist64_active_learning_cae_inp_generation\archived_failed_N40_B02_B03_B04_B05_solver_outputs_before_cool_initialInc_patch_20260613_085016\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.dat","S3R24L64_N40_B05_top_region",".dat","207102","2026-06-13T04:05:31.7076225+08:00","True"
"E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.env","E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_25_shortlist64_active_learning_cae_inp_generation\archived_failed_N40_B02_B03_B04_B05_solver_outputs_before_cool_initialInc_patch_20260613_085016\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.env","S3R24L64_N40_B05_top_region",".env","26935","2026-06-13T04:05:37.2497863+08:00","True"
"E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.log","E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_25_shortlist64_active_learning_cae_inp_generation\archived_failed_N40_B02_B03_B04_B05_solver_outputs_before_cool_initialInc_patch_20260613_085016\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.log","S3R24L64_N40_B05_top_region",".log","1379","2026-06-13T04:05:38.5626173+08:00","True"
"E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.msg","E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_25_shortlist64_active_learning_cae_inp_generation\archived_failed_N40_B02_B03_B04_B05_solver_outputs_before_cool_initialInc_patch_20260613_085016\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.msg","S3R24L64_N40_B05_top_region",".msg","5232968","2026-06-13T04:05:31.7076225+08:00","True"
"E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.odb","E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_25_shortlist64_active_learning_cae_inp_generation\archived_failed_N40_B02_B03_B04_B05_solver_outputs_before_cool_initialInc_patch_20260613_085016\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.odb","S3R24L64_N40_B05_top_region",".odb","158463704","2026-06-13T04:05:36.8116347+08:00","True"
"E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.prt","E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_25_shortlist64_active_learning_cae_inp_generation\archived_failed_N40_B02_B03_B04_B05_solver_outputs_before_cool_initialInc_patch_20260613_085016\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.prt","S3R24L64_N40_B05_top_region",".prt","9325","2026-06-13T04:05:36.8195753+08:00","True"
"E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.sta","E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_25_shortlist64_active_learning_cae_inp_generation\archived_failed_N40_B02_B03_B04_B05_solver_outputs_before_cool_initialInc_patch_20260613_085016\N40S3R24L64_N40_B05_top_region\J2D_S3R24L64_N40_B05_top_region.sta","S3R24L64_N40_B05_top_region",".sta","66739","2026-06-13T04:05:31.7076225+08:00","True"
