track_index,rank,s
0,0,0.999999
1,29,0.25641074359
2,1,0.974358025641
3,28,0.282051717949
4,2,0.948717051282
5,27,0.307692692308
6,3,0.923076076923
7,26,0.333333666667
8,25,0.358974641026
9,4,0.897435102564
10,24,0.384615615385
11,5,0.871794128205
12,23,0.410256589744
13,6,0.846153153846
14,22,0.435897564103
15,7,0.820512179487
16,21,0.461538538462
17,8,0.794871205128
18,20,0.487179512821
19,9,0.769230230769
20,19,0.512820487179
21,30,0.230769769231
22,18,0.538461461538
23,31,0.205128794872
24,17,0.564102435897
25,32,0.179487820513
26,16,0.589743410256
27,33,0.153846846154
28,15,0.615384384615
29,34,0.128205871795
30,14,0.641025358974
31,35,0.102564897436
32,13,0.666666333333
33,36,0.0769239230769
34,10,0.74358925641
35,37,0.0512829487179
36,11,0.717948282051
37,38,0.025641974359
38,12,0.692307307692
39,39,1e-06
