track_index,rank,s
0,13,0.43478273913
1,8,0.652173608696
2,16,0.304348217391
3,7,0.695651782609
4,15,0.347826391304
5,5,0.782608130435
6,14,0.391304565217
7,6,0.739129956522
8,17,0.260870043478
9,4,0.826086304348
10,18,0.217391869565
11,9,0.608695434783
12,19,0.173913695652
13,3,0.869564478261
14,20,0.130435521739
15,2,0.913042652174
16,21,0.0869573478261
17,1,0.956520826087
18,22,0.043479173913
19,10,0.56521726087
20,23,1e-06
21,11,0.521739086957
22,0,0.999999
23,12,0.478260913043
