n,strategy_name,dataset_source,candidate_source,order_json,order_compact,order_hash,teacher_metrics_extracted,teacher_validation_status,u2_range,peeq_max,surface_t_proxy,mises_max,predicted_reward_previous,conservative_reward_previous,surfaceT_only_false_positive_teacher,rank_u2,percentile_u2,is_top10_u2,is_top25_u2,rank_peeq,percentile_peeq,is_top10_peeq,is_top25_peeq,rank_surface_t,percentile_surface_t,is_top10_surface_t,is_top25_surface_t,rank_mises,percentile_mises,is_top10_mises,is_top25_mises,lex_rank_u2_peeq_surfacet,lex_percentile_u2_peeq_surfacet,is_top10_lex,is_top25_lex,reward_lex_primary_v03,reward_u2_guarded_v03,reward_topk_classifier_v03,ref_lex_rank_vs_combined552,reward_record_seeking_v03,combined552_best_u2,combined552_best_lex_key
24,N24_A01_raster_left_to_right,stage3_native_combined552,nan,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",nan,True,PASS_ODB_EXTRACTED,0.0005523721708868,0.1892502903938293,587159872.0,579944256.0,,,False,208.0,0.9719626168224299,False,False,212.0,0.9906542056074766,False,False,204.0,0.9532710280373832,False,False,118.0,0.5514018691588785,False,False,208.0,0.9719626168224299,False,False,0.028169014084507005,0.011999999999999988,0.0,184.0,0.01111111111111111,2.9523077955673216e-05,"(np.float64(2.9523077955673216e-05), np.float64(0.1587531119585037), np.float64(582666368.0))"
24,N24_A02_odd_even_interlaced,stage3_native_combined552,nan,"[0,2,4,6,8,10,12,14,16,18,20,22,1,3,5,7,9,11,13,15,17,19,21,23]","0,2,4,6,8,10,12,14,16,18,20,22,1,3,5,7,9,11,13,15,17,19,21,23",nan,True,PASS_ODB_EXTRACTED,8.360300034837564e-05,0.1549861133098602,586226112.0,579943936.0,,,False,102.0,0.4766355140186916,False,False,62.0,0.2897196261682243,False,False,199.0,0.9299065420560748,False,False,91.0,0.4252336448598131,False,False,102.0,0.4766355140186916,False,False,0.5258215962441315,0.5269483568075117,0.0,102.0,0.16609715471026706,2.9523077955673216e-05,"(np.float64(2.9523077955673216e-05), np.float64(0.1587531119585037), np.float64(582666368.0))"
24,N24_A03_greedy_maximin_distance,stage3_native_combined552,nan,"[0,23,11,17,5,8,14,20,2,1,3,4,6,7,9,10,12,13,15,16,18,19,21,22]","0,23,11,17,5,8,14,20,2,1,3,4,6,7,9,10,12,13,15,16,18,19,21,22",nan,True,PASS_ODB_EXTRACTED,0.0002935029126547,0.1646057963371276,584637632.0,579944576.0,,,False,190.0,0.8878504672897196,False,False,189.0,0.883177570093458,False,False,177.0,0.8271028037383178,False,False,179.0,0.8364485981308412,False,False,190.0,0.8878504672897196,False,False,0.11267605633802813,0.05518309859154928,0.0,166.0,0.04444444444444444,2.9523077955673216e-05,"(np.float64(2.9523077955673216e-05), np.float64(0.1587531119585037), np.float64(582666368.0))"
24,N24_A04_method_c_u2_first_engineering,stage3_native_combined552,nan,"[0,2,4,6,8,10,12,14,16,18,20,22,11,9,7,5,3,1,13,15,17,19,21,23]","0,2,4,6,8,10,12,14,16,18,20,22,11,9,7,5,3,1,13,15,17,19,21,23",nan,True,PASS_ODB_EXTRACTED,5.621172385872342e-05,0.1543776392936706,581727232.0,579944640.0,,,False,51.0,0.2383177570093458,False,True,56.0,0.2616822429906542,False,False,29.0,0.13551401869158877,False,True,188.0,0.8785046728971962,False,False,51.0,0.2383177570093458,False,True,1.0152582159624413,0.7688262910798122,1.0,51.0,0.432619514936317,2.9523077955673216e-05,"(np.float64(2.9523077955673216e-05), np.float64(0.1587531119585037), np.float64(582666368.0))"
24,N24_A05_center_out,stage3_native_combined552,nan,"[11,12,10,13,9,14,8,15,7,16,6,17,5,18,4,19,3,20,2,21,1,22,0,23]","11,12,10,13,9,14,8,15,7,16,6,17,5,18,4,19,3,20,2,21,1,22,0,23",nan,True,PASS_ODB_EXTRACTED,0.0006265991143266,0.172961801290512,588072192.0,579944128.0,,,False,214.0,1.0,False,False,201.0,0.9392523364485982,False,False,209.0,0.9766355140186916,False,False,101.0,0.4719626168224299,False,False,214.0,1.0,False,False,0.0,0.005492957746478873,0.0,190.0,0.0,2.9523077955673216e-05,"(np.float64(2.9523077955673216e-05), np.float64(0.1587531119585037), np.float64(582666368.0))"
24,N24_A06_edge_in_alternating,stage3_native_combined552,nan,"[0,23,1,22,2,21,3,20,4,19,5,18,6,17,7,16,8,15,9,14,10,13,11,12]","0,23,1,22,2,21,3,20,4,19,5,18,6,17,7,16,8,15,9,14,10,13,11,12",nan,True,PASS_ODB_EXTRACTED,0.0005255469384337,0.1848475784063339,590591168.0,579942784.0,,,False,202.0,0.9439252336448598,False,False,211.0,0.985981308411215,False,False,213.0,0.9953271028037384,False,False,1.0,0.004672897196261682,True,True,202.0,0.9439252336448598,False,False,0.05633802816901412,0.02357746478873241,0.0,178.0,0.02222222222222222,2.9523077955673216e-05,"(np.float64(2.9523077955673216e-05), np.float64(0.1587531119585037), np.float64(582666368.0))"
24,N24_A07_regular_jump_coprime,stage3_native_combined552,nan,"[0,11,22,9,20,7,18,5,16,3,14,1,12,23,10,21,8,19,6,17,4,15,2,13]","0,11,22,9,20,7,18,5,16,3,14,1,12,23,10,21,8,19,6,17,4,15,2,13",nan,True,PASS_ODB_EXTRACTED,0.0002371341688558,0.1627264767885208,583243392.0,579943104.0,,,False,181.0,0.8457943925233645,False,False,180.0,0.8411214953271028,False,False,147.0,0.6869158878504673,False,False,5.0,0.02336448598130841,True,True,181.0,0.8457943925233645,False,False,0.15492957746478875,0.07571830985915494,0.0,157.0,0.06111111111111112,2.9523077955673216e-05,"(np.float64(2.9523077955673216e-05), np.float64(0.1587531119585037), np.float64(582666368.0))"
24,N24_A08_block_interleaved_quarters,stage3_native_combined552,nan,"[0,6,12,18,1,7,13,19,2,8,14,20,3,9,15,21,4,10,16,22,5,11,17,23]","0,6,12,18,1,7,13,19,2,8,14,20,3,9,15,21,4,10,16,22,5,11,17,23",nan,True,PASS_ODB_EXTRACTED,0.000624739785735,0.1546273678541183,584995648.0,579943744.0,,,False,212.0,0.9906542056074766,False,False,57.0,0.26635514018691586,False,False,183.0,0.8551401869158879,False,False,82.0,0.38317757009345793,False,False,212.0,0.9906542056074766,False,False,0.009389671361502372,0.0730985915492958,0.0,188.0,0.0037037037037037034,2.9523077955673216e-05,"(np.float64(2.9523077955673216e-05), np.float64(0.1587531119585037), np.float64(582666368.0))"
24,N24_A09_center_edge_alternating,stage3_native_combined552,nan,"[11,0,12,23,10,1,13,22,9,2,14,21,8,3,15,20,7,4,16,19,6,5,17,18]","11,0,12,23,10,1,13,22,9,2,14,21,8,3,15,20,7,4,16,19,6,5,17,18",nan,True,PASS_ODB_EXTRACTED,0.0005546370016418,0.1753909140825271,581775744.0,579943744.0,,,True,210.0,0.9813084112149533,False,False,204.0,0.9532710280373832,False,False,32.0,0.14953271028037382,False,True,82.0,0.38317757009345793,False,False,210.0,0.9813084112149533,False,False,0.018779342723004744,0.0,0.0,186.0,0.0,2.9523077955673216e-05,"(np.float64(2.9523077955673216e-05), np.float64(0.1587531119585037), np.float64(582666368.0))"
24,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,stage3_native_combined552,nan,"[0,23,2,11,4,17,6,5,8,10,14,12,20,16,1,18,3,22,7,9,13,15,19,21]","0,23,2,11,4,17,6,5,8,10,14,12,20,16,1,18,3,22,7,9,13,15,19,21",nan,True,PASS_ODB_EXTRACTED,0.0001888593301373,0.1541593670845031,583863616.0,579943360.0,,,False,164.0,0.7663551401869159,False,False,47.0,0.21962616822429906,False,True,167.0,0.780373831775701,False,False,16.0,0.07476635514018691,True,True,164.0,0.7663551401869159,False,False,0.23474178403755863,0.23957746478873232,0.0,142.0,0.08888888888888888,2.9523077955673216e-05,"(np.float64(2.9523077955673216e-05), np.float64(0.1587531119585037), np.float64(582666368.0))"
24,N24_A11_graph_pointer_policy_diverse_01,stage3_native_combined552,nan,"[0,11,23,22,1,9,20,2,7,21,18,3,5,16,4,19,14,12,6,17,10,8,15,13]","0,11,23,22,1,9,20,2,7,21,18,3,5,16,4,19,14,12,6,17,10,8,15,13",nan,True,PASS_ODB_EXTRACTED,0.0002307547981672,0.163732573390007,589194880.0,579943936.0,,,False,177.0,0.8271028037383178,False,False,185.0,0.8644859813084113,False,False,212.0,0.9906542056074766,False,False,91.0,0.4252336448598131,False,False,177.0,0.8271028037383178,False,False,0.17370892018779338,0.08104225352112675,0.0,153.0,0.06851851851851853,2.9523077955673216e-05,"(np.float64(2.9523077955673216e-05), np.float64(0.1587531119585037), np.float64(582666368.0))"
24,N24_A12_graph_pointer_policy_diverse_02,stage3_native_combined552,nan,"[9,14,8,15,7,16,6,17,5,18,4,19,3,20,2,21,1,22,0,23,11,12,10,13]","9,14,8,15,7,16,6,17,5,18,4,19,3,20,2,21,1,22,0,23,11,12,10,13",nan,True,PASS_ODB_EXTRACTED,0.0005429062013035,0.1641553044319152,583079232.0,579943936.0,,,False,204.0,0.9532710280373832,False,False,187.0,0.8738317757009346,False,False,136.0,0.6355140186915887,False,False,91.0,0.4252336448598131,False,False,204.0,0.9532710280373832,False,False,0.04694835680751175,0.030000000000000006,0.0,180.0,0.018518518518518517,2.9523077955673216e-05,"(np.float64(2.9523077955673216e-05), np.float64(0.1587531119585037), np.float64(582666368.0))"
24,N24_A13_graph_pointer_policy_anti_odd_even_novelty,stage3_native_combined552,nan,"[1,22,3,20,5,18,7,16,9,14,11,12,13,10,15,8,17,6,19,4,21,2,23,0]","1,22,3,20,5,18,7,16,9,14,11,12,13,10,15,8,17,6,19,4,21,2,23,0",nan,True,PASS_ODB_EXTRACTED,0.0002316626496394,0.1621642112731933,581204672.0,579944256.0,,,True,179.0,0.8364485981308412,False,False,171.0,0.7990654205607477,False,False,10.0,0.04672897196261682,True,True,118.0,0.5514018691588785,False,False,179.0,0.8364485981308412,False,False,0.16431924882629112,0.0,0.0,155.0,0.0,2.9523077955673216e-05,"(np.float64(2.9523077955673216e-05), np.float64(0.1587531119585037), np.float64(582666368.0))"
24,N24_A14_graph_pointer_policy_u2first_proxy,stage3_native_combined552,nan,"[0,11,2,12,4,10,6,13,8,9,14,15,16,7,18,20,22,17,1,5,3,19,21,23]","0,11,2,12,4,10,6,13,8,9,14,15,16,7,18,20,22,17,1,5,3,19,21,23",nan,True,PASS_ODB_EXTRACTED,0.0003735758580205,0.1622905135154724,583235840.0,579944640.0,,,False,193.0,0.9018691588785047,False,False,173.0,0.8084112149532711,False,False,146.0,0.6822429906542056,False,False,188.0,0.8785046728971962,False,False,193.0,0.9018691588785047,False,False,0.09859154929577463,0.056366197183098585,0.0,169.0,0.0388888888888889,2.9523077955673216e-05,"(np.float64(2.9523077955673216e-05), np.float64(0.1587531119585037), np.float64(582666368.0))"
24,N24_A15_graph_pointer_policy_balanced_dispersion_proxy,stage3_native_combined552,nan,"[0,11,23,12,10,17,13,5,9,8,14,20,15,2,7,1,16,3,6,4,18,19,21,22]","0,11,23,12,10,17,13,5,9,8,14,20,15,2,7,1,16,3,6,4,18,19,21,22",nan,True,PASS_ODB_EXTRACTED,0.0004410466524404,0.1661432981491089,583990144.0,579944128.0,,,False,198.0,0.9252336448598131,False,False,194.0,0.9065420560747663,False,False,169.0,0.7897196261682243,False,False,101.0,0.4719626168224299,False,False,198.0,0.9252336448598131,False,False,0.07511737089201875,0.03819718309859155,0.0,174.0,0.029629629629629627,2.9523077955673216e-05,"(np.float64(2.9523077955673216e-05), np.float64(0.1587531119585037), np.float64(582666368.0))"
40,N40_A01_raster_left_to_right,stage3_native_combined552,nan,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39]","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39",nan,True,PASS_ODB_EXTRACTED,0.0015270577277988,0.200013056397438,585953088.0,579928512.0,,,False,218.0,0.9478260869565217,False,False,228.0,0.991304347826087,False,False,190.0,0.8260869565217391,False,False,223.0,0.9695652173913043,False,False,218.0,0.9478260869565217,False,False,0.05240174672489084,0.02153711790393014,0.0,194.0,0.0204878048780488,4.5779268475598656e-05,"(np.float64(4.5779268475598656e-05), np.float64(0.1553586423397064), np.float64(581956288.0))"
40,N40_A02_odd_even_interlaced,stage3_native_combined552,nan,"[0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39]","0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39",nan,True,PASS_ODB_EXTRACTED,0.0001595688736415,0.1578081995248794,587307392.0,579927744.0,,,False,111.0,0.4826086956521739,False,False,113.0,0.49130434782608695,False,False,201.0,0.8739130434782608,False,False,204.0,0.8869565217391304,False,False,111.0,0.4826086956521739,False,False,0.519650655021834,0.48646288209606986,0.0,111.0,0.1621951219512195,4.5779268475598656e-05,"(np.float64(4.5779268475598656e-05), np.float64(0.1553586423397064), np.float64(581956288.0))"
40,N40_A03_greedy_maximin_distance,stage3_native_combined552,nan,"[0,39,19,29,9,14,24,34,4,2,6,11,16,21,26,31,36,1,3,5,7,8,10,12,13,15,17,18,20,22,23,25,27,28,30,32,33,35,37,38]","0,39,19,29,9,14,24,34,4,2,6,11,16,21,26,31,36,1,3,5,7,8,10,12,13,15,17,18,20,22,23,25,27,28,30,32,33,35,37,38",nan,True,PASS_ODB_EXTRACTED,0.0006838651936504,0.1606565862894058,585288896.0,579926656.0,,,False,183.0,0.7956521739130434,False,False,143.0,0.6217391304347826,False,False,181.0,0.7869565217391304,False,False,100.0,0.43478260869565216,False,False,183.0,0.7956521739130434,False,False,0.20524017467248912,0.11546724890829696,0.0,160.0,0.07853658536585365,4.5779268475598656e-05,"(np.float64(4.5779268475598656e-05), np.float64(0.1553586423397064), np.float64(581956288.0))"
40,N40_A04_method_c_u2_first_engineering,stage3_native_combined552,nan,"[0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,19,17,15,13,11,9,7,5,3,1,21,23,25,27,29,31,33,35,37,39]","0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,19,17,15,13,11,9,7,5,3,1,21,23,25,27,29,31,33,35,37,39",nan,True,PASS_ODB_EXTRACTED,0.0001108189990191,0.153950959444046,582221504.0,579926528.0,,,False,86.0,0.3739130434782609,False,False,70.0,0.30434782608695654,False,False,85.0,0.3695652173913043,False,False,69.0,0.3,False,False,86.0,0.3739130434782609,False,False,0.62882096069869,0.6431441048034935,0.0,86.0,0.2679775071839017,4.5779268475598656e-05,"(np.float64(4.5779268475598656e-05), np.float64(0.1553586423397064), np.float64(581956288.0))"
40,N40_A05_center_out,stage3_native_combined552,nan,"[19,20,18,21,17,22,16,23,15,24,14,25,13,26,12,27,11,28,10,29,9,30,8,31,7,32,6,33,5,34,4,35,3,36,2,37,1,38,0,39]","19,20,18,21,17,22,16,23,15,24,14,25,13,26,12,27,11,28,10,29,9,30,8,31,7,32,6,33,5,34,4,35,3,36,2,37,1,38,0,39",nan,True,PASS_ODB_EXTRACTED,0.0018341616960242,0.1796219497919082,588607232.0,579925632.0,,,False,227.0,0.9869565217391304,False,False,222.0,0.9652173913043478,False,False,213.0,0.9260869565217391,False,False,20.0,0.08695652173913043,True,True,227.0,0.9869565217391304,False,False,0.013100436681222738,0.008331877729257652,0.0,203.0,0.0051219512195122,4.5779268475598656e-05,"(np.float64(4.5779268475598656e-05), np.float64(0.1553586423397064), np.float64(581956288.0))"
40,N40_A06_edge_in_alternating,stage3_native_combined552,nan,"[0,39,1,38,2,37,3,36,4,35,5,34,6,33,7,32,8,31,9,30,10,29,11,28,12,27,13,26,14,25,15,24,16,23,17,22,18,21,19,20]","0,39,1,38,2,37,3,36,4,35,5,34,6,33,7,32,8,31,9,30,10,29,11,28,12,27,13,26,14,25,15,24,16,23,17,22,18,21,19,20",nan,True,PASS_ODB_EXTRACTED,0.0016398808220401,0.2005691230297088,595556480.0,579926400.0,,,False,221.0,0.9608695652173913,False,False,230.0,1.0,False,False,227.0,0.9869565217391304,False,False,59.0,0.2565217391304348,False,False,221.0,0.9608695652173913,False,False,0.0393013100436681,0.01556331877729257,0.0,197.0,0.015365853658536597,4.5779268475598656e-05,"(np.float64(4.5779268475598656e-05), np.float64(0.1553586423397064), np.float64(581956288.0))"
40,N40_A07_regular_jump_coprime,stage3_native_combined552,nan,"[0,13,26,39,12,25,38,11,24,37,10,23,36,9,22,35,8,21,34,7,20,33,6,19,32,5,18,31,4,17,30,3,16,29,2,15,28,1,14,27]","0,13,26,39,12,25,38,11,24,37,10,23,36,9,22,35,8,21,34,7,20,33,6,19,32,5,18,31,4,17,30,3,16,29,2,15,28,1,14,27",nan,True,PASS_ODB_EXTRACTED,0.0020766726229339,0.1631038337945938,595582528.0,579924032.0,,,False,230.0,1.0,False,False,168.0,0.7304347826086957,False,False,228.0,0.991304347826087,False,False,1.0,0.004347826086956522,True,True,230.0,1.0,False,False,0.0,0.024366812227074236,0.0,206.0,0.0,4.5779268475598656e-05,"(np.float64(4.5779268475598656e-05), np.float64(0.1553586423397064), np.float64(581956288.0))"
