dataset_scope,source_stage,N,metric,count,min,q25,median,q75,max,mean,std,display_unit,claim_role
native_stage3,Stage3_native,N12,U2,78,2.20100214392005e-05,3.3410041169190663e-05,3.9525062220491236e-05,5.4510094173565449e-05,0.00015835521639919999,4.9691522267721484e-05,2.8287530265330779e-05,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,PEEQ,78,0.14032196998596189,0.14681043848395342,0.14851062744855875,0.15393199026584625,0.175326257944107,0.15124033544308096,0.0071087994998023348,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,SurfaceT,78,580.75283200000001,581.01927999999998,581.29366400000004,582.66593599999999,585.93068800000003,581.88535466666667,1.2416040588249857,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,Mises,78,579.93798400000003,579.93875200000002,579.93952000000002,579.93958399999997,579.93984,579.93926399999998,0.00055189985915880997,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N12,NT11,42,20.097947849665669,20.098260667987336,20.098346048130423,20.098387932120112,20.100214138365629,20.098450533685572,0.00054358210511020908,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N16,U2,78,2.9260778319439851e-05,4.1521697312418837e-05,4.9522939889357076e-05,8.0439895441486442e-05,0.00027908391211890001,7.6322878592283716e-05,6.1040002446748979e-05,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N16,PEEQ,78,0.14578714966773981,0.14979834482073784,0.15198192000389094,0.15617460012435908,0.17975655198097229,0.15453242892638228,0.0075211383697256122,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N16,SurfaceT,78,580.88703999999996,581.02783999999997,581.49398399999995,582.15366400000005,587.84166400000004,581.93582851282054,1.3501999343640612,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N16,Mises,78,579.94675199999995,579.94753600000001,579.94828800000005,579.948352,579.94867199999999,579.9479868717948,0.00049650409968680302,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N16,NT11,42,20.083913455970599,20.084442078950588,20.084500402387107,20.085776531533021,20.085844517687296,20.084898256808977,0.0006530414041602009,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N24,U2,190,2.9523077955673216e-05,5.351185041035933e-05,8.0960768855220522e-05,0.000189858678879725,0.00062659911432659998,0.00014754434921375752,0.00014882823691870562,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N24,PEEQ,190,0.14921665191650391,0.15427346900105474,0.15729529410600662,0.16117477416992182,0.1892505139112472,0.15907203790388605,0.0073665653443283014,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N24,SurfaceT,190,580.87596799999994,581.89361599999995,582.56659200000001,583.48516800000004,592.03532800000005,583.09655444210523,1.8612751235073426,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N24,Mises,190,579.94278399999996,579.94355199999995,579.94412799999998,579.94444799999997,579.94489599999997,579.94403604210527,0.00050149524395257756,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N24,NT11,124,20.091023500922585,20.091768936235077,20.092752441094849,20.093154978589947,20.094210400224544,20.092511337431791,0.00077279101307115494,source_unit,native_multi_N_claim_scope
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,U2,332,4.7092336999999998e-05,0.000122366265,0.00042679008999999999,0.00067798201249999988,0.0012124716999999999,0.00040985686315361445,0.0002781694048661831,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,PEEQ,332,0.1380848805606365,0.14350603539496659,0.14516664888709779,0.14739469621330495,0.17761470019817349,0.1460422281864806,0.0044966552370756469,source_unit,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,SurfaceT,332,0.0010144115886554,0.0047493177430788999,0.0070103019324473503,0.0096479721093785005,0.0542577414436596,0.0077610632342786454,0.0051995321543842577,legacy_aux_raw,auxiliary_fixed_N32_context
auxiliary_fixed_N32,Stage2_fixed32_auxiliary,N32,Mises,332,1.9332757333333328,1.9332776746666669,1.9332789546666664,1.9332818826666667,1.933567361933568,1.9333157378715142,9.4894779254356873e-05,legacy_aux_raw,auxiliary_fixed_N32_context
native_stage3,Stage3_native,N40,U2,206,4.5779268475598656e-05,7.6857436226873688e-05,0.0001498124456702,0.00066655074192562501,0.0020766726229339001,0.00039771545513538227,0.00050337851530190094,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N40,PEEQ,206,0.14402535557746879,0.15347655490040779,0.1574980020523071,0.16250064596533773,0.20056912302970881,0.15954555014094099,0.0096876839133622269,source_unit,native_multi_N_claim_scope
native_stage3,Stage3_native,N40,SurfaceT,206,581.11904000000004,582.10124799999994,583.26944000000003,585.09531200000004,598.53535999999997,584.15393025242713,2.9341848520254956,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N40,Mises,206,579.92403200000001,579.92633599999999,579.92704000000003,579.92755199999999,579.92972799999995,579.92688031067962,0.00096451097711165365,MPa,native_multi_N_claim_scope
native_stage3,Stage3_native,N40,NT11,140,20.118680350980007,20.121946727836526,20.12203128440644,20.123689285094517,20.12690730026387,20.122635121040911,0.0013054452714313597,source_unit,native_multi_N_claim_scope
