dataset_scope,N,source_stage,strategy_id,family_label,teacher_validation_status,u2_range,peeq_max,surface_t_proxy,surface_t_proxy_mpa_if_converted,mises_max,mises_max_mpa_if_converted,nt11_mean_if_present,source_file
native_stage3,N16,Stage3_native,N16_A03_greedy_maximin_distance,maximin,PASS_ODB_EXTRACTED,4.607185064742225e-05,0.1532730907201767,582927360.0,582.92736000000002,579948160.0,579.94816000000003,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N16,Stage3_native,N16_A04_method_c_u2_first_engineering,method_c,PASS_ODB_EXTRACTED,5.043179316999158e-05,0.1518275737762451,581727104.0,581.72710400000005,579948352.0,579.948352,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N16,Stage3_native,N16_A05_center_out,center_out,PASS_ODB_EXTRACTED,0.0002790839121189,0.1664191931486129,582182080.0,582.18208000000004,579946816.0,579.94681600000001,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N16,Stage3_native,N16_A06_edge_in_alternating,edge_in,PASS_ODB_EXTRACTED,0.0002053208902452,0.1797565519809723,581764096.0,581.764096,579947776.0,579.94777599999998,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N16,Stage3_native,N16_A07_regular_jump_coprime,regular_jump,PASS_ODB_EXTRACTED,0.0002763091160886,0.1653308719396591,581433216.0,581.43321600000002,579946752.0,579.94675199999995,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N16,Stage3_native,N16_A08_block_interleaved_quarters,block_interleaved,PASS_ODB_EXTRACTED,0.0001606882035503,0.1505546271800995,582573376.0,582.57337600000005,579948160.0,579.94816000000003,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N16,Stage3_native,N16_A09_center_edge_alternating,center_edge,PASS_ODB_EXTRACTED,0.0002147317868548,0.1743032783269882,580899648.0,580.89964799999996,579946944.0,579.94694400000003,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N16,Stage3_native,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0001204781697197,0.1701684147119522,581290304.0,581.29030399999999,579948096.0,579.94809599999996,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N16,Stage3_native,N16_A11_graph_pointer_policy_diverse_01,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0001829955551784,0.1743417531251907,582880128.0,582.88012800000001,579946944.0,579.94694400000003,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N16,Stage3_native,N16_A12_graph_pointer_policy_diverse_02,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0002397338296304,0.1613717526197433,581517248.0,581.517248,579946816.0,579.94681600000001,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N16,Stage3_native,N16_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.0001174903159153,0.1519810110330581,581337280.0,581.33727999999996,579948288.0,579.94828800000005,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
native_stage3,N16,Stage3_native,N16_A14_graph_pointer_policy_u2first_proxy,graph_pointer_proxy,PASS_ODB_EXTRACTED,0.00015728273911,0.1641508787870407,582433856.0,582.43385599999999,579947264.0,579.94726400000002,,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv
