n,strategy_name,dataset_source,order_json,candidate_family,selection_bucket,priority_role,u2_range,peeq_max,surface_t_proxy,mises_max,u2_rank_combined108_within_n,peeq_rank_combined108_within_n,surfaceT_rank_combined108_within_n,mises_rank_combined108_within_n,u2_cost_minmax_combined108_within_n,peeq_cost_minmax_combined108_within_n,surfaceT_cost_minmax_combined108_within_n,mises_cost_minmax_combined108_within_n,reward_combined108_u2_primary,combined108_constrained_rank_within_n,combined108_pareto_flag_u2_peeq,combined108_pareto_flag_u2_peeq_surfaceT_mises,teacher_validation_status,target_reward_combined108_u2_primary,target_u2_score_combined108_rank,target_peeq_score_combined108_rank,target_surfaceT_score_combined108_rank,target_mises_score_combined108_rank,target_combined108_constrained_rank_within_n
12,N12_A11_graph_pointer_policy_diverse_01,probe60_run08,"[0,5,11,10,1,3,8,2,9,6,4,7]",graph_pointer_proxy,,,7.328880428758566e-05,0.1638757288455963,582071168.0,579939392.0,13.0,21.0,13.0,14.0,0.3698876151255084,0.6728821019812711,0.2546104024522891,0.88,0.4065217391304348,16.0,False,False,PASS_ODB_EXTRACTED,0.4065217391304348,0.4782608695652174,0.13043478260869568,0.4782608695652174,0.4347826086956522,16.0
12,N12_A12_graph_pointer_policy_diverse_02,probe60_run08,"[4,7,3,8,2,9,1,10,0,11,5,6]",graph_pointer_proxy,,,0.00013954683527117595,0.16334585845470428,581337984.0,579938048.0,23.0,20.0,8.0,2.5,0.8606806894276917,0.6577448024731195,0.11301048155839019,0.04,0.1793478260869565,23.0,False,True,PASS_ODB_EXTRACTED,0.1793478260869565,0.04347826086956519,0.17391304347826086,0.6956521739130435,0.9347826086956522,23.0
12,N12_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,"[1,10,3,8,5,6,7,4,9,2,11,0]",graph_pointer_proxy,,,7.77201084929402e-05,0.14032196998596191,581967424.0,579939328.0,14.0,1.0,12.0,12.5,0.40271161218411067,0.0,0.2345743102936814,0.84,0.5597826086956522,11.0,True,True,PASS_ODB_EXTRACTED,0.5597826086956522,0.4347826086956522,1.0,0.5217391304347826,0.5,11.0
12,N12_A14_graph_pointer_policy_u2first_proxy,probe60_run08,"[0,5,2,6,4,7,8,3,10,1,9,11]",graph_pointer_proxy,,,0.00010109988033946138,0.15888875722885132,581829312.0,579938368.0,19.0,16.0,10.0,8.5,0.5758925825615675,0.530414652773107,0.20790072184317215,0.24,0.3054347826086956,18.0,False,False,PASS_ODB_EXTRACTED,0.3054347826086956,0.21739130434782605,0.34782608695652173,0.6086956521739131,0.6739130434782609,18.0
12,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,probe60_run08,"[0,5,11,6,4,8,7,2,3,1,9,10]",graph_pointer_proxy,,,9.216308080794988e-05,0.1593673974275589,581069312.0,579938240.0,18.0,17.0,5.0,4.0,0.5096950325984676,0.5440884118074256,0.06112182339562939,0.16,0.35652173913043483,17.0,False,True,PASS_ODB_EXTRACTED,0.35652173913043483,0.26086956521739135,0.30434782608695654,0.8260869565217391,0.8695652173913043,17.0
16,N16_A01_raster_left_to_right,probe60_run08,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",raster,,,0.00024349282352886803,0.17520761489868164,587841664.0,579948288.0,22.0,23.0,24.0,18.5,0.8493754306833904,0.8525228565562386,1.0,0.96,0.07717391304347829,24.0,False,False,PASS_ODB_EXTRACTED,0.07717391304347829,0.08695652173913049,0.04347826086956519,0.0,0.23913043478260865,24.0
16,N16_A02_odd_even_interlaced,probe60_run08,"[0,2,4,6,8,10,12,14,1,3,5,7,9,11,13,15]",odd_even,,,4.9715717977960594e-05,0.15370793640613556,585719808.0,579947520.0,6.0,11.0,22.0,8.0,0.02929393772341221,0.15550042874913947,0.6943458499663498,0.48,0.665217391304348,9.0,False,True,PASS_ODB_EXTRACTED,0.665217391304348,0.782608695652174,0.5652173913043479,0.08695652173913049,0.6956521739130435,9.0
16,N16_A03_greedy_maximin_distance,probe60_run08,"[0,15,7,11,3,5,9,13,1,2,4,6,8,10,12,14]",maximin,,,4.607185064742225e-05,0.1532730907201767,582927360.0,579948160.0,3.0,10.0,18.0,14.5,0.013872775599639434,0.1414026739453375,0.29209267163890146,0.88,0.7619565217391304,4.0,False,True,PASS_ODB_EXTRACTED,0.7619565217391304,0.9130434782608696,0.6086956521739131,0.26086956521739135,0.4130434782608695,4.0
16,N16_A04_method_c_u2_first_engineering,probe60_run08,"[0,2,4,6,8,10,12,14,7,5,3,1,9,11,13,15]",method_c,,,5.043179316999158e-05,0.15182757377624512,581727104.0,579948352.0,7.0,6.0,9.0,23.0,0.03232442995252696,0.09453882293264411,0.1191953461357623,1.0,0.7043478260869565,7.0,False,False,PASS_ODB_EXTRACTED,0.7043478260869565,0.7391304347826086,0.782608695652174,0.6521739130434783,0.04347826086956519,7.0
16,N16_A05_center_out,probe60_run08,"[7,8,6,9,5,10,4,11,3,12,2,13,1,14,0,15]",center_out,,,0.00027908391211894923,0.16641919314861298,582182080.0,579946816.0,24.0,19.0,13.0,2.5,1.0,0.5676010579837921,0.18473480902377637,0.04,0.13804347826086957,23.0,False,False,PASS_ODB_EXTRACTED,0.13804347826086957,0.0,0.21739130434782605,0.4782608695652174,0.9347826086956522,23.0
