n,strategy_name,dataset_source,order_hash,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,jump_entropy,early_center_bias,late_center_bias,edge_early_count,center_early_count,max_unvisited_gap_proxy_mean_norm,max_unvisited_gap_proxy_max_norm,odd_even_transition_count,target_reward_combined172_u2_primary,target_u2_score_combined172_rank,target_peeq_score_combined172_rank,target_surfaceT_score_combined172_rank,target_mises_score_combined172_rank
12,N12_A01_raster_left_to_right,probe60_run08,6c72386511060f50,0.0,1.0,0.09090909090909091,0.09090909090909091,11,0,1.0,1.0,0,-1.000088900581841e-12,0.8181818181818182,0.8181818181818182,3,0,0.4583333333333333,0.9166666666666666,11.0,0.08870967741935487,0.06451612903225812,0.032258064516129004,0.0,0.8064516129032258
12,N12_A02_odd_even_interlaced,probe60_run08,f9b4db52c8f31e01,0.0,1.0,0.23966942148760328,0.8181818181818182,0,1,0.09090909090909091,0.8,2,0.3046360973472382,0.6363636363636364,0.6363636363636364,2,1,0.2847222222222222,0.9166666666666666,1.0,0.5959677419354839,0.7096774193548387,0.5806451612903225,0.09677419354838712,0.17741935483870963
12,N12_A03_greedy_maximin_distance,probe60_run08,dc4a3c8c9a841ddc,0.0,0.9090909090909091,0.2975206611570248,1.0,4,3,0.5454545454545454,0.6,4,1.4681399390112087,0.6969696969696969,0.5757575757575758,2,1,0.2986111111111111,0.9166666666666666,6.0,0.25564516129032255,0.29032258064516125,0.22580645161290325,0.12903225806451613,0.17741935483870963
12,N12_A04_method_c_u2_first_engineering,probe60_run08,5a7114c76e42484a,0.0,1.0,0.23966942148760328,0.5454545454545454,0,1,0.09090909090909091,0.8,2,0.6001660731566456,0.6363636363636364,0.6363636363636364,2,1,0.2847222222222222,0.9166666666666666,1.0,0.6508064516129033,0.6451612903225806,0.8064516129032258,0.6129032258064516,0.17741935483870963
12,N12_A05_center_out,probe60_run08,c66a9e8f3400221d,0.45454545454545453,1.0,0.5454545454545454,1.0,1,6,0.5454545454545454,0.0,10,2.3978952727873706,0.15151515151515152,0.9393939393939394,0,3,0.25,0.5,6.0,0.19274193548387097,0.0,0.25806451612903225,0.935483870967742,0.9516129032258065
12,N12_A06_edge_in_alternating,probe60_run08,1fcc1c7ac7dd0a02,0.0,0.5454545454545454,0.5454545454545454,1.0,1,6,0.5454545454545454,0.0,10,2.3978952727873706,0.9393939393939394,0.15151515151515152,3,0,0.4583333333333333,0.9166666666666666,6.0,0.25161290322580643,0.16129032258064513,0.0,0.967741935483871,1.0
12,N12_A07_regular_jump_coprime,probe60_run08,498bd38c4551b950,0.0,0.6363636363636364,0.5206611570247934,0.6363636363636364,0,4,1.0,0.2,8,0.6554817738993928,0.6363636363636364,0.5151515151515151,2,1,0.23611111111111113,0.9166666666666666,11.0,0.47096774193548385,0.4516129032258065,0.4516129032258065,0.5483870967741935,0.6451612903225806
12,N12_A08_block_interleaved_quarters,probe60_run08,6ca5ab9081431f7c,0.0,1.0,0.35537190082644626,0.7272727272727273,0,2,0.8181818181818182,0.6,4,0.47413931305583734,0.5151515151515151,0.5151515151515151,1,2,0.25,0.9166666666666666,9.0,0.8185483870967744,0.9032258064516129,0.9032258064516129,0.4193548387096774,0.17741935483870963
12,N12_A09_center_edge_alternating,probe60_run08,1ec59ebbeed53e75,0.45454545454545453,0.8181818181818182,0.4132231404958678,0.6363636363636364,2,5,0.7272727272727273,0.5,5,1.5941666991130168,0.393939393939394,0.5757575757575758,1,2,0.2708333333333333,0.5,8.0,0.2370967741935484,0.12903225806451613,0.06451612903225812,1.0,0.8064516129032258
12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,probe60_run08,e60e17734f8cfcc1,0.0,0.8181818181818182,0.47107438016528924,1.0,1,4,0.6363636363636364,0.2,8,2.019814992484946,0.8787878787878788,0.45454545454545453,3,0,0.3333333333333333,0.9166666666666666,7.0,0.4483870967741936,0.4838709677419355,0.3870967741935484,0.16129032258064513,0.8064516129032258
12,N12_A11_graph_pointer_policy_diverse_01,probe60_run08,801d2181009bc9f4,0.0,0.6363636363636364,0.4049586776859504,0.8181818181818182,1,4,0.6363636363636364,0.4,6,1.8937882323841375,0.6969696969696969,0.21212121212121213,2,1,0.2916666666666667,0.9166666666666666,7.0,0.36451612903225805,0.4193548387096774,0.09677419354838712,0.4838709677419355,0.4838709677419355
12,N12_A12_graph_pointer_policy_diverse_02,probe60_run08,d2e8291eb55a3dd6,0.36363636363636365,0.5454545454545454,0.5785123966942148,1.0,1,7,0.5454545454545454,0.0,10,2.2718685126865625,0.3333333333333333,0.393939393939394,0,3,0.2222222222222222,0.5833333333333334,6.0,0.16532258064516125,0.032258064516129004,0.16129032258064513,0.6451612903225806,0.9516129032258065
12,N12_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,b438a8d2342f06ce,0.09090909090909091,0.0,0.5041322314049587,1.0,2,5,1.0,0.1,9,1.7677614722833295,0.6969696969696969,0.8787878787878788,2,1,0.25,0.8333333333333334,11.0,0.5298387096774193,0.3870967741935484,1.0,0.5161290322580645,0.532258064516129
12,N12_A14_graph_pointer_policy_u2first_proxy,probe60_run08,c11d4ef7da73358e,0.0,1.0,0.4049586776859504,0.8181818181818182,1,3,0.6363636363636364,0.2,8,2.0198149924849456,0.5757575757575758,0.8181818181818182,2,1,0.3194444444444445,0.9166666666666666,7.0,0.2830645161290323,0.19354838709677424,0.32258064516129037,0.5806451612903225,0.6935483870967742
12,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,probe60_run08,55028c9f58c80c6e,0.0,0.9090909090909091,0.3305785123966942,0.7272727272727273,3,2,0.5454545454545454,0.4,6,1.6726254461443206,0.6969696969696969,0.7575757575757577,2,1,0.2986111111111111,0.9166666666666666,6.0,0.33064516129032256,0.22580645161290325,0.29032258064516125,0.8064516129032258,0.9032258064516129
16,N16_A01_raster_left_to_right,probe60_run08,1daa17d3aff83166,0.0,1.0,0.06666666666666667,0.06666666666666667,15,0,1.0,1.0,0,-1.000088900581841e-12,0.8,0.8,4,0,0.46875,0.9375,15.0,0.06370967741935488,0.06451612903225812,0.032258064516129004,0.0,0.30645161290322576
16,N16_A02_odd_even_interlaced,probe60_run08,fad520b727cbc4ef,0.0,1.0,0.18222222222222223,0.8666666666666667,0,1,0.06666666666666667,0.8571428571428571,2,0.24493002679263537,0.6,0.6,2,2,0.27734375,0.9375,1.0,0.6354838709677421,0.7419354838709677,0.5483870967741935,0.06451612903225812,0.7419354838709677
16,N16_A03_greedy_maximin_distance,probe60_run08,56a9b78cb5be7ceb,0.0,0.9333333333333333,0.3111111111111111,1.0,1,4,0.13333333333333333,0.5714285714285714,6,1.487816716395449,0.6333333333333333,0.4666666666666667,2,2,0.234375,0.9375,2.0,0.7362903225806452,0.8709677419354839,0.5806451612903225,0.29032258064516125,0.5
16,N16_A04_method_c_u2_first_engineering,probe60_run08,6972db688a18972f,0.0,1.0,0.18222222222222223,0.5333333333333333,0,1,0.06666666666666667,0.8571428571428571,2,0.48509409129921155,0.6,0.6,2,2,0.27734375,0.9375,1.0,0.6862903225806452,0.7096774193548387,0.7741935483870968,0.6451612903225806,0.11290322580645162
16,N16_A05_center_out,probe60_run08,64f300b0e47dfb17,0.4666666666666667,1.0,0.5333333333333333,1.0,1,8,0.5333333333333333,0.0,14,2.708050201087209,0.13333333333333333,0.9333333333333333,0,4,0.25,0.5,8.0,0.13467741935483873,0.0,0.19354838709677424,0.4838709677419355,0.9516129032258065
16,N16_A06_edge_in_alternating,probe60_run08,a72ff7c67a8bc80c,0.0,0.5333333333333333,0.5333333333333333,1.0,1,8,0.5333333333333333,0.0,14,2.708050201087209,0.9333333333333333,0.13333333333333333,4,0,0.46875,0.9375,8.0,0.20161290322580644,0.16129032258064513,0.0,0.6129032258064516,0.7096774193548387
16,N16_A07_regular_jump_coprime,probe60_run08,8c81a615c58f7371,0.0,0.7333333333333333,0.44,0.7333333333333333,0,4,1.0,0.42857142857142855,8,0.5799151714161009,0.6666666666666666,0.5333333333333333,2,2,0.234375,0.9375,15.0,0.2,0.032258064516129004,0.22580645161290325,0.8387096774193549,1.0
16,N16_A08_block_interleaved_quarters,probe60_run08,43708ef7c60d038d,0.0,1.0,0.36000000000000004,0.7333333333333333,0,3,0.2,0.5714285714285714,6,0.5004024235361879,0.5333333333333333,0.5333333333333333,2,2,0.22265625,0.9375,3.0,0.44112903225806455,0.32258064516129037,0.8387096774193549,0.3870967741935484,0.5
