row,n,strategy_name,expected_cae,expected_cae_exists,expected_cae_size,expected_inp,expected_inp_exists,expected_inp_size,expected_jnl,generation_log,expected_jnl_or_generation_log_exists,status
11,12,N12_A11_graph_pointer_policy_diverse_01,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A11_graph_pointer_policy_diverse_01\J2D_N12_N12_A11_graph_pointer_policy_diverse_01.cae,True,204800,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A11_graph_pointer_policy_diverse_01\J2D_N12_N12_A11_graph_pointer_policy_diverse_01.inp,True,46000,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A11_graph_pointer_policy_diverse_01\J2D_N12_N12_A11_graph_pointer_policy_diverse_01.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A11_graph_pointer_policy_diverse_01\J2D_N12_N12_A11_graph_pointer_policy_diverse_01.generation_log.json,True,OK
12,12,N12_A12_graph_pointer_policy_diverse_02,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A12_graph_pointer_policy_diverse_02\J2D_N12_N12_A12_graph_pointer_policy_diverse_02.cae,True,221184,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A12_graph_pointer_policy_diverse_02\J2D_N12_N12_A12_graph_pointer_policy_diverse_02.inp,True,46000,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A12_graph_pointer_policy_diverse_02\J2D_N12_N12_A12_graph_pointer_policy_diverse_02.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A12_graph_pointer_policy_diverse_02\J2D_N12_N12_A12_graph_pointer_policy_diverse_02.generation_log.json,True,OK
13,12,N12_A13_graph_pointer_policy_anti_odd_even_novelty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A13_graph_pointer_policy_anti_odd_even_novelty\J2D_N12_N12_A13_graph_pointer_policy_anti_odd_even_novelty.cae,True,208896,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A13_graph_pointer_policy_anti_odd_even_novelty\J2D_N12_N12_A13_graph_pointer_policy_anti_odd_even_novelty.inp,True,46011,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A13_graph_pointer_policy_anti_odd_even_novelty\J2D_N12_N12_A13_graph_pointer_policy_anti_odd_even_novelty.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A13_graph_pointer_policy_anti_odd_even_novelty\J2D_N12_N12_A13_graph_pointer_policy_anti_odd_even_novelty.generation_log.json,True,OK
14,12,N12_A14_graph_pointer_policy_u2first_proxy,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A14_graph_pointer_policy_u2first_proxy\J2D_N12_N12_A14_graph_pointer_policy_u2first_proxy.cae,True,212992,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A14_graph_pointer_policy_u2first_proxy\J2D_N12_N12_A14_graph_pointer_policy_u2first_proxy.inp,True,46003,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A14_graph_pointer_policy_u2first_proxy\J2D_N12_N12_A14_graph_pointer_policy_u2first_proxy.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A14_graph_pointer_policy_u2first_proxy\J2D_N12_N12_A14_graph_pointer_policy_u2first_proxy.generation_log.json,True,OK
15,12,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A15_graph_pointer_policy_balanced_dispersion_proxy\J2D_N12_N12_A15_graph_pointer_policy_balanced_dispersion_proxy.cae,True,204800,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A15_graph_pointer_policy_balanced_dispersion_proxy\J2D_N12_N12_A15_graph_pointer_policy_balanced_dispersion_proxy.inp,True,46015,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A15_graph_pointer_policy_balanced_dispersion_proxy\J2D_N12_N12_A15_graph_pointer_policy_balanced_dispersion_proxy.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A15_graph_pointer_policy_balanced_dispersion_proxy\J2D_N12_N12_A15_graph_pointer_policy_balanced_dispersion_proxy.generation_log.json,True,OK
16,16,N16_A01_raster_left_to_right,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A01_raster_left_to_right\J2D_N16_N16_A01_raster_left_to_right.cae,True,180224,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A01_raster_left_to_right\J2D_N16_N16_A01_raster_left_to_right.inp,True,58877,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A01_raster_left_to_right\J2D_N16_N16_A01_raster_left_to_right.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A01_raster_left_to_right\J2D_N16_N16_A01_raster_left_to_right.generation_log.json,True,OK
17,16,N16_A02_odd_even_interlaced,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A02_odd_even_interlaced\J2D_N16_N16_A02_odd_even_interlaced.cae,True,192512,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A02_odd_even_interlaced\J2D_N16_N16_A02_odd_even_interlaced.inp,True,58876,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A02_odd_even_interlaced\J2D_N16_N16_A02_odd_even_interlaced.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A02_odd_even_interlaced\J2D_N16_N16_A02_odd_even_interlaced.generation_log.json,True,OK
18,16,N16_A03_greedy_maximin_distance,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A03_greedy_maximin_distance\J2D_N16_N16_A03_greedy_maximin_distance.cae,True,208896,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A03_greedy_maximin_distance\J2D_N16_N16_A03_greedy_maximin_distance.inp,True,58880,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A03_greedy_maximin_distance\J2D_N16_N16_A03_greedy_maximin_distance.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A03_greedy_maximin_distance\J2D_N16_N16_A03_greedy_maximin_distance.generation_log.json,True,OK
19,16,N16_A04_method_c_u2_first_engineering,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A04_method_c_u2_first_engineering\J2D_N16_N16_A04_method_c_u2_first_engineering.cae,True,229376,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A04_method_c_u2_first_engineering\J2D_N16_N16_A04_method_c_u2_first_engineering.inp,True,58886,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A04_method_c_u2_first_engineering\J2D_N16_N16_A04_method_c_u2_first_engineering.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A04_method_c_u2_first_engineering\J2D_N16_N16_A04_method_c_u2_first_engineering.generation_log.json,True,OK
20,16,N16_A05_center_out,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A05_center_out\J2D_N16_N16_A05_center_out.cae,True,241664,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A05_center_out\J2D_N16_N16_A05_center_out.inp,True,58867,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A05_center_out\J2D_N16_N16_A05_center_out.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A05_center_out\J2D_N16_N16_A05_center_out.generation_log.json,True,OK
