n,strategy,inp,exists,scan_steps_all_present,cool_steps_all_present,loads_all_present,heat_sets_all_present,step_final_cooling_present,step_final_cooling_after_last_cool,final_line,final_initialInc_0p01,final_timePeriod_1200,final_maxInc_60,generation_log_final_values_verified,heat_load_in_final_cooling_block,verdict
12,N12_A01_raster_left_to_right,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A01_raster_left_to_right\J2D_N12_N12_A01_raster_left_to_right.inp,True,True,True,True,True,True,True,"0.01, 1200., 3.4e-30, 60.",True,True,True,True,False,PASS
16,N16_A01_raster_left_to_right,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A01_raster_left_to_right\J2D_N16_N16_A01_raster_left_to_right.inp,True,True,True,True,True,True,True,"0.01, 1200., 3.4e-30, 60.",True,True,True,True,False,PASS
24,N24_A01_raster_left_to_right,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A01_raster_left_to_right\J2D_N24_N24_A01_raster_left_to_right.inp,True,True,True,True,True,True,True,"0.01, 1200., 3.4e-30, 60.",True,True,True,True,False,PASS
40,N40_A01_raster_left_to_right,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A01_raster_left_to_right\J2D_N40_N40_A01_raster_left_to_right.inp,True,True,True,True,True,True,True,"0.01, 1200., 3.4e-30, 60.",True,True,True,True,False,PASS
