n,case,status,count_odb,count_sim,count_sta,count_dat,count_msg,count_lck,completed_text,problem_text,path
N16,N16_A11_graph_pointer_policy_diverse_01,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A11_graph_pointer_policy_diverse_01
N16,N16_A12_graph_pointer_policy_diverse_02,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A12_graph_pointer_policy_diverse_02
N16,N16_A13_graph_pointer_policy_anti_odd_even_novelty,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A13_graph_pointer_policy_anti_odd_even_novelty
N16,N16_A14_graph_pointer_policy_u2first_proxy,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A14_graph_pointer_policy_u2first_proxy
N16,N16_A15_graph_pointer_policy_balanced_dispersion_proxy,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N16\N16_A15_graph_pointer_policy_balanced_dispersion_proxy
N24,N24_A01_raster_left_to_right,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A01_raster_left_to_right
N24,N24_A02_odd_even_interlaced,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A02_odd_even_interlaced
N24,N24_A03_greedy_maximin_distance,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A03_greedy_maximin_distance
N24,N24_A04_method_c_u2_first_engineering,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A04_method_c_u2_first_engineering
N24,N24_A05_center_out,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A05_center_out
N24,N24_A06_edge_in_alternating,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A06_edge_in_alternating
N24,N24_A07_regular_jump_coprime,LOCK_PRESENT_POSSIBLY_RUNNING_OR_STALE,1,1,1,1,1,1,False,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A07_regular_jump_coprime
N24,N24_A08_block_interleaved_quarters,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A08_block_interleaved_quarters
N24,N24_A09_center_edge_alternating,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A09_center_edge_alternating
N24,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A10_graph_pointer_policy_zero_shot_or_proxy_best
N24,N24_A11_graph_pointer_policy_diverse_01,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A11_graph_pointer_policy_diverse_01
N24,N24_A12_graph_pointer_policy_diverse_02,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A12_graph_pointer_policy_diverse_02
N24,N24_A13_graph_pointer_policy_anti_odd_even_novelty,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A13_graph_pointer_policy_anti_odd_even_novelty
N24,N24_A14_graph_pointer_policy_u2first_proxy,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A14_graph_pointer_policy_u2first_proxy
N24,N24_A15_graph_pointer_policy_balanced_dispersion_proxy,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N24\N24_A15_graph_pointer_policy_balanced_dispersion_proxy
N40,N40_A01_raster_left_to_right,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A01_raster_left_to_right
N40,N40_A02_odd_even_interlaced,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A02_odd_even_interlaced
N40,N40_A03_greedy_maximin_distance,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A03_greedy_maximin_distance
N40,N40_A04_method_c_u2_first_engineering,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A04_method_c_u2_first_engineering
N40,N40_A05_center_out,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A05_center_out
N40,N40_A06_edge_in_alternating,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A06_edge_in_alternating
N40,N40_A07_regular_jump_coprime,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A07_regular_jump_coprime
N40,N40_A08_block_interleaved_quarters,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A08_block_interleaved_quarters
N40,N40_A09_center_edge_alternating,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A09_center_edge_alternating
N40,N40_A10_graph_pointer_policy_zero_shot_or_proxy_best,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A10_graph_pointer_policy_zero_shot_or_proxy_best
N40,N40_A11_graph_pointer_policy_diverse_01,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A11_graph_pointer_policy_diverse_01
N40,N40_A12_graph_pointer_policy_diverse_02,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A12_graph_pointer_policy_diverse_02
N40,N40_A13_graph_pointer_policy_anti_odd_even_novelty,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A13_graph_pointer_policy_anti_odd_even_novelty
N40,N40_A14_graph_pointer_policy_u2first_proxy,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A14_graph_pointer_policy_u2first_proxy
N40,N40_A15_graph_pointer_policy_balanced_dispersion_proxy,INCOMPLETE_OR_INTERRUPTED,1,0,1,1,1,0,True,True,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N40\N40_A15_graph_pointer_policy_balanced_dispersion_proxy
