n,count,mean_surrogate_prediction,mean_gnn_reward_prediction,mean_hybrid_score,mean_disagreement,mean_novelty_distance_to_combined172_plus_N32
12,4,0.5512227279680693,0.5350835625404748,0.4658503929668618,0.022954051473318637,0.17045454545454547
16,4,0.5536020880218222,0.5383794152185536,0.46828338283764837,0.015222672803268555,0.15833333333333333
24,12,0.6825059797903138,0.6640580691811763,0.5714551919801389,0.022624158338471728,0.22010869565217392
40,12,0.6961357763787278,0.6709098276933866,0.5760750228495334,0.028406901553835812,0.17467948717948714
