run_id,batch_option,batch_name,n,handoff_strategy_name,original_run18_candidate_id,original_run18_strategy_name,candidate_family,candidate_source,generation_method,selection_bucket,priority_role,predicted_reward_combined80_u2_primary,predicted_rank_within_n,predicted_percentile_within_n,predicted_uncertainty_std,novelty_distance_to_combined80,nearest_existing_teacher_strategy,predicted_gap_vs_combined80_best,order_json,order_compact,order_hash,teacher_validated,teacher_validation_status,notes
run_19_run18_candidate_handoff_review_package,batch24,stage3_run19_batch24_combined80_surrogate_screened_v01,24,S3R19B24_N24_B05_diversity_top,R18_N24_C01735,N24_R18_N24_C01735_known_best_mutation,known_best_mutation,combined80_known_best_mutation,swap_early_late_blocks_131,diversity_top,diversity,0.6030267515360568,695,0.6695238095238095,0.22695743052164807,0.47101449275362317,N24_A13_graph_pointer_policy_anti_odd_even_novelty,-0.32328903793762753,"[17,19,21,23,8,10,12,22,20,18,16,14,1,3,5,7,9,11,13,15,0,2,4,6]",17-19-21-23-8-10-12-22-20-18-16-14-1-3-5-7-9-11-13-15-0-2-4-6,e930ae09f58cc941,False,NOT_RUN,Run19 handoff only. Not teacher-validated. Do not claim physical superiority.
run_19_run18_candidate_handoff_review_package,batch24,stage3_run19_batch24_combined80_surrogate_screened_v01,24,S3R19B24_N24_B06_uncertainty_calibration,R18_N24_C00465,N24_R18_N24_C00465_regular_jump_non_coprime,regular_jump_non_coprime,regular_jump_sweep,regular_jump_start11_jump10_dir1,uncertainty_calibration,sentinel,0.4886829063971227,945,0.5504761904761905,0.28407919706850615,0.14492753623188406,S3B20_N24_B02_diversity_top,-0.4376328830765616,"[11,21,7,17,3,13,23,9,19,5,15,1,0,2,4,6,8,10,12,14,16,18,20,22]",11-21-7-17-3-13-23-9-19-5-15-1-0-2-4-6-8-10-12-14-16-18-20-22,f868aca20195ed3a,False,NOT_RUN,Run19 handoff only. Not teacher-validated. Do not claim physical superiority.
run_19_run18_candidate_handoff_review_package,batch24,stage3_run19_batch24_combined80_surrogate_screened_v01,24,S3R19B24_N24_B07_control_sentinel,R18_N24_C00340,N24_R18_N24_C00340_regular_jump_coprime,regular_jump_coprime,regular_jump_sweep,regular_jump_start20_jump7_dir-1,negative_control_sentinel,exploitation,0.3091989497642632,1669,0.20571428571428574,0.12936786951150564,0.4855072463768116,N24_A08_block_interleaved_quarters,-0.6171168397094211,"[20,13,6,23,16,9,2,19,12,5,22,15,8,1,18,11,4,21,14,7,0,17,10,3]",20-13-6-23-16-9-2-19-12-5-22-15-8-1-18-11-4-21-14-7-0-17-10-3,0c9eaa96b519ed0c,False,NOT_RUN,Run19 handoff only. Not teacher-validated. Do not claim physical superiority.
run_19_run18_candidate_handoff_review_package,batch24,stage3_run19_batch24_combined80_surrogate_screened_v01,24,S3R19B24_N24_B08_known_best_mutation,R18_N24_C01029,N24_R18_N24_C01029_known_best_mutation,known_best_mutation,combined80_known_best_mutation,swap_early_late_blocks_067,batch_fill,diversity,0.6294687350064118,651,0.6904761904761905,0.2163618875172687,0.4492753623188406,N24_A04_method_c_u2_first_engineering,-0.29684705446727255,"[16,18,20,22,11,13,15,17,19,21,23,0,2,4,6,8,10,12,14,3,5,7,9,1]",16-18-20-22-11-13-15-17-19-21-23-0-2-4-6-8-10-12-14-3-5-7-9-1,f1233028e9f67703,False,NOT_RUN,Run19 handoff only. Not teacher-validated. Do not claim physical superiority.
run_19_run18_candidate_handoff_review_package,batch24,stage3_run19_batch24_combined80_surrogate_screened_v01,24,S3R19B24_N24_B09_known_best_mutation,R18_N24_C01817,N24_R18_N24_C01817_known_best_mutation,known_best_mutation,combined80_known_best_mutation,rotate_sequence_274,batch_fill,diversity,0.8346615857274359,2,0.9995238095238095,0.05311782246862869,0.08333333333333333,S3B20_N24_B01_surrogate_top,-0.09165420374624844,"[2,4,6,8,10,12,22,20,18,16,14,1,3,5,7,9,11,13,15,17,19,21,23,0]",2-4-6-8-10-12-22-20-18-16-14-1-3-5-7-9-11-13-15-17-19-21-23-0,ff4a2ca726ec276c,False,NOT_RUN,Run19 handoff only. Not teacher-validated. Do not claim physical superiority.
run_19_run18_candidate_handoff_review_package,batch24,stage3_run19_batch24_combined80_surrogate_screened_v01,40,S3R19B24_N40_B01_surrogate_top,R18_N40_C01795,N40_R18_N40_C01795_known_best_mutation,known_best_mutation,combined80_known_best_mutation,reverse_segment_009,surrogate_top,exploitation,0.8514641979123286,1,1.0,0.035509035141857,0.007692307692307693,S3B20_N40_B02_diversity_top,-0.08011474945609254,"[1,21,23,25,27,29,31,33,35,37,39,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,38,36,34,32,19,17,15,13,11,9,7,5,3]",1-21-23-25-27-29-31-33-35-37-39-0-2-4-6-8-10-12-14-16-18-20-22-24-26-28-30-38-36-34-32-19-17-15-13-11-9-7-5-3,aaf186300ff761a7,False,NOT_RUN,Run19 handoff only. Not teacher-validated. Do not claim physical superiority.
run_19_run18_candidate_handoff_review_package,batch24,stage3_run19_batch24_combined80_surrogate_screened_v01,40,S3R19B24_N40_B02_u2_primary_top,R18_N40_C02227,N40_R18_N40_C02227_known_best_mutation,known_best_mutation,combined80_known_best_mutation,seed_crossover_301,U2_primary_top,exploitation,0.8352921770206385,15,0.9953871499176277,0.0714035979006012,0.14102564102564102,N40_A04_method_c_u2_first_engineering,-0.09628677034778266,"[0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,1,21,23,25,27,29,31,33,35,37,39,38,19,17,15,13,11,9,7,5,3]",0-2-4-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-1-21-23-25-27-29-31-33-35-37-39-38-19-17-15-13-11-9-7-5-3,15819cd97ca505dd,False,NOT_RUN,Run19 handoff only. Not teacher-validated. Do not claim physical superiority.
run_19_run18_candidate_handoff_review_package,batch24,stage3_run19_batch24_combined80_surrogate_screened_v01,40,S3R19B24_N40_B03_geometry_signal_top,R18_N40_C01455,N40_R18_N40_C01455_regular_jump_coprime,regular_jump_coprime,regular_jump_sweep,regular_jump_start2_jump19_dir-1,geometry_signal_top,exploitation,0.4310449242441215,1556,0.4876441515650741,0.1545989386190131,0.258974358974359,S3B20_N40_B02_diversity_top,-0.5005340231242996,"[2,23,4,25,6,27,8,29,10,31,12,33,14,35,16,37,18,39,20,1,22,3,24,5,26,7,28,9,30,11,32,13,34,15,36,17,38,19,0,21]",2-23-4-25-6-27-8-29-10-31-12-33-14-35-16-37-18-39-20-1-22-3-24-5-26-7-28-9-30-11-32-13-34-15-36-17-38-19-0-21,dbcae350738d334d,False,NOT_RUN,Run19 handoff only. Not teacher-validated. Do not claim physical superiority.
run_19_run18_candidate_handoff_review_package,batch24,stage3_run19_batch24_combined80_surrogate_screened_v01,40,S3R19B24_N40_B04_method_c_inspired,R18_N40_C02031,N40_R18_N40_C02031_known_best_mutation,known_best_mutation,combined80_known_best_mutation,seed_crossover_021,method_c_or_known_best_inspired,exploitation,0.8439639216139437,5,0.998682042833608,0.047780106689599325,0.11282051282051282,N40_A04_method_c_u2_first_engineering,-0.08761502575447744,"[0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,19,1,21,23,25,27,29,31,33,35,37,39,17,15,13,11,9,7,5,3]",0-2-4-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-38-19-1-21-23-25-27-29-31-33-35-37-39-17-15-13-11-9-7-5-3,7d3b10405c7fb47b,False,NOT_RUN,Run19 handoff only. Not teacher-validated. Do not claim physical superiority.
run_19_run18_candidate_handoff_review_package,batch24,stage3_run19_batch24_combined80_surrogate_screened_v01,40,S3R19B24_N40_B05_diversity_top,R18_N40_C00496,N40_R18_N40_C00496_regular_jump_coprime,regular_jump_coprime,regular_jump_sweep,regular_jump_start2_jump7_dir-1,diversity_top,exploitation,0.46015072351851766,1504,0.5047775947281714,0.1600712965578756,0.4653846153846154,S3B20_N40_B03_method_c_inspired,-0.4714282238499035,"[2,35,28,21,14,7,0,33,26,19,12,5,38,31,24,17,10,3,36,29,22,15,8,1,34,27,20,13,6,39,32,25,18,11,4,37,30,23,16,9]",2-35-28-21-14-7-0-33-26-19-12-5-38-31-24-17-10-3-36-29-22-15-8-1-34-27-20-13-6-39-32-25-18-11-4-37-30-23-16-9,63bec2f6e1775433,False,NOT_RUN,Run19 handoff only. Not teacher-validated. Do not claim physical superiority.
run_19_run18_candidate_handoff_review_package,batch24,stage3_run19_batch24_combined80_surrogate_screened_v01,40,S3R19B24_N40_B06_uncertainty_calibration,R18_N40_C01408,N40_R18_N40_C01408_regular_jump_non_coprime,regular_jump_non_coprime,regular_jump_sweep,regular_jump_start19_jump18_dir1,uncertainty_calibration,sentinel,0.481603681962018,1460,0.5192751235584844,0.28850331978714067,0.37051282051282053,S3B20_N40_B02_diversity_top,-0.44997526540640315,"[19,37,15,33,11,29,7,25,3,21,39,17,35,13,31,9,27,5,23,1,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38]",19-37-15-33-11-29-7-25-3-21-39-17-35-13-31-9-27-5-23-1-0-2-4-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-38,0e5c11a2c6d4abbe,False,NOT_RUN,Run19 handoff only. Not teacher-validated. Do not claim physical superiority.
run_19_run18_candidate_handoff_review_package,batch24,stage3_run19_batch24_combined80_surrogate_screened_v01,40,S3R19B24_N40_B07_control_sentinel,R18_N40_C01346,N40_R18_N40_C01346_regular_jump_coprime,regular_jump_coprime,regular_jump_sweep,regular_jump_start28_jump17_dir1,negative_control_sentinel,exploitation,0.2967600292160324,2355,0.22438220757825367,0.13132090984556244,0.5,N40_A13_graph_pointer_policy_anti_odd_even_novelty,-0.6348189181523888,"[28,5,22,39,16,33,10,27,4,21,38,15,32,9,26,3,20,37,14,31,8,25,2,19,36,13,30,7,24,1,18,35,12,29,6,23,0,17,34,11]",28-5-22-39-16-33-10-27-4-21-38-15-32-9-26-3-20-37-14-31-8-25-2-19-36-13-30-7-24-1-18-35-12-29-6-23-0-17-34-11,62bbf686be08043d,False,NOT_RUN,Run19 handoff only. Not teacher-validated. Do not claim physical superiority.
run_19_run18_candidate_handoff_review_package,batch24,stage3_run19_batch24_combined80_surrogate_screened_v01,40,S3R19B24_N40_B08_known_best_mutation,R18_N40_C01909,N40_R18_N40_C01909_known_best_mutation,known_best_mutation,combined80_known_best_mutation,swap_early_late_blocks_179,batch_fill,diversity,0.8367050973422762,13,0.9960461285008237,0.07066713434227016,0.26153846153846155,S3B20_N40_B02_diversity_top,-0.09487385002614501,"[1,21,23,25,27,28,30,32,34,36,38,0,2,4,6,8,10,12,14,16,18,20,22,24,26,29,31,33,35,37,39,19,17,15,13,11,9,7,5,3]",1-21-23-25-27-28-30-32-34-36-38-0-2-4-6-8-10-12-14-16-18-20-22-24-26-29-31-33-35-37-39-19-17-15-13-11-9-7-5-3,28a97f63306a5424,False,NOT_RUN,Run19 handoff only. Not teacher-validated. Do not claim physical superiority.
run_19_run18_candidate_handoff_review_package,batch24,stage3_run19_batch24_combined80_surrogate_screened_v01,40,S3R19B24_N40_B09_known_best_mutation,R18_N40_C02718,N40_R18_N40_C02718_known_best_mutation,known_best_mutation,combined80_known_best_mutation,rotate_sequence_274,batch_fill,diversity,0.8514641979123286,2,0.999670510708402,0.035509035141857,0.21794871794871795,S3B20_N40_B02_diversity_top,-0.08011474945609254,"[1,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,38,36,34,32,30,9,7,5,3]",1-11-13-15-17-19-21-23-25-27-29-31-33-35-37-39-0-2-4-6-8-10-12-14-16-18-20-22-24-26-28-38-36-34-32-30-9-7-5-3,ee3347652006802e,False,NOT_RUN,Run19 handoff only. Not teacher-validated. Do not claim physical superiority.
