baseline_family_label,n,baseline_count,ppo_count,ppo_best_lex_rank,baseline_best_lex_rank,baseline_median_lex_rank,ppo_best_beats_baseline_best_lex,ppo_count_beats_baseline_median_lex,ppo_best_u2_range,baseline_best_u2_range,baseline_median_u2_range,ppo_best_beats_baseline_best_u2_range,ppo_count_beats_baseline_median_u2_range,ppo_best_peeq_max,baseline_best_peeq_max,baseline_median_peeq_max,ppo_best_beats_baseline_best_peeq_max,ppo_count_beats_baseline_median_peeq_max,ppo_best_surface_t_proxy,baseline_best_surface_t_proxy,baseline_median_surface_t_proxy,ppo_best_beats_baseline_best_surface_t_proxy,ppo_count_beats_baseline_median_surface_t_proxy,ppo_best_mises_max,baseline_best_mises_max,baseline_median_mises_max,ppo_best_beats_baseline_best_mises_max,ppo_count_beats_baseline_median_mises_max
method_c,16,3,8,2.0,23.0,45.0,True,8,2.952120985355577e-05,4.279385166228167e-05,5.043179316999158e-05,True,8,0.1522892415523529,0.1518275737762451,0.1526066660881042,False,1,582887424.0,581727104.0,582991360.0,False,1,579948224.0,579948032.0,579948288.0,False,3
method_c,24,3,8,134.0,51.0,93.0,False,0,0.0001286480594444,5.621172385872342e-05,8.025430179259274e-05,False,0,0.1512520015239715,0.1543776392936706,0.1612091809511184,True,7,584139200.0,581727232.0,584544768.0,False,1,579943488.0,579944384.0,579944576.0,True,7
method_c,40,3,8,147.0,86.0,103.0,False,0,0.000474216584962,0.0001108189990191,0.0001491561724833,False,0,0.1537813395261764,0.153950959444046,0.1566519737243652,True,5,582664128.0,582221504.0,583935936.0,False,4,579925504.0,579926208.0,579926528.0,True,3
odd_even,12,2,8,6.0,44.0,55.0,True,8,2.5148123313556425e-05,4.044348497700412e-05,5.908179673497216e-05,True,8,0.1460365504026413,0.1403219699859619,0.14441602677106855,False,0,581601088.0,581967424.0,583632576.0,True,8,579938560.0,579939328.0,579939456.0,True,1
odd_even,16,2,8,2.0,42.0,53.5,True,8,2.952120985355577e-05,4.9715717977960594e-05,8.360301694663029e-05,True,8,0.1522892415523529,0.1519810110330581,0.1528444737195968,False,1,582887424.0,581337280.0,583528544.0,False,1,579948224.0,579947520.0,579947904.0,False,0
odd_even,24,2,8,134.0,102.0,128.5,False,0,0.0001286480594444,8.360300034837564e-05,0.00015763282499388782,False,4,0.1512520015239715,0.1549861133098602,0.15857516229152674,True,6,584139200.0,581204672.0,583715392.0,False,0,579943488.0,579943936.0,579944096.0,True,3
odd_even,40,2,8,147.0,111.0,133.5,False,0,0.000474216584962,0.0001595688736415,0.00041534837612285,False,0,0.1537813395261764,0.1578081995248794,0.16549034416675565,True,8,582664128.0,581541824.0,584424608.0,False,4,579925504.0,579925760.0,579926752.0,True,6
random,12,1,8,6.0,70.0,70.0,True,8,2.5148123313556425e-05,8.973477179097245e-05,8.973477179097245e-05,True,8,0.1460365504026413,0.1636441349983215,0.1636441349983215,True,8,581601088.0,582725376.0,582725376.0,True,1,579938560.0,579938304.0,579938304.0,False,0
random,40,5,8,147.0,178.0,183.0,True,8,0.000474216584962,0.001036680686127,0.0011485806799669,True,8,0.1537813395261764,0.1605686843395233,0.1689211428165435,True,8,582664128.0,583967360.0,584457024.0,True,4,579925504.0,579925056.0,579925952.0,False,3
raster,12,1,8,6.0,76.0,76.0,True,8,2.5148123313556425e-05,0.0001314298706347,0.0001314298706347,True,8,0.1460365504026413,0.172713503241539,0.172713503241539,True,8,581601088.0,585930688.0,585930688.0,True,8,579938560.0,579938304.0,579938304.0,False,0
raster,16,1,8,2.0,76.0,76.0,True,8,2.952120985355577e-05,0.0002434928235288,0.0002434928235288,True,8,0.1522892415523529,0.1752076148986816,0.1752076148986816,True,8,582887424.0,587841664.0,587841664.0,True,8,579948224.0,579948288.0,579948288.0,True,3
raster,24,1,8,134.0,184.0,184.0,True,8,0.0001286480594444,0.0005523721708868,0.0005523721708868,True,8,0.1512520015239715,0.1892502903938293,0.1892502903938293,True,8,584139200.0,587159872.0,587159872.0,True,8,579943488.0,579944256.0,579944256.0,True,3
raster,40,1,8,147.0,194.0,194.0,True,8,0.000474216584962,0.0015270577277988,0.0015270577277988,True,8,0.1537813395261764,0.200013056397438,0.200013056397438,True,8,582664128.0,585953088.0,585953088.0,True,6,579925504.0,579928512.0,579928512.0,True,8
regular_jump,12,3,8,6.0,2.0,18.0,False,4,2.5148123313556425e-05,2.3353248252533376e-05,3.2932137401076034e-05,False,4,0.1460365504026413,0.1426714956760406,0.1469611227512359,False,1,581601088.0,581880128.0,582234944.0,True,1,579938560.0,579938432.0,579939520.0,False,5
regular_jump,16,3,8,2.0,27.0,63.0,True,8,2.952120985355577e-05,4.36779828305589e-05,0.0001079042317542,True,8,0.1522892415523529,0.1526079922914505,0.1605472415685653,True,8,582887424.0,581433216.0,581782208.0,False,0,579948224.0,579946752.0,579948032.0,False,0
regular_jump,24,4,8,134.0,78.0,154.5,False,8,0.0001286480594444,7.285496940312441e-05,0.000233891942571,False,8,0.1512520015239715,0.149288535118103,0.1578956916928291,False,5,584139200.0,580991360.0,582740768.0,False,0,579943488.0,579943104.0,579943584.0,False,3
regular_jump,40,5,8,147.0,146.0,176.0,False,8,0.000474216584962,0.0002895531576996,0.0009652040533865,False,8,0.1537813395261764,0.1442238241434097,0.1524127125740051,False,0,582664128.0,581119040.0,585249728.0,False,5,579925504.0,579924032.0,579926016.0,False,3
