batch_option,count,per_N_counts,mean_constrained_score,mean_surrogate_prediction,mean_predicted_u2_guarded_score,mean_penalty_guard_score,mean_novelty_distance,candidate_source_composition,overlap_combined296_teacher_orders,overlap_run46,overlap_run41,overlap_run36,overlap_run27,overlap_superseded_run31
A_batch32,32,"{""24"": 16, ""40"": 16}",0.7263554151155549,0.7324397699637346,0.7333491060512007,0.7288482844564882,0.24765625000000002,"{""strict_penalty_guard_top"": 4, ""strict_penalty_guard_local_search"": 4, ""two_stage_guarded_top"": 4, ""two_stage_guarded_local_search"": 4, ""no_penalty_worse_than_median"": 4, ""PEEQ_repair_candidates"": 4, ""SurfaceT_repair_candidates"": 4, ""Mises_repair_candidates"": 4}",0,0,0,0,0,0
B_batch60,60,"{""24"": 30, ""40"": 30}",0.7271947297477527,0.7335645781692764,0.7343572414380195,0.7299111965267642,0.22166666666666668,"{""strict_penalty_guard_top"": 6, ""strict_penalty_guard_local_search"": 6, ""two_stage_guarded_top"": 6, ""two_stage_guarded_local_search"": 6, ""no_penalty_worse_than_median"": 6, ""PEEQ_repair_candidates"": 6, ""SurfaceT_repair_candidates"": 6, ""Mises_repair_candidates"": 6, ""U2_top_region_penalty_repair"": 6, ""constrained_surrogate_top"": 6}",0,0,0,0,0,0
C_batch40,40,"{""12"": 4, ""16"": 4, ""24"": 16, ""40"": 16}",0.7343400002134077,0.7419467207530019,0.7419765220380345,0.7381288173399897,0.2189583333333333,"{""strict_penalty_guard_top"": 6, ""strict_penalty_guard_local_search"": 6, ""two_stage_guarded_top"": 6, ""two_stage_guarded_local_search"": 6, ""no_penalty_worse_than_median"": 4, ""PEEQ_repair_candidates"": 4, ""SurfaceT_repair_candidates"": 4, ""Mises_repair_candidates"": 4}",0,0,0,0,0,0
