regime,target,feature_set,model,macro_spearman,macro_top5_overlap,macro_top10_overlap,mean_mae,protocols
native_combined296,target_reward_combined296_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.8489555530549906,1.5,4.5,0.09100724613108938,4
native_combined296,target_reward_combined296_u2_primary,F01_basic_order,ExtraTreesRegressor,0.8433764972568472,1.5,4.5,0.09025675943821071,4
plus_N32_balanced,target_reward_combined296_plus_N32_mapped_u2_primary,F01_basic_order,ExtraTreesRegressor,0.841132715590802,1.2,3.2,0.1014057064147853,5
plus_N32_balanced,target_reward_combined296_plus_N32_mapped_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.8348664444013771,1.2,3.2,0.10059809480853979,5
native_combined296,target_reward_combined296_u2_primary,F07_F01_no_n,GradientBoostingRegressor,0.8316342993632821,1.5,5.25,0.09635320461191166,4
plus_N32_unweighted,target_reward_combined296_plus_N32_mapped_u2_primary,F07_F01_no_n,ExtraTreesRegressor,0.8315313219490618,1.0,3.4,0.1034712786023367,5
plus_N32_unweighted,target_reward_combined296_plus_N32_mapped_u2_primary,F01_basic_order,ExtraTreesRegressor,0.8300464370147566,1.0,3.4,0.10210506218774466,5
native_combined296,target_reward_combined296_u2_primary,F07_F01_no_n,RandomForestRegressor,0.8297159157987013,1.5,3.75,0.09512008375172822,4
plus_N32_balanced,target_reward_combined296_plus_N32_mapped_u2_primary,F07_F01_no_n,RandomForestRegressor,0.8295893683116491,1.0,4.0,0.1005309445822806,5
native_combined296,target_reward_combined296_u2_primary,F01_basic_order,RandomForestRegressor,0.8285299639568331,1.25,4.0,0.09447339188913145,4
plus_N32_balanced,target_reward_combined296_plus_N32_strict_u2_surfaceT,F07_F01_no_n,ExtraTreesRegressor,0.8274181597980041,1.4,3.4,0.11769650210202551,5
plus_N32_unweighted,target_reward_combined296_plus_N32_mapped_u2_primary,F07_F01_no_n,RandomForestRegressor,0.8253883675238445,1.0,3.2,0.10056663856357632,5
plus_N32_unweighted,target_reward_combined296_plus_N32_mapped_u2_primary,F01_basic_order,RandomForestRegressor,0.824836942998638,1.0,3.2,0.10164978474431914,5
native_combined296,target_reward_combined296_u2_primary,F01_basic_order,GradientBoostingRegressor,0.8247644463602279,1.25,4.25,0.09581850776490965,4
plus_N32_unweighted,target_reward_combined296_plus_N32_strict_u2_surfaceT,F07_F01_no_n,ExtraTreesRegressor,0.8243428656254108,1.0,3.6,0.11713666833487005,5
plus_N32_unweighted,target_reward_combined296_plus_N32_mapped_u2_primary,F03_family_plus_features,ExtraTreesRegressor,0.8220863105508659,0.8,3.4,0.1016767108470477,5
native_combined296,target_reward_combined296_two_stage_guarded,F07_F01_no_n,ExtraTreesRegressor,0.8218508221065578,1.0,3.25,0.15963283862353697,4
native_combined296,target_reward_combined296_no_penalty_worse_than_median,F07_F01_no_n,ExtraTreesRegressor,0.8208673970538568,1.25,5.0,0.0514288953746505,4
plus_N32_balanced,target_reward_combined296_plus_N32_strict_u2_surfaceT,F07_F01_no_n,RandomForestRegressor,0.8208628106430094,0.8,3.6,0.11927257974066297,5
plus_N32_balanced,target_reward_combined296_plus_N32_mapped_u2_primary,F01_basic_order,RandomForestRegressor,0.8200380379630985,1.0,4.2,0.10127327657403942,5
