candidate_id,strategy_name,n,candidate_source,generation_method,selection_bucket,priority_role,surrogate_prediction,predicted_u2_guarded_score,predicted_peeq_guarded_score,predicted_surfaceT_guarded_score,predicted_mises_guarded_score,strict_penalty_guard_score,two_stage_guarded_score,no_penalty_worse_than_median_score,gnn_reward_prediction,graph_pointer_policy_score,hybrid_score,constrained_score,uncertainty_score,gnn_vs_surrogate_disagreement,novelty_distance,nearest_existing_teacher_strategy,order_json,order_compact,order_hash,first_track_norm,last_track_norm,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,odd_even_transition_count,mean_signed_jump,jump_std_norm,edge_visit_early_fraction,center_visit_early_fraction,pred_rank_constrained_within_n,batch_option,handoff_strategy_name,teacher_validated,teacher_validation_status
R48_N24_C01305,N24_R48_N24_C01305_strict_penalty_guard_top,24.0,strict_penalty_guard_top,existing_pool_selection,strict_penalty_guard_top,constrained_reward_balance,0.7530076114060488,0.7542174412737236,0.7435510896669183,0.7530076114060488,0.7530076114060488,0.7506545868313796,0.7517580721810961,0.7435510896669183,0.7246264373845893,0.8563327032136105,0.7524249081924382,0.7496201072708881,0.021523710998355393,0.028381174021459454,0.4583333333333333,S3R39N2440B60_N24_B04_n24_u2_near,"[22,23,21,19,11,1,3,5,7,9,13,15,17,0,2,4,6,8,10,12,14,16,18,20]",22-23-21-19-11-1-3-5-7-9-13-15-17-0-2-4-6-8-10-12-14-16-18-20,dfa52b5d51149bcf,0.9565217391304348,0.8695652173913043,0.14366729678638943,0.7391304347826086,1.0,1.0,0.08695652173913043,0.043478260869565216,4.0,2.0,-0.003780718336483932,0.1546170513926543,0.16666666666666666,0.16666666666666666,5.0,constrained_N24_N40_batch60,S3R48SPG_N24_B01_strict_guard_top,False,NOT_RUN
R48_N24_C00088,N24_R48_N24_C00088_strict_penalty_guard_top,24.0,strict_penalty_guard_top,existing_pool_selection,strict_penalty_guard_top,constrained_reward_balance,0.7364391037242605,0.7356829600569637,0.7139391037242605,0.7364391037242605,0.7364391037242605,0.7293866462573417,0.7314669747072473,0.7139391037242605,0.7087206700100726,0.8071833648393194,0.7339622606240713,0.7270252527081924,0.029516071971102543,0.027718433714187918,0.16666666666666666,S3R44CNS_N24_B16_uncertainty,"[22,17,9,7,15,13,5,3,1,11,19,21,23,0,2,4,6,8,10,12,14,16,18,20]",22-17-9-7-15-13-5-3-1-11-19-21-23-0-2-4-6-8-10-12-14-16-18-20,035b59d26fca2650,0.9565217391304348,0.8695652173913043,0.19281663516068054,1.0,0.0,1.0,0.08695652173913043,0.0,5.0,2.0,-0.003780718336483932,0.20706121438817937,0.0,0.0,12.0,constrained_N24_N40_batch60,S3R48SPG_N24_B02_strict_guard_top,False,NOT_RUN
R48_N24_C00679,N24_R48_N24_C00679_strict_penalty_guard_top,24.0,strict_penalty_guard_top,existing_pool_selection,strict_penalty_guard_top,constrained_reward_balance,0.7364391037242605,0.7356829600569637,0.7139391037242605,0.7364391037242605,0.7364391037242605,0.7293866462573417,0.7314669747072473,0.7139391037242605,0.7087206700100726,0.8071833648393194,0.7339622606240713,0.7270252527081924,0.036409236474188165,0.027718433714187918,0.16666666666666666,S3R44CNS_N24_B16_uncertainty,"[22,17,15,13,9,7,5,3,1,11,19,21,23,0,10,8,6,4,2,12,14,16,18,20]",22-17-15-13-9-7-5-3-1-11-19-21-23-0-10-8-6-4-2-12-14-16-18-20,cfc506f98ae11176,0.9565217391304348,0.8695652173913043,0.19281663516068054,1.0,0.0,1.0,0.08695652173913043,0.0,5.0,2.0,-0.003780718336483932,0.21177085541028431,0.0,0.0,19.0,constrained_N24_N40_batch60,S3R48SPG_N24_B03_strict_guard_top,False,NOT_RUN
R48_N24_C01021,N24_R48_N24_C01021_strict_penalty_guard_local_search,24.0,strict_penalty_guard_local_search,offline_mutation_or_pointer_proxy,strict_penalty_guard_local_search,constrained_reward_balance,0.7364391037242605,0.7356829600569637,0.7139391037242605,0.7364391037242605,0.7364391037242605,0.7293866462573417,0.7314669747072473,0.7139391037242605,0.7087206700100726,0.8071833648393194,0.7339622606240713,0.7270252527081924,0.03462765776173408,0.027718433714187918,0.16666666666666666,S3R44CNS_N24_B16_uncertainty,"[22,17,15,13,9,7,5,3,1,11,19,21,23,0,2,4,6,8,18,16,14,12,10,20]",22-17-15-13-9-7-5-3-1-11-19-21-23-0-2-4-6-8-18-16-14-12-10-20,184ebe2a9c435006,0.9565217391304348,0.8695652173913043,0.19281663516068054,1.0,0.0,1.0,0.08695652173913043,0.0,5.0,2.0,-0.003780718336483932,0.21177085541028431,0.0,0.0,21.0,constrained_N24_N40_batch60,S3R48SPG_N24_B04_strict_guard,False,NOT_RUN
R48_N24_C00627,N24_R48_N24_C00627_strict_penalty_guard_local_search,24.0,strict_penalty_guard_local_search,offline_mutation_or_pointer_proxy,strict_penalty_guard_local_search,constrained_reward_balance,0.7338400900900907,0.7333864038897125,0.7113400900900907,0.7338400900900907,0.7338400900900907,0.7269086156099395,0.7290343126798828,0.7113400900900907,0.7062256169212696,0.8147448015122873,0.7314539842299773,0.7245389044804499,0.031013980696725507,0.02761447316882104,0.16666666666666666,S3R44CNS_N24_B16_uncertainty,"[22,17,15,13,9,7,5,3,1,11,19,21,23,0,2,4,6,8,14,16,10,12,18,20]",22-17-15-13-9-7-5-3-1-11-19-21-23-0-2-4-6-8-14-16-10-12-18-20,f5ce42c91ade39b8,0.9565217391304348,0.8695652173913043,0.18525519848771269,1.0,0.0,1.0,0.08695652173913043,0.0,5.0,2.0,-0.003780718336483932,0.1995381332978357,0.0,0.0,27.0,constrained_N24_N40_batch60,S3R48SPG_N24_B05_strict_guard,False,NOT_RUN
R48_N24_C00962,N24_R48_N24_C00962_strict_penalty_guard_local_search,24.0,strict_penalty_guard_local_search,offline_mutation_or_pointer_proxy,strict_penalty_guard_local_search,constrained_reward_balance,0.7338400900900905,0.7333864038897124,0.7113400900900906,0.7338400900900905,0.7338400900900905,0.7269086156099394,0.7290343126798826,0.7113400900900906,0.7062256169212695,0.8147448015122873,0.7314539842299771,0.7245389044804498,0.0405992944408953,0.02761447316882104,0.16666666666666666,S3R44CNS_N24_B16_uncertainty,"[22,17,15,13,5,3,9,7,1,11,19,21,23,0,2,4,6,8,10,12,14,16,18,20]",22-17-15-13-5-3-9-7-1-11-19-21-23-0-2-4-6-8-10-12-14-16-18-20,1bc3cdbd2c291dd5,0.9565217391304348,0.8695652173913043,0.18525519848771269,1.0,0.0,1.0,0.08695652173913043,0.0,5.0,2.0,-0.003780718336483932,0.20280655587245897,0.0,0.0,37.0,constrained_N24_N40_batch60,S3R48SPG_N24_B06_strict_guard,False,NOT_RUN
R48_N24_C00243,N24_R48_N24_C00243_two_stage_guarded_top,24.0,two_stage_guarded_top,existing_pool_selection,two_stage_guarded_top,constrained_reward_balance,0.7338400900900907,0.7333864038897125,0.7113400900900907,0.7338400900900907,0.7338400900900907,0.7269086156099395,0.7290343126798828,0.7113400900900907,0.7062256169212696,0.8147448015122873,0.7314539842299773,0.7245389044804499,0.035198038183653885,0.02761447316882104,0.16666666666666666,S3R44CNS_N24_B16_uncertainty,"[22,17,15,13,9,7,5,3,1,11,19,21,23,0,2,4,6,12,14,8,10,16,18,20]",22-17-15-13-9-7-5-3-1-11-19-21-23-0-2-4-6-12-14-8-10-16-18-20,64b969aa739ec4ad,0.9565217391304348,0.8695652173913043,0.18525519848771269,1.0,0.0,1.0,0.08695652173913043,0.0,5.0,2.0,-0.003780718336483932,0.1995381332978357,0.0,0.0,26.0,constrained_N24_N40_batch60,S3R48SPG_N24_B07_two_stage_guarded_top,False,NOT_RUN
R48_N24_C02896,N24_R48_N24_C02896_two_stage_guarded_top,24.0,two_stage_guarded_top,existing_pool_selection,two_stage_guarded_top,constrained_reward_balance,0.7228193623310815,0.7223656761307033,0.7003193623310815,0.7228193623310815,0.7228193623310815,0.7158878878509303,0.7180135849208735,0.7003193623310815,0.6956457182726208,0.8147448015122873,0.720433256470968,0.7135181767214407,0.03414810328917803,0.027173644058460678,0.16666666666666666,S3R44CNS_N24_B16_uncertainty,"[22,17,15,13,9,3,5,7,1,11,19,21,23,0,2,4,6,8,10,14,12,16,18,20]",22-17-15-13-9-3-5-7-1-11-19-21-23-0-2-4-6-8-10-14-12-16-18-20,8cc6847a7550c326,0.9565217391304348,0.8695652173913043,0.18525519848771269,1.0,0.0,1.0,0.08695652173913043,0.0,7.0,2.0,-0.003780718336483932,0.19788367898225676,0.0,0.0,69.0,constrained_N24_N40_batch60,S3R48SPG_N24_B08_two_stage_guarded_top,False,NOT_RUN
R48_N24_C00380,N24_R48_N24_C00380_two_stage_guarded_top,24.0,two_stage_guarded_top,existing_pool_selection,two_stage_guarded_top,constrained_reward_balance,0.7221478844916346,0.7222991132250939,0.6996478844916346,0.7221478844916346,0.7221478844916346,0.7154583759850184,0.7176748102950372,0.6996478844916346,0.6950010995467517,0.829867674858223,0.7199432531116723,0.7062720296948481,0.03423632490476278,0.027146784944882874,0.08333333333333333,S3R44CNS_N24_B16_uncertainty,"[22,21,15,13,9,7,5,3,1,11,19,17,23,0,2,4,6,8,10,12,14,16,18,20]",22-21-15-13-9-7-5-3-1-11-19-17-23-0-2-4-6-8-10-12-14-16-18-20,b7ccc8b953c6d35c,0.9565217391304348,0.8695652173913043,0.17013232514177695,1.0,1.0,1.0,0.08695652173913043,0.043478260869565216,5.0,2.0,-0.003780718336483932,0.20146298300565155,0.0,0.0,84.0,constrained_N24_N40_batch60,S3R48SPG_N24_B09_two_stage_guarded_top,False,NOT_RUN
R48_N24_C00302,N24_R48_N24_C00302_two_stage_guarded_local_search,24.0,two_stage_guarded_local_search,offline_mutation_or_pointer_proxy,two_stage_guarded_local_search,constrained_reward_balance,0.7560853794642858,0.7565390656646638,0.7335853794642858,0.7560853794642858,0.7560853794642858,0.749516853944437,0.7517786568744937,0.7335853794642858,0.7275810947204969,0.8374291115311909,0.7539714853243991,0.7403221900739266,0.028826248098163715,0.028504284743788855,0.08333333333333333,S3R44CNS_N24_B16_uncertainty,"[18,17,15,13,9,7,5,3,1,11,19,21,23,0,2,4,6,8,10,12,14,16,22,20]",18-17-15-13-9-7-5-3-1-11-19-21-23-0-2-4-6-8-10-12-14-16-22-20,f65a516852ba4deb,0.782608695652174,0.8695652173913043,0.16257088846880907,1.0,1.0,1.0,0.08695652173913043,0.043478260869565216,4.0,2.0,0.003780718336483932,0.20117898218356914,0.0,0.0,6.0,constrained_N24_N40_batch60,S3R48SPG_N24_B10_two_stage_guarded,False,NOT_RUN
