group_type,group_value,count,median_u2_rank_run27,best_u2_rank_run27,median_reward_rank_run27,best_reward_rank_run27,median_u2_rank_combined172,best_u2_rank_combined172,median_reward_rank_combined172,best_reward_rank_combined172,top5_u2_run27_count,top10_u2_run27_count,top5_reward_run27_count,top10_reward_run27_count,new_combined172_top5_u2_entries,new_combined172_top10_u2_entries,new_combined172_top5_reward_entries,new_combined172_top10_reward_entries
selection_bucket,diversity_coverage,10,16.5,1.0,17.5,3.0,33.5,8.0,34.5,11.0,1,2,1,3,0,1,0,0
selection_bucket,exploitation_reference,6,2.5,1.0,2.0,1.0,8.5,1.0,5.5,1.0,4,5,4,6,3,3,3,4
selection_bucket,model_disagreement,10,8.5,5.0,8.5,4.0,18.5,12.0,16.75,8.0,1,8,2,6,0,0,0,1
selection_bucket,sentinel_control,6,20.0,7.0,17.5,7.0,39.5,23.0,34.5,22.0,0,2,0,2,0,0,0,0
selection_bucket,top_region_local_search,14,4.5,1.0,5.0,1.0,11.5,1.0,10.5,1.0,10,12,9,12,3,7,2,7
selection_bucket,tradeoff_probe,8,12.5,1.0,11.0,4.0,32.5,3.0,31.5,14.0,2,4,2,4,1,2,0,0
selection_bucket,uncertainty_calibration,10,12.5,3.0,14.0,3.0,28.0,7.0,26.5,8.0,2,3,2,3,0,1,0,1
priority_role,calibration,4,19.5,15.0,20.5,17.0,38.5,34.0,39.0,37.0,0,0,0,0,0,0,0,0
priority_role,diversity,15,9.0,2.0,8.0,2.0,20.0,3.0,21.0,3.0,3,10,4,8,1,1,1,3
priority_role,model_disagreement,8,12.0,1.0,12.0,1.0,29.0,3.0,28.0,3.0,3,4,3,4,2,2,1,1
priority_role,sentinel,1,7.0,7.0,7.0,7.0,24.0,24.0,25.0,25.0,0,1,0,1,0,0,0,0
priority_role,top_region_local_search,15,5.0,1.0,5.0,1.0,14.0,1.0,15.0,1.0,9,12,8,14,1,6,2,6
priority_role,tradeoff,9,14.0,3.0,14.0,3.0,25.0,5.0,30.0,6.0,2,3,2,4,1,2,0,2
priority_role,uncertainty,12,10.0,1.0,12.5,1.0,21.5,1.0,22.5,1.0,3,6,3,5,2,3,1,1
candidate_family,combined108_seed_mutation,2,4.0,1.0,5.0,3.0,15.5,8.0,16.5,11.0,1,2,1,2,0,1,0,0
candidate_family,diversity_random,1,16.0,16.0,15.0,15.0,35.0,35.0,34.0,34.0,0,0,0,0,0,0,0,0
candidate_family,geometry_signal_center_bias,1,24.0,24.0,24.0,24.0,48.0,48.0,52.0,52.0,0,0,0,0,0,0,0,0
candidate_family,geometry_signal_parity_switch,3,19.0,15.0,20.0,17.0,38.0,34.0,38.0,37.0,0,0,0,0,0,0,0,0
candidate_family,known_best_mutation,50,8.5,1.0,8.5,1.0,18.5,1.0,18.5,1.0,16,29,16,29,5,11,5,12
candidate_family,negative_control_low_adjacent,1,7.0,7.0,7.0,7.0,24.0,24.0,25.0,25.0,0,1,0,1,0,0,0,0
candidate_family,teacher_best_local_search,6,6.5,2.0,6.5,3.0,20.0,3.0,21.0,6.0,3,4,3,4,2,2,0,1
generation_method,biased_random_perturbation_039,1,23.0,23.0,23.0,23.0,43.0,43.0,45.0,45.0,0,0,0,0,0,0,0,0
generation_method,biased_random_perturbation_047,1,23.0,23.0,19.0,19.0,44.0,44.0,36.0,36.0,0,0,0,0,0,0,0,0
generation_method,biased_random_perturbation_079,1,22.0,22.0,22.0,22.0,42.0,42.0,42.0,42.0,0,0,0,0,0,0,0,0
generation_method,biased_random_perturbation_151,2,13.0,8.0,12.0,8.0,33.0,29.0,32.5,30.0,0,1,0,1,0,0,0,0
generation_method,biased_random_perturbation_167,1,7.0,7.0,7.0,7.0,23.0,23.0,22.0,22.0,0,1,0,1,0,0,0,0
generation_method,biased_random_perturbation_223,1,8.0,8.0,8.0,8.0,25.0,25.0,25.0,25.0,0,1,0,1,0,0,0,0
generation_method,biased_random_perturbation_287,1,21.0,21.0,23.0,23.0,40.0,40.0,44.0,44.0,0,0,0,0,0,0,0,0
generation_method,biased_random_perturbation_335,1,14.0,14.0,10.0,10.0,33.0,33.0,28.0,28.0,0,0,0,1,0,0,0,0
generation_method,biased_random_perturbation_343,1,24.0,24.0,24.0,24.0,47.0,47.0,50.0,50.0,0,0,0,0,0,0,0,0
generation_method,biased_random_perturbation_367,1,22.0,22.0,19.0,19.0,42.0,42.0,34.0,34.0,0,0,0,0,0,0,0,0
