n,category,position,strategy_name,dataset_source,value,rank_combined172_within_n
12,top5_mises,1,N12_A06_edge_in_alternating,probe60_run08,579937984.0,1.0
12,top5_mises,2,N12_A05_center_out,probe60_run08,579938048.0,2.5
12,top5_mises,3,N12_A12_graph_pointer_policy_diverse_02,probe60_run08,579938048.0,2.5
12,top5_mises,4,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,probe60_run08,579938240.0,4.0
12,top5_mises,5,N12_A01_raster_left_to_right,probe60_run08,579938304.0,7.0
12,worst3_mises,1,S3R24L64_N12_B03_model_disagreement,shortlist64_run27,579939776.0,32.0
12,worst3_mises,2,N12_A02_odd_even_interlaced,probe60_run08,579939584.0,26.5
12,worst3_mises,3,N12_A03_greedy_maximin_distance,probe60_run08,579939584.0,26.5
12,top5_reward_combined172_u2_primary,1,S3B20_N12_B02_diversity_top,batch20_run14,0.8564516129032259,1.0
12,top5_reward_combined172_u2_primary,2,S3B20_N12_B04_surrogate_top,batch20_run14,0.8491935483870969,2.0
12,top5_reward_combined172_u2_primary,3,S3R19B28_N12_B04_method_c_inspired,batch28_run20,0.8346774193548387,3.0
12,top5_reward_combined172_u2_primary,4,S3R19B28_N12_B01_surrogate_top,batch28_run20,0.8322580645161292,4.0
12,top5_reward_combined172_u2_primary,5,N12_A08_block_interleaved_quarters,probe60_run08,0.8185483870967744,5.0
16,top5_u2,1,S3R24L64_N16_B02_top_region,shortlist64_run27,4.0733349123911466e-05,1.0
16,top5_u2,2,S3R19B28_N16_B04_method_c_inspired,batch28_run20,4.279385166228167e-05,2.0
16,top5_u2,3,S3R24L64_N16_B08_exploitation_reference,shortlist64_run27,4.2947722249664366e-05,3.0
16,top5_u2,4,S3R19B28_N16_B02_u2_primary_top,batch28_run20,4.3677982830558904e-05,4.0
16,top5_u2,5,N16_A03_greedy_maximin_distance,probe60_run08,4.607185064742225e-05,5.0
16,worst3_u2,1,N16_A05_center_out,probe60_run08,0.00027908391211894923,32.0
16,worst3_u2,2,N16_A07_regular_jump_coprime,probe60_run08,0.0002763091160886688,31.0
16,worst3_u2,3,N16_A01_raster_left_to_right,probe60_run08,0.00024349282352886803,30.0
16,top5_peeq,1,S3B20_N16_B04_surrogate_top,batch20_run14,0.1489115208387375,1.0
16,top5_peeq,2,S3R19B28_N16_B01_surrogate_top,batch28_run20,0.14906533062458038,2.0
16,top5_peeq,3,S3R24L64_N16_B03_model_disagreement,shortlist64_run27,0.14964671432971954,3.0
16,top5_peeq,4,S3B20_N16_B01_surrogate_top,batch20_run14,0.15044885873794556,4.0
16,top5_peeq,5,S3B20_N16_B05_surrogate_top,batch20_run14,0.15050330758094788,5.0
16,worst3_peeq,1,N16_A06_edge_in_alternating,probe60_run08,0.1797565519809723,32.0
16,worst3_peeq,2,N16_A01_raster_left_to_right,probe60_run08,0.17520761489868164,31.0
16,worst3_peeq,3,N16_A11_graph_pointer_policy_diverse_01,probe60_run08,0.17434175312519073,30.0
16,top5_surfaceT,1,N16_A09_center_edge_alternating,probe60_run08,580899648.0,1.0
16,top5_surfaceT,2,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,probe60_run08,581290304.0,2.0
16,top5_surfaceT,3,S3R24L64_N16_B03_model_disagreement,shortlist64_run27,581315072.0,3.0
16,top5_surfaceT,4,S3R19B28_N16_B01_surrogate_top,batch28_run20,581331328.0,4.0
16,top5_surfaceT,5,N16_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,581337280.0,5.0
16,worst3_surfaceT,1,N16_A01_raster_left_to_right,probe60_run08,587841664.0,32.0
16,worst3_surfaceT,2,S3R19B28_N16_B04_method_c_inspired,batch28_run20,585915328.0,31.0
16,worst3_surfaceT,3,N16_A02_odd_even_interlaced,probe60_run08,585719808.0,30.0
16,top5_mises,1,N16_A07_regular_jump_coprime,probe60_run08,579946752.0,1.0
16,top5_mises,2,N16_A05_center_out,probe60_run08,579946816.0,2.5
16,top5_mises,3,N16_A12_graph_pointer_policy_diverse_02,probe60_run08,579946816.0,2.5
16,top5_mises,4,N16_A09_center_edge_alternating,probe60_run08,579946944.0,4.5
16,top5_mises,5,N16_A11_graph_pointer_policy_diverse_01,probe60_run08,579946944.0,4.5
16,worst3_mises,1,S3R24L64_N16_B01_top_region,shortlist64_run27,579948416.0,31.5
16,worst3_mises,2,S3R24L64_N16_B02_top_region,shortlist64_run27,579948416.0,31.5
16,worst3_mises,3,N16_A04_method_c_u2_first_engineering,probe60_run08,579948352.0,28.5
16,top5_reward_combined172_u2_primary,1,S3R24L64_N16_B02_top_region,shortlist64_run27,0.8733870967741937,1.0
16,top5_reward_combined172_u2_primary,2,S3B20_N16_B04_surrogate_top,batch20_run14,0.8379032258064516,2.0
16,top5_reward_combined172_u2_primary,3,S3R24L64_N16_B08_exploitation_reference,shortlist64_run27,0.8040322580645162,3.0
16,top5_reward_combined172_u2_primary,4,S3R19B28_N16_B04_method_c_inspired,batch28_run20,0.7766129032258065,4.0
16,top5_reward_combined172_u2_primary,5,S3R19B28_N16_B02_u2_primary_top,batch28_run20,0.7733870967741936,5.0
24,top5_u2,1,S3R19B28_N24_B10_known_best_mutation,batch28_run20,4.000997159891995e-05,1.0
24,top5_u2,2,S3R19B28_N24_B08_known_best_mutation,batch28_run20,4.156047452852363e-05,2.0
24,top5_u2,3,S3R24L64_N24_B20_tradeoff_probe,shortlist64_run27,5.346994021238061e-05,3.0
24,top5_u2,4,S3R24L64_N24_B23_exploitation_reference,shortlist64_run27,5.36375810042955e-05,4.0
24,top5_u2,5,N24_A04_method_c_u2_first_engineering,probe60_run08,5.621172385872342e-05,5.0
24,worst3_u2,1,N24_A05_center_out,probe60_run08,0.0006265991143266092,54.0
24,worst3_u2,2,N24_A08_block_interleaved_quarters,probe60_run08,0.0006247397857350734,53.0
24,worst3_u2,3,N24_A09_center_edge_alternating,probe60_run08,0.0005546370016418223,52.0
24,top5_peeq,1,S3R19B28_N24_B07_control_sentinel,batch28_run20,0.14928853511810303,1.0
24,top5_peeq,2,S3R24L64_N24_B22_sentinel_control,shortlist64_run27,0.15257473289966583,2.0
24,top5_peeq,3,S3R24L64_N24_B08_model_disagreement,shortlist64_run27,0.1531224399805069,3.0
24,top5_peeq,4,S3R19B28_N24_B01_surrogate_top,batch28_run20,0.15338687598705292,4.0
24,top5_peeq,5,S3R24L64_N24_B06_model_disagreement,shortlist64_run27,0.1534445732831955,5.0
24,worst3_peeq,1,N24_A01_raster_left_to_right,probe60_run08,0.18925029039382935,54.0
24,worst3_peeq,2,N24_A06_edge_in_alternating,probe60_run08,0.18484757840633392,53.0
24,worst3_peeq,3,S3R24L64_N24_B14_diversity_coverage,shortlist64_run27,0.1766754388809204,52.0
24,top5_surfaceT,1,S3R24L64_N24_B06_model_disagreement,shortlist64_run27,580875968.0,1.0
24,top5_surfaceT,2,S3R19B28_N24_B06_uncertainty_calibration,batch28_run20,580991360.0,2.0
24,top5_surfaceT,3,S3R24L64_N24_B08_model_disagreement,shortlist64_run27,581032512.0,3.0
24,top5_surfaceT,4,S3R24L64_N24_B11_uncertainty_calibration,shortlist64_run27,581163200.0,4.0
24,top5_surfaceT,5,N24_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,581204672.0,5.0
24,worst3_surfaceT,1,N24_A06_edge_in_alternating,probe60_run08,590591168.0,54.0
24,worst3_surfaceT,2,N24_A11_graph_pointer_policy_diverse_01,probe60_run08,589194880.0,53.0
24,worst3_surfaceT,3,N24_A05_center_out,probe60_run08,588072192.0,52.0
