step,i,j,s_new,rank_i,rank_j
1,14,14,0.999999,0,0
2,14,6,0.967240273493,0,1
3,6,14,0.967240273493,1,0
4,14,10,0.935710382544,0,2
5,10,14,0.935710382544,2,0
6,6,6,0.933332466667,1,1
7,14,12,0.90553769662,0,3
8,12,14,0.90553769662,3,0
9,6,10,0.900616270488,1,2
10,10,6,0.900616270488,2,1
11,14,8,0.87686233051,0,4
12,8,14,0.87686233051,4,0
13,6,12,0.869226245961,1,3
14,12,6,0.869226245961,3,1
15,10,10,0.866665933333,2,2
16,14,4,0.849835866506,0,5
17,4,14,0.849835866506,5,0
18,6,8,0.839311201721,1,4
19,8,6,0.839311201721,4,1
20,10,12,0.833999064748,2,3
21,12,10,0.833999064748,3,2
22,14,2,0.824620446024,0,6
23,2,14,0.824620446024,6,0
24,6,4,0.811034368364,1,5
25,4,6,0.811034368364,5,1
26,10,8,0.802772362919,2,4
27,8,10,0.802772362919,4,2
28,14,0,0.801387039243,0,7
29,0,14,0.801387039243,7,0
30,12,12,0.7999994,3,3
31,6,2,0.784572894425,1,6
32,2,6,0.784572894425,6,1
33,14,1,0.780312706548,0,8
34,1,14,0.780312706548,8,0
35,10,4,0.773160345595,2,5
36,4,10,0.773160345595,5,2
37,12,8,0.767390426489,3,4
38,8,12,0.767390426489,4,3
39,14,3,0.761576706577,0,9
40,3,14,0.761576706577,9,0
41,6,0,0.760116394596,1,7
42,0,6,0.760116394596,7,1
43,10,2,0.745355485658,2,6
44,2,10,0.745355485658,6,2
45,14,5,0.745355396215,0,10
46,5,14,0.745355396215,10,0
47,6,1,0.737864260326,1,8
48,1,6,0.737864260326,8,1
49,12,4,0.736356924324,3,5
50,4,12,0.736356924324,5,3
51,8,8,0.733332866667,4,4
52,14,7,0.73181601513,0,11
53,7,14,0.73181601513,11,0
54,14,9,0.721109644923,0,12
55,9,14,0.721109644923,12,0
56,10,0,0.719567305168,2,7
57,0,10,0.719567305168,7,2
58,6,3,0.718021466717,1,9
59,3,6,0.718021466717,9,1
60,14,11,0.71336385293,0,13
61,11,14,0.71336385293,13,0
62,14,13,0.70867572274,0,14
63,13,14,0.70867572274,14,0
64,12,2,0.707106356922,3,6
65,2,12,0.707106356922,6,3
66,14,15,0.70710607408,0,15
67,15,14,0.70710607408,15,0
68,8,4,0.700792798669,4,5
69,4,8,0.700792798669,5,4
70,6,5,0.700792703539,1,10
71,5,6,0.700792703539,10,1
72,10,1,0.696019999713,2,8
73,1,10,0.696019999713,8,2
74,6,7,0.686374844139,1,11
75,7,6,0.686374844139,11,1
76,12,0,0.679868889321,3,7
77,0,12,0.679868889321,7,3
78,10,3,0.674948146157,2,9
79,3,10,0.674948146157,9,2
80,6,9,0.674948047384,1,12
81,9,6,0.674948047384,12,1
82,8,2,0.669991363129,4,6
83,2,8,0.669991363129,6,4
84,4,4,0.666666333333,5,5
85,6,11,0.666666133334,1,13
86,11,6,0.666666133334,13,1
87,6,13,0.661647207103,1,14
88,13,6,0.661647207103,14,1
89,6,15,0.659965716282,1,15
90,15,6,0.659965716282,15,1
91,10,5,0.65659012075,2,10
92,5,10,0.65659012075,10,2
93,12,1,0.654895747429,3,8
94,1,12,0.654895747429,8,3
95,8,0,0.641179174126,4,7
96,0,8,0.641179174126,7,4
97,10,7,0.641179070152,2,11
98,7,10,0.641179070152,11,2
99,4,2,0.634209649879,5,6
100,2,4,0.634209649879,6,5
101,12,3,0.632455215806,3,9
102,3,12,0.632455215806,9,3
103,10,9,0.628931665605,2,12
104,9,10,0.628931665605,12,2
105,10,11,0.620035407592,2,13
106,11,10,0.620035407592,13,2
107,8,1,0.614636044067,4,8
108,1,8,0.614636044067,8,4
109,10,13,0.614635827137,2,14
110,13,10,0.614635827137,14,2
111,12,5,0.612825576055,3,10
112,5,12,0.612825576055,10,3
113,10,15,0.612825358484,2,15
114,15,10,0.612825358484,15,2
115,4,0,0.603692129042,5,7
116,0,4,0.603692129042,7,5
117,2,2,0.5999998,6,6
118,12,7,0.596284495858,3,11
119,7,12,0.596284495858,11,3
120,8,3,0.590667949585,4,9
121,3,8,0.590667949585,9,4
122,12,9,0.583094880787,3,12
123,9,12,0.583094880787,12,3
124,4,1,0.575422383993,5,8
125,1,4,0.575422383993,8,5
126,12,11,0.573488017893,3,13
127,11,12,0.573488017893,13,3
128,8,5,0.569600046817,4,10
129,5,8,0.569600046817,10,4
130,2,0,0.567646075179,6,7
131,0,2,0.567646075179,7,6
132,12,13,0.567645840292,3,14
133,13,12,0.567645840292,14,3
134,12,15,0.565685000686,3,15
135,15,12,0.565685000686,15,3
136,8,7,0.551764647895,4,11
137,7,8,0.551764647895,11,4
138,4,3,0.549747287397,5,9
139,3,4,0.549747287397,9,5
140,2,1,0.537483767197,6,8
141,1,2,0.537483767197,8,6
142,8,9,0.537483643162,4,12
143,9,8,0.537483643162,12,4
144,0,0,0.533333266667,7,7
145,4,5,0.527046171286,5,10
146,5,4,0.527046171286,10,5
147,8,11,0.527046044795,4,13
148,11,8,0.527046044795,13,4
149,8,13,0.520683038582,4,14
150,13,8,0.520683038582,14,4
151,8,15,0.518544642887,4,15
152,15,8,0.518544642887,15,4
153,2,3,0.509901912136,6,9
154,3,2,0.509901912136,9,6
155,4,7,0.507718110766,5,11
156,7,4,0.507718110766,11,5
157,0,1,0.501109874845,7,8
158,1,0,0.501109874845,8,7
159,4,9,0.492160664824,5,12
160,9,4,0.492160664824,12,5
161,2,5,0.485340650128,6,10
162,5,2,0.485340650128,10,6
163,4,11,0.480740040632,5,13
164,11,4,0.480740040632,13,5
165,4,13,0.473755506565,5,14
166,13,4,0.473755506565,14,5
167,0,3,0.471404567932,7,9
168,3,0,0.471404567932,9,7
169,4,15,0.471404285089,5,15
170,15,4,0.471404285089,15,5
171,1,1,0.466666733333,8,8
172,2,7,0.464279614026,6,11
173,7,2,0.464279614026,11,6
174,2,9,0.4472135955,6,12
175,9,2,0.4472135955,12,6
176,0,5,0.444722220418,7,10
177,5,0,0.444722220418,10,7
178,1,3,0.434613621508,8,9
179,3,1,0.434613621508,9,8
180,2,11,0.434613468115,6,13
181,11,2,0.434613468115,13,6
182,2,13,0.426874876282,6,14
183,13,2,0.426874876282,14,6
184,2,15,0.424263927291,6,15
185,15,2,0.424263927291,15,6
186,0,7,0.421637126765,7,11
187,7,0,0.421637126765,11,7
188,1,5,0.405517677379,8,10
189,5,1,0.405517677379,10,8
190,0,9,0.40276830395,7,12
191,9,0,0.40276830395,12,7
192,3,3,0.4000002,9,9
193,0,11,0.388730206356,7,13
194,11,0,0.388730206356,13,7
195,1,7,0.38005867968,8,11
196,7,1,0.38005867968,11,8
197,0,13,0.380058504269,7,14
198,13,0,0.380058504269,14,7
199,0,15,0.377123569493,7,15
200,15,0,0.377123569493,15,7
201,3,5,0.368178960109,9,10
202,5,3,0.368178960109,10,9
203,1,9,0.359011197597,8,12
204,9,1,0.359011197597,12,8
205,1,11,0.343187859149,8,13
206,11,1,0.343187859149,13,8
207,3,7,0.339934934951,9,11
208,7,3,0.339934934951,11,9
209,5,5,0.333333666667,10,10
210,1,13,0.333333466667,8,14
211,13,1,0.333333466667,14,8
212,1,15,0.329983211695,8,15
213,15,1,0.329983211695,15,8
214,3,9,0.316228082245,9,12
215,9,3,0.316228082245,12,9
216,5,7,0.301846561463,10,11
217,7,5,0.301846561463,11,10
218,3,11,0.298142695143,9,13
219,11,3,0.298142695143,13,9
220,3,13,0.286744415814,9,14
221,13,3,0.286744415814,14,9
222,3,15,0.282842853897,9,15
