record_set,dataset_source,n,count,best_U2_strategy,best_U2_value,best_PEEQ_strategy,best_PEEQ_value,best_SurfaceT_strategy,best_SurfaceT_value,best_Mises_strategy,best_Mises_value,best_target_reward_combined520_u2_primary_strategy,best_target_reward_combined520_u2_primary_value,best_target_reward_combined520_constrained_u2_reward_balanced_strategy,best_target_reward_combined520_constrained_u2_reward_balanced_value,best_target_reward_combined520_strict_penalty_guard_strategy,best_target_reward_combined520_strict_penalty_guard_value,best_target_reward_combined520_penalty_repair_strategy,best_target_reward_combined520_penalty_repair_value,top5_reward_entries_in_combined480,top10_reward_entries_in_combined480
Run46,run46_constrained_N24_N40_batch32,24,16,S3R44CNS_N24_B14_hybrid_disagree,3.166340729876538e-05,S3R44CNS_N24_B16_uncertainty,0.1528085321187973,S3R44CNS_N24_B07_surfacet_guarded,581497728.0,S3R44CNS_N24_B03_constr_surrogate,579943360.0,S3R44CNS_N24_B16_uncertainty,0.8704545454545456,S3R44CNS_N24_B16_uncertainty,0.8542780748663101,S3R44CNS_N24_B16_uncertainty,0.8489304812834224,S3R44CNS_N24_B16_uncertainty,0.8332887700534759,1,2
Run41,run41_native_N24_N40_focused_batch60,24,30,S3R39N2440B60_N24_B08_n24_u2_near,3.7988751273587695e-05,S3R39N2440B60_N24_B12_surrogate_top,0.1496064215898513,S3R39N2440B60_N24_B17_diversity,581337792.0,S3R39N2440B60_N24_B17_diversity,579942848.0,S3R39N2440B60_N24_B07_n24_u2_near,0.7647058823529412,S3R39N2440B60_N24_B07_n24_u2_near,0.7205882352941176,S3R39N2440B60_N24_B07_n24_u2_near,0.7171122994652407,S3R39N2440B60_N24_B07_n24_u2_near,0.681283422459893,0,0
Run36,run36_N32_informed_native_batch32,24,12,S3R34N32INF_N24_B10_n24_calibration,3.273940910730744e-05,S3R34N32INF_N24_B02_surrogate_top,0.1497802585363388,S3R34N32INF_N24_B01_graph_pointer,581126080.0,S3R34N32INF_N24_B05_uncertainty,579943296.0,S3R34N32INF_N24_B10_n24_calibration,0.7814171122994653,S3R34N32INF_N24_B11_n24_calibration,0.7189839572192513,S3R34N32INF_N24_B01_graph_pointer,0.6775401069518716,S3R34N32INF_N24_B01_graph_pointer,0.6842245989304813,0,0
Run27,shortlist64_run27,24,24,S3R24L64_N24_B20_tradeoff_probe,5.346994021238061e-05,S3R24L64_N24_B22_sentinel_control,0.1525747328996658,S3R24L64_N24_B06_model_disagreement,580875968.0,S3R24L64_N24_B18_tradeoff_probe,579943168.0,S3R24L64_N24_B03_top_region,0.6593582887700534,S3R24L64_N24_B07_model_disagreement,0.6513368983957218,S3R24L64_N24_B07_model_disagreement,0.6818181818181818,S3R24L64_N24_B11_uncertainty_calibration,0.6969251336898394,0,0
Run71,run71_smallN_recovery_focused_batch40,40,4,S3R69SNR_N40_B01_n40_anchor_ref,5.276091178529896e-05,S3R69SNR_N40_B01_n40_anchor_ref,0.1530022174119949,S3R69SNR_N40_B02_n40_anchor_ref,581827520.0,S3R69SNR_N40_B02_n40_anchor_ref,579926464.0,S3R69SNR_N40_B01_n40_anchor_ref,0.9129310344827586,S3R69SNR_N40_B01_n40_anchor_ref,0.8725369458128078,S3R69SNR_N40_B01_n40_anchor_ref,0.8620689655172414,S3R69SNR_N40_B01_n40_anchor_ref,0.8274630541871921,1,1
Run61,run61_custom_N40_focused_batch40,40,24,S3R59N40PR40_N40_B17_n40_two_stage,5.130235695105512e-05,S3R59N40PR40_N40_B06_n40_no_median,0.1516209989786148,S3R59N40PR40_N40_B09_n40_penalty_repair,582004416.0,S3R59N40PR40_N40_B02_n40_peeq_repair,579926528.0,S3R59N40PR40_N40_B17_n40_two_stage,0.9136699507389163,S3R59N40PR40_N40_B17_n40_two_stage,0.8637931034482758,S3R59N40PR40_N40_B17_n40_two_stage,0.8514778325123153,S3R59N40PR40_N40_B08_n40_penalty_repair,0.8354679802955663,1,2
Run56,run56_calibrated_N24_N40_batch64,40,32,S3R54CAL64_N40_B12_penalty_repair,5.201993008085992e-05,S3R54CAL64_N40_B32_diversity,0.1480723470449447,S3R54CAL64_N40_B14_penalty_repair,582003392.0,S3R54CAL64_N40_B21_median_guard,579925888.0,S3R54CAL64_N40_B11_penalty_repair,0.8662561576354679,S3R54CAL64_N40_B11_penalty_repair,0.8518472906403941,S3R54CAL64_N40_B11_penalty_repair,0.8504926108374384,S3R54CAL64_N40_B11_penalty_repair,0.8359605911330048,0,1
Run51,run51_stricter_constrained_N24_N40_batch32,40,16,S3R49SCN_N40_B04_strict_guard,6.170961933094077e-05,S3R49SCN_N40_B09_median_guard,0.1534324586391449,S3R49SCN_N40_B05_two_stage,581980672.0,S3R49SCN_N40_B11_peeq_repair,579926528.0,S3R49SCN_N40_B09_median_guard,0.819704433497537,S3R49SCN_N40_B09_median_guard,0.808128078817734,S3R49SCN_N40_B09_median_guard,0.8073891625615763,S3R49SCN_N40_B09_median_guard,0.7985221674876847,0,0
Run46,run46_constrained_N24_N40_batch32,40,16,S3R44CNS_N40_B01_reward_balanced,5.7689914683578536e-05,S3R44CNS_N40_B08_surfacet_guarded,0.1534235626459121,S3R44CNS_N40_B05_peeq_guarded,581921728.0,S3R44CNS_N40_B04_constr_surrogate,579926528.0,S3R44CNS_N40_B05_peeq_guarded,0.825985221674877,S3R44CNS_N40_B05_peeq_guarded,0.7770935960591132,S3R44CNS_N40_B08_surfacet_guarded,0.7647783251231527,S3R44CNS_N40_B08_surfacet_guarded,0.7415024630541872,0,0
Run41,run41_native_N24_N40_focused_batch60,40,30,S3R39N2440B60_N40_B04_n40_u2_near,6.792713247705251e-05,S3R39N2440B60_N40_B10_surrogate_top,0.1440253555774688,S3R39N2440B60_N40_B01_n40_u2_near,581616832.0,S3R39N2440B60_N40_B25_diversity,579924352.0,S3R39N2440B60_N40_B04_n40_u2_near,0.8014778325123153,S3R39N2440B60_N40_B04_n40_u2_near,0.7770935960591133,S3R39N2440B60_N40_B02_n40_u2_near,0.7839901477832513,S3R39N2440B60_N40_B02_n40_u2_near,0.7858374384236452,0,0
Run36,run36_N32_informed_native_batch32,40,12,S3R34N32INF_N40_B08_n40_best_near,5.696606240235269e-05,S3R34N32INF_N40_B06_diversity,0.1472502499818802,S3R34N32INF_N40_B10_n40_best_near,581764736.0,S3R34N32INF_N40_B06_diversity,579925120.0,S3R34N32INF_N40_B08_n40_best_near,0.8061576354679802,S3R34N32INF_N40_B08_n40_best_near,0.7544334975369458,S3R34N32INF_N40_B10_n40_best_near,0.7288177339901479,S3R34N32INF_N40_B10_n40_best_near,0.6979064039408867,0,0
Run27,shortlist64_run27,40,24,S3R24L64_N40_B23_exploitation_reference,5.95808796788333e-05,S3R24L64_N40_B24_exploitation_reference,0.1537862718105316,S3R24L64_N40_B01_top_region,581591424.0,S3R24L64_N40_B21_sentinel_control,579924800.0,S3R24L64_N40_B23_exploitation_reference,0.8289408866995074,S3R24L64_N40_B23_exploitation_reference,0.7844827586206897,S3R24L64_N40_B23_exploitation_reference,0.7736453201970444,S3R24L64_N40_B23_exploitation_reference,0.7427339901477832,0,0
