run_id,batch_name,n,handoff_strategy_name,patched_after_cool_initialInc_failure,expected_job_name,job_name_matches_expected,job_name,case_dir,inp_path,sta_path,dat_path,msg_path,odb_path,lck_paths,sta_exists,dat_exists,msg_exists,odb_exists,odb_size_bytes,lck_present,sta_success_marker,sta_fatal_marker,dat_fatal_marker,msg_fatal_marker,nonfatal_warning_marker,completion_status,notes,last_sta_lines,last_msg_lines,manual_rerun_command
run_41_native_N24_N40_focused_batch60_odb_teacher_extraction,stage3_run39_native_N24_N40_focused_batch60_v01,24,S3R39N2440B60_N24_B01_n24_u2_near,False,J2D_S3R39N2440B60_N24_B01_n24_u2_near,True,J2D_S3R39N2440B60_N24_B01_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B01_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B01_n24_u2_near\J2D_S3R39N2440B60_N24_B01_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B01_n24_u2_near\J2D_S3R39N2440B60_N24_B01_n24_u2_near.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B01_n24_u2_near\J2D_S3R39N2440B60_N24_B01_n24_u2_near.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B01_n24_u2_near\J2D_S3R39N2440B60_N24_B01_n24_u2_near.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B01_n24_u2_near\J2D_S3R39N2440B60_N24_B01_n24_u2_near.odb,,True,True,True,True,195912604,False,True,False,False,False,True,WARNING_SUCCESS_WITH_WARNINGS,complete_with_nonfatal_warnings,  49    28   1     0     2     2  732.       645.       60.00 |   49    29   1     0     2     2  792.       705.       60.00 |   49    30   1     0     2     2  852.       765.       60.00 |   49    31   1     0     2     2  912.       825.       60.00 |   49    32   1     0     2     2  972.       885.       60.00 |   49    33   1     0     2     2  1.03e+03   945.       60.00 |   49    34   1     0     2     2  1.09e+03   1.01e+03   60.00 |   49    35   1     0     2     2  1.15e+03   1.07e+03   60.00 |   49    36   1     0     2     2  1.21e+03   1.13e+03   60.00 |   49    37   1     0     2     2  1.27e+03   1.19e+03   60.00 |   49    38   1     0     1     1  1.29e+03   1.20e+03   14.71 |  THE ANALYSIS HAS COMPLETED SUCCESSFULLY,                       0  ADDITIONAL OPERATOR EVALUATIONS FOR LINE SEARCHES |                        1  WARNING MESSAGES DURING USER INPUT PROCESSING |                      987  WARNING MESSAGES DURING ANALYSIS |                        0  ANALYSIS WARNINGS ARE NUMERICAL PROBLEM MESSAGES |                        1  ANALYSIS WARNINGS ARE NEGATIVE EIGENVALUE MESSAGES |                        0  ERROR MESSAGES |      JOB TIME SUMMARY |        USER TIME (SEC)      =     1.21E+03 |        SYSTEM TIME (SEC)    =     1.69E+02 |        TOTAL CPU TIME (SEC) =     1.38E+03 |        WALLCLOCK TIME (SEC) =          475 |        MEMORY PEAK (GB)     =            0,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B01_n24_u2_near\J2D_S3R39N2440B60_N24_B01_n24_u2_near.inp"" --cpus 14 --batch stage3_run39_native_N24_N40_focused_batch60_v01 --strategy S3R39N2440B60_N24_B01_n24_u2_near"
run_41_native_N24_N40_focused_batch60_odb_teacher_extraction,stage3_run39_native_N24_N40_focused_batch60_v01,24,S3R39N2440B60_N24_B02_n24_u2_near,False,J2D_S3R39N2440B60_N24_B02_n24_u2_near,True,J2D_S3R39N2440B60_N24_B02_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B02_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B02_n24_u2_near\J2D_S3R39N2440B60_N24_B02_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B02_n24_u2_near\J2D_S3R39N2440B60_N24_B02_n24_u2_near.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B02_n24_u2_near\J2D_S3R39N2440B60_N24_B02_n24_u2_near.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B02_n24_u2_near\J2D_S3R39N2440B60_N24_B02_n24_u2_near.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B02_n24_u2_near\J2D_S3R39N2440B60_N24_B02_n24_u2_near.odb,,True,True,True,True,194840660,False,True,False,False,False,True,WARNING_SUCCESS_WITH_WARNINGS,complete_with_nonfatal_warnings,  49    28   1     0     2     2  732.       645.       60.00 |   49    29   1     0     2     2  792.       705.       60.00 |   49    30   1     0     2     2  852.       765.       60.00 |   49    31   1     0     2     2  912.       825.       60.00 |   49    32   1     0     2     2  972.       885.       60.00 |   49    33   1     0     2     2  1.03e+03   945.       60.00 |   49    34   1     0     2     2  1.09e+03   1.01e+03   60.00 |   49    35   1     0     2     2  1.15e+03   1.07e+03   60.00 |   49    36   1     0     2     2  1.21e+03   1.13e+03   60.00 |   49    37   1     0     2     2  1.27e+03   1.19e+03   60.00 |   49    38   1     0     1     1  1.29e+03   1.20e+03   14.55 |  THE ANALYSIS HAS COMPLETED SUCCESSFULLY,                       0  ADDITIONAL OPERATOR EVALUATIONS FOR LINE SEARCHES |                        1  WARNING MESSAGES DURING USER INPUT PROCESSING |                      864  WARNING MESSAGES DURING ANALYSIS |                        0  ANALYSIS WARNINGS ARE NUMERICAL PROBLEM MESSAGES |                        0  ANALYSIS WARNINGS ARE NEGATIVE EIGENVALUE MESSAGES |                        0  ERROR MESSAGES |      JOB TIME SUMMARY |        USER TIME (SEC)      =     1.18E+03 |        SYSTEM TIME (SEC)    =     1.64E+02 |        TOTAL CPU TIME (SEC) =     1.35E+03 |        WALLCLOCK TIME (SEC) =          476 |        MEMORY PEAK (GB)     =            0,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B02_n24_u2_near\J2D_S3R39N2440B60_N24_B02_n24_u2_near.inp"" --cpus 14 --batch stage3_run39_native_N24_N40_focused_batch60_v01 --strategy S3R39N2440B60_N24_B02_n24_u2_near"
run_41_native_N24_N40_focused_batch60_odb_teacher_extraction,stage3_run39_native_N24_N40_focused_batch60_v01,24,S3R39N2440B60_N24_B03_n24_u2_near,False,J2D_S3R39N2440B60_N24_B03_n24_u2_near,True,J2D_S3R39N2440B60_N24_B03_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B03_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B03_n24_u2_near\J2D_S3R39N2440B60_N24_B03_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B03_n24_u2_near\J2D_S3R39N2440B60_N24_B03_n24_u2_near.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B03_n24_u2_near\J2D_S3R39N2440B60_N24_B03_n24_u2_near.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B03_n24_u2_near\J2D_S3R39N2440B60_N24_B03_n24_u2_near.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B03_n24_u2_near\J2D_S3R39N2440B60_N24_B03_n24_u2_near.odb,,True,True,True,True,197047664,False,True,False,False,False,True,WARNING_SUCCESS_WITH_WARNINGS,complete_with_nonfatal_warnings,  49    28   1     0     2     2  732.       645.       60.00 |   49    29   1     0     2     2  792.       705.       60.00 |   49    30   1     0     2     2  852.       765.       60.00 |   49    31   1     0     2     2  912.       825.       60.00 |   49    32   1     0     2     2  972.       885.       60.00 |   49    33   1     0     2     2  1.03e+03   945.       60.00 |   49    34   1     0     2     2  1.09e+03   1.01e+03   60.00 |   49    35   1     0     2     2  1.15e+03   1.07e+03   60.00 |   49    36   1     0     2     2  1.21e+03   1.13e+03   60.00 |   49    37   1     0     2     2  1.27e+03   1.19e+03   60.00 |   49    38   1     0     1     1  1.29e+03   1.20e+03   14.71 |  THE ANALYSIS HAS COMPLETED SUCCESSFULLY,                       0  ADDITIONAL OPERATOR EVALUATIONS FOR LINE SEARCHES |                        1  WARNING MESSAGES DURING USER INPUT PROCESSING |                      818  WARNING MESSAGES DURING ANALYSIS |                        0  ANALYSIS WARNINGS ARE NUMERICAL PROBLEM MESSAGES |                        3  ANALYSIS WARNINGS ARE NEGATIVE EIGENVALUE MESSAGES |                        0  ERROR MESSAGES |      JOB TIME SUMMARY |        USER TIME (SEC)      =     1.16E+03 |        SYSTEM TIME (SEC)    =     1.66E+02 |        TOTAL CPU TIME (SEC) =     1.32E+03 |        WALLCLOCK TIME (SEC) =          480 |        MEMORY PEAK (GB)     =            0,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B03_n24_u2_near\J2D_S3R39N2440B60_N24_B03_n24_u2_near.inp"" --cpus 14 --batch stage3_run39_native_N24_N40_focused_batch60_v01 --strategy S3R39N2440B60_N24_B03_n24_u2_near"
run_41_native_N24_N40_focused_batch60_odb_teacher_extraction,stage3_run39_native_N24_N40_focused_batch60_v01,24,S3R39N2440B60_N24_B04_n24_u2_near,False,J2D_S3R39N2440B60_N24_B04_n24_u2_near,True,J2D_S3R39N2440B60_N24_B04_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B04_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B04_n24_u2_near\J2D_S3R39N2440B60_N24_B04_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B04_n24_u2_near\J2D_S3R39N2440B60_N24_B04_n24_u2_near.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B04_n24_u2_near\J2D_S3R39N2440B60_N24_B04_n24_u2_near.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B04_n24_u2_near\J2D_S3R39N2440B60_N24_B04_n24_u2_near.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B04_n24_u2_near\J2D_S3R39N2440B60_N24_B04_n24_u2_near.odb,,True,True,True,True,196843604,False,True,False,False,False,True,WARNING_SUCCESS_WITH_WARNINGS,complete_with_nonfatal_warnings,  49    28   1     0     2     2  691.       604.       60.00 |   49    29   1     0     2     2  751.       664.       60.00 |   49    30   1     0     2     2  811.       724.       60.00 |   49    31   1     0     2     2  871.       784.       60.00 |   49    32   1     0     2     2  931.       844.       60.00 |   49    33   1     0     2     2  991.       904.       60.00 |   49    34   1     0     2     2  1.05e+03   964.       60.00 |   49    35   1     0     2     2  1.11e+03   1.02e+03   60.00 |   49    36   1     0     2     2  1.17e+03   1.08e+03   60.00 |   49    37   1     0     2     2  1.23e+03   1.14e+03   60.00 |   49    38   1     0     2     2  1.29e+03   1.20e+03   55.75 |  THE ANALYSIS HAS COMPLETED SUCCESSFULLY,                       0  ADDITIONAL OPERATOR EVALUATIONS FOR LINE SEARCHES |                        1  WARNING MESSAGES DURING USER INPUT PROCESSING |                      930  WARNING MESSAGES DURING ANALYSIS |                        0  ANALYSIS WARNINGS ARE NUMERICAL PROBLEM MESSAGES |                        3  ANALYSIS WARNINGS ARE NEGATIVE EIGENVALUE MESSAGES |                        0  ERROR MESSAGES |      JOB TIME SUMMARY |        USER TIME (SEC)      =     1.09E+03 |        SYSTEM TIME (SEC)    =     1.71E+02 |        TOTAL CPU TIME (SEC) =     1.26E+03 |        WALLCLOCK TIME (SEC) =          466 |        MEMORY PEAK (GB)     =            0,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B04_n24_u2_near\J2D_S3R39N2440B60_N24_B04_n24_u2_near.inp"" --cpus 14 --batch stage3_run39_native_N24_N40_focused_batch60_v01 --strategy S3R39N2440B60_N24_B04_n24_u2_near"
run_41_native_N24_N40_focused_batch60_odb_teacher_extraction,stage3_run39_native_N24_N40_focused_batch60_v01,24,S3R39N2440B60_N24_B05_n24_u2_near,False,J2D_S3R39N2440B60_N24_B05_n24_u2_near,True,J2D_S3R39N2440B60_N24_B05_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B05_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B05_n24_u2_near\J2D_S3R39N2440B60_N24_B05_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B05_n24_u2_near\J2D_S3R39N2440B60_N24_B05_n24_u2_near.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B05_n24_u2_near\J2D_S3R39N2440B60_N24_B05_n24_u2_near.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B05_n24_u2_near\J2D_S3R39N2440B60_N24_B05_n24_u2_near.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B05_n24_u2_near\J2D_S3R39N2440B60_N24_B05_n24_u2_near.odb,,True,True,True,True,196300360,False,True,False,False,False,True,WARNING_SUCCESS_WITH_WARNINGS,complete_with_nonfatal_warnings,  49    28   1     0     2     2  732.       645.       60.00 |   49    29   1     0     2     2  792.       705.       60.00 |   49    30   1     0     2     2  852.       765.       60.00 |   49    31   1     0     2     2  912.       825.       60.00 |   49    32   1     0     2     2  972.       885.       60.00 |   49    33   1     0     2     2  1.03e+03   945.       60.00 |   49    34   1     0     2     2  1.09e+03   1.01e+03   60.00 |   49    35   1     0     2     2  1.15e+03   1.07e+03   60.00 |   49    36   1     0     2     2  1.21e+03   1.13e+03   60.00 |   49    37   1     0     2     2  1.27e+03   1.19e+03   60.00 |   49    38   1     0     1     1  1.29e+03   1.20e+03   14.55 |  THE ANALYSIS HAS COMPLETED SUCCESSFULLY,                       0  ADDITIONAL OPERATOR EVALUATIONS FOR LINE SEARCHES |                        1  WARNING MESSAGES DURING USER INPUT PROCESSING |                      873  WARNING MESSAGES DURING ANALYSIS |                        0  ANALYSIS WARNINGS ARE NUMERICAL PROBLEM MESSAGES |                        1  ANALYSIS WARNINGS ARE NEGATIVE EIGENVALUE MESSAGES |                        0  ERROR MESSAGES |      JOB TIME SUMMARY |        USER TIME (SEC)      =     1.01E+03 |        SYSTEM TIME (SEC)    =     1.76E+02 |        TOTAL CPU TIME (SEC) =     1.18E+03 |        WALLCLOCK TIME (SEC) =          456 |        MEMORY PEAK (GB)     =            0,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B05_n24_u2_near\J2D_S3R39N2440B60_N24_B05_n24_u2_near.inp"" --cpus 14 --batch stage3_run39_native_N24_N40_focused_batch60_v01 --strategy S3R39N2440B60_N24_B05_n24_u2_near"
run_41_native_N24_N40_focused_batch60_odb_teacher_extraction,stage3_run39_native_N24_N40_focused_batch60_v01,24,S3R39N2440B60_N24_B06_n24_u2_near,False,J2D_S3R39N2440B60_N24_B06_n24_u2_near,True,J2D_S3R39N2440B60_N24_B06_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B06_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B06_n24_u2_near\J2D_S3R39N2440B60_N24_B06_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B06_n24_u2_near\J2D_S3R39N2440B60_N24_B06_n24_u2_near.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B06_n24_u2_near\J2D_S3R39N2440B60_N24_B06_n24_u2_near.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B06_n24_u2_near\J2D_S3R39N2440B60_N24_B06_n24_u2_near.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B06_n24_u2_near\J2D_S3R39N2440B60_N24_B06_n24_u2_near.odb,,True,True,True,True,194689628,False,True,False,False,False,True,WARNING_SUCCESS_WITH_WARNINGS,complete_with_nonfatal_warnings,  49    28   1     0     2     2  691.       604.       60.00 |   49    29   1     0     2     2  751.       664.       60.00 |   49    30   1     0     2     2  811.       724.       60.00 |   49    31   1     0     2     2  871.       784.       60.00 |   49    32   1     0     2     2  931.       844.       60.00 |   49    33   1     0     2     2  991.       904.       60.00 |   49    34   1     0     2     2  1.05e+03   964.       60.00 |   49    35   1     0     2     2  1.11e+03   1.02e+03   60.00 |   49    36   1     0     2     2  1.17e+03   1.08e+03   60.00 |   49    37   1     0     2     2  1.23e+03   1.14e+03   60.00 |   49    38   1     0     2     2  1.29e+03   1.20e+03   55.75 |  THE ANALYSIS HAS COMPLETED SUCCESSFULLY,                       0  ADDITIONAL OPERATOR EVALUATIONS FOR LINE SEARCHES |                        1  WARNING MESSAGES DURING USER INPUT PROCESSING |                      897  WARNING MESSAGES DURING ANALYSIS |                        0  ANALYSIS WARNINGS ARE NUMERICAL PROBLEM MESSAGES |                        0  ANALYSIS WARNINGS ARE NEGATIVE EIGENVALUE MESSAGES |                        0  ERROR MESSAGES |      JOB TIME SUMMARY |        USER TIME (SEC)      =     9.98E+02 |        SYSTEM TIME (SEC)    =     1.68E+02 |        TOTAL CPU TIME (SEC) =     1.17E+03 |        WALLCLOCK TIME (SEC) =          447 |        MEMORY PEAK (GB)     =            0,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B06_n24_u2_near\J2D_S3R39N2440B60_N24_B06_n24_u2_near.inp"" --cpus 14 --batch stage3_run39_native_N24_N40_focused_batch60_v01 --strategy S3R39N2440B60_N24_B06_n24_u2_near"
run_41_native_N24_N40_focused_batch60_odb_teacher_extraction,stage3_run39_native_N24_N40_focused_batch60_v01,24,S3R39N2440B60_N24_B07_n24_u2_near,False,J2D_S3R39N2440B60_N24_B07_n24_u2_near,True,J2D_S3R39N2440B60_N24_B07_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B07_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B07_n24_u2_near\J2D_S3R39N2440B60_N24_B07_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B07_n24_u2_near\J2D_S3R39N2440B60_N24_B07_n24_u2_near.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B07_n24_u2_near\J2D_S3R39N2440B60_N24_B07_n24_u2_near.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B07_n24_u2_near\J2D_S3R39N2440B60_N24_B07_n24_u2_near.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B07_n24_u2_near\J2D_S3R39N2440B60_N24_B07_n24_u2_near.odb,,True,True,True,True,200049784,False,True,False,False,False,True,WARNING_SUCCESS_WITH_WARNINGS,complete_with_nonfatal_warnings,  49    29   1     0     2     2  706.       620.       60.00 |   49    30   1     0     2     2  766.       680.       60.00 |   49    31   1     0     2     2  826.       740.       60.00 |   49    32   1     0     2     2  886.       800.       60.00 |   49    33   1     0     2     2  946.       860.       60.00 |   49    34   1     0     2     2  1.01e+03   920.       60.00 |   49    35   1     0     2     2  1.07e+03   980.       60.00 |   49    36   1     0     2     2  1.13e+03   1.04e+03   60.00 |   49    37   1     0     2     2  1.19e+03   1.10e+03   60.00 |   49    38   1     0     2     2  1.25e+03   1.16e+03   60.00 |   49    39   1     0     2     2  1.29e+03   1.20e+03   40.02 |  THE ANALYSIS HAS COMPLETED SUCCESSFULLY,                       0  ADDITIONAL OPERATOR EVALUATIONS FOR LINE SEARCHES |                        1  WARNING MESSAGES DURING USER INPUT PROCESSING |                     1004  WARNING MESSAGES DURING ANALYSIS |                        0  ANALYSIS WARNINGS ARE NUMERICAL PROBLEM MESSAGES |                        2  ANALYSIS WARNINGS ARE NEGATIVE EIGENVALUE MESSAGES |                        0  ERROR MESSAGES |      JOB TIME SUMMARY |        USER TIME (SEC)      =     1.11E+03 |        SYSTEM TIME (SEC)    =     1.76E+02 |        TOTAL CPU TIME (SEC) =     1.29E+03 |        WALLCLOCK TIME (SEC) =          494 |        MEMORY PEAK (GB)     =            0,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B07_n24_u2_near\J2D_S3R39N2440B60_N24_B07_n24_u2_near.inp"" --cpus 14 --batch stage3_run39_native_N24_N40_focused_batch60_v01 --strategy S3R39N2440B60_N24_B07_n24_u2_near"
run_41_native_N24_N40_focused_batch60_odb_teacher_extraction,stage3_run39_native_N24_N40_focused_batch60_v01,24,S3R39N2440B60_N24_B08_n24_u2_near,False,J2D_S3R39N2440B60_N24_B08_n24_u2_near,True,J2D_S3R39N2440B60_N24_B08_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B08_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B08_n24_u2_near\J2D_S3R39N2440B60_N24_B08_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B08_n24_u2_near\J2D_S3R39N2440B60_N24_B08_n24_u2_near.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B08_n24_u2_near\J2D_S3R39N2440B60_N24_B08_n24_u2_near.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B08_n24_u2_near\J2D_S3R39N2440B60_N24_B08_n24_u2_near.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B08_n24_u2_near\J2D_S3R39N2440B60_N24_B08_n24_u2_near.odb,,True,True,True,True,195147740,False,True,False,False,False,True,WARNING_SUCCESS_WITH_WARNINGS,complete_with_nonfatal_warnings,  49    29   1     0     2     2  706.       620.       60.00 |   49    30   1     0     2     2  766.       680.       60.00 |   49    31   1     0     2     2  826.       740.       60.00 |   49    32   1     0     2     2  886.       800.       60.00 |   49    33   1     0     2     2  946.       860.       60.00 |   49    34   1     0     2     2  1.01e+03   920.       60.00 |   49    35   1     0     2     2  1.07e+03   980.       60.00 |   49    36   1     0     2     2  1.13e+03   1.04e+03   60.00 |   49    37   1     0     2     2  1.19e+03   1.10e+03   60.00 |   49    38   1     0     2     2  1.25e+03   1.16e+03   60.00 |   49    39   1     0     2     2  1.29e+03   1.20e+03   40.02 |  THE ANALYSIS HAS COMPLETED SUCCESSFULLY,                       0  ADDITIONAL OPERATOR EVALUATIONS FOR LINE SEARCHES |                        1  WARNING MESSAGES DURING USER INPUT PROCESSING |                      913  WARNING MESSAGES DURING ANALYSIS |                        0  ANALYSIS WARNINGS ARE NUMERICAL PROBLEM MESSAGES |                        3  ANALYSIS WARNINGS ARE NEGATIVE EIGENVALUE MESSAGES |                        0  ERROR MESSAGES |      JOB TIME SUMMARY |        USER TIME (SEC)      =     1.79E+03 |        SYSTEM TIME (SEC)    =     1.70E+02 |        TOTAL CPU TIME (SEC) =     1.96E+03 |        WALLCLOCK TIME (SEC) =          737 |        MEMORY PEAK (GB)     =            0,"enqueue --inp ""E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B08_n24_u2_near\J2D_S3R39N2440B60_N24_B08_n24_u2_near.inp"" --cpus 14 --batch stage3_run39_native_N24_N40_focused_batch60_v01 --strategy S3R39N2440B60_N24_B08_n24_u2_near"
