raw_case_id,raw_N,raw_strategy_id,raw_strategy_code,raw_strategy_family,raw_job_name,raw_case_dir,raw_odb_path,raw_odb_size_bytes,raw_scan_order_json,raw_scan_order,raw_odb_extraction_status,raw_notes,raw_final_step_name,raw_final_frame_value,raw_final_frame_description,raw_u_node_count,raw_u2_min,raw_u2_max,raw_u2_range,raw_u2_abs_max,raw_u2_mean,raw_u2_mean_abs,raw_u2_rms,raw_u_magnitude_max,raw_peeq_value_count,raw_peeq_max,raw_peeq_mean,raw_peeq_fraction_gt_0p002,raw_peeq_count_gt_0p002,raw_s_value_count,raw_mises_max,raw_mises_mean,raw_max_principal_stress_max,raw_max_principal_stress_mean,raw_surface_t_proxy_max_tensile_pa,raw_surface_t_proxy_max_tensile_mpa,raw_nt11_node_count,raw_nt11_min,raw_nt11_max,raw_nt11_mean,raw_rank_within_N_u2_range,raw_rank_within_N_peeq_max,raw_rank_within_N_surface_t_proxy,raw_rank_within_N_mises_max,n,strategy_name,job_name_canonical,teacher_status_canonical,u2_range_canonical,peeq_max_canonical,surfaceT_proxy_canonical,surfaceT_proxy_source_column,n_prefix,action_id,strategy_core_name,strategy_family,candidate_group,policy_source,trained_policy_used,teacher_validated_from_run06,order_json,u2_rank_within_n,u2_percentile_within_n,u2_z_within_n,peeq_rank_within_n,peeq_percentile_within_n,peeq_z_within_n,surfaceT_rank_within_n,surfaceT_percentile_within_n,surfaceT_z_within_n,simple_mean_rank,constrained_rank_key,u2_peeq_feasible_relative,u2_surfaceT_tradeoff_flag,constrained_rank_within_n
N12_A01_raster_left_to_right,N12,N12_A01,A01,raster,J2D_N12_N12_A01_raster_left_to_right,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A01_raster_left_to_right,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A01_raster_left_to_right\J2D_N12_N12_A01_raster_left_to_right.odb,56481100,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A01_raster_left_to_right\scan_order_N12_A01_raster_left_to_right.json,"[0,1,2,3,4,5,6,7,8,9,10,11]",PASS_ODB_EXTRACTED,final_frame_metrics_extracted,step_final_cooling,1200.0,Increment     38: Step Time =    1200.,399,-0.00012794058420695364,3.4892864277935587e-06,0.0001314298706347472,0.00012794058420695364,-7.831421426071426e-05,7.841726836811728e-05,8.7770416774599e-05,0.00013289769499121964,1344,0.172713503241539,0.0654173318415858,1.0,1344,1344,579938304.0,579937168.4761904,585930688.0,579931867.5714285,585930688.0,585.930688,399,20.098812103271484,20.10139274597168,20.100474947974796,13,14,15,5,12,N12_A01_raster_left_to_right,J2D_N12_N12_A01_raster_left_to_right,PASS_ODB_EXTRACTED,0.0001314298706347472,0.172713503241539,585930688.0,surface_t_proxy_max_tensile_pa,N12,A01,raster_left_to_right,raster,engineering_baseline,engineering_baseline,False,False,"[0,1,2,3,4,5,6,7,8,9,10,11]",13,0.8571428571428571,1.2457559492548635,14,0.9285714285714286,1.474268377256342,15,1.0,2.155236200818667,14.0,13-14-15,False,none,13
N12_A02_odd_even_interlaced,N12,N12_A02,A02,odd_even,J2D_N12_N12_A02_odd_even_interlaced,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A02_odd_even_interlaced,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A02_odd_even_interlaced\J2D_N12_N12_A02_odd_even_interlaced.odb,51824660,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A02_odd_even_interlaced\scan_order_N12_A02_odd_even_interlaced.json,"[0,2,4,6,8,10,1,3,5,7,9,11]",PASS_ODB_EXTRACTED,final_frame_metrics_extracted,step_final_cooling,1200.0,Increment     38: Step Time =    1200.,399,-2.4065282559604384e-05,1.6378202417399734e-05,4.044348497700412e-05,2.4065282559604384e-05,1.2551832007296413e-07,5.901163518492979e-06,6.74706506429822e-06,5.5783152044533164e-05,1344,0.14851008355617523,0.06332139688865504,1.0,1344,1344,579939584.0,579938538.4761904,585297728.0,579936283.5238096,585297728.0,585.297728,399,20.096662521362305,20.099184036254883,20.098288265983562,2,4,14,12,12,N12_A02_odd_even_interlaced,J2D_N12_N12_A02_odd_even_interlaced,PASS_ODB_EXTRACTED,4.044348497700412e-05,0.14851008355617523,585297728.0,surface_t_proxy_max_tensile_pa,N12,A02,odd_even_interlaced,odd_even,engineering_baseline,engineering_baseline,False,False,"[0,2,4,6,8,10,1,3,5,7,9,11]",2,0.07142857142857142,-1.3077854263280582,4,0.21428571428571427,-0.9674438845427945,14,0.9285714285714286,1.766918795431002,6.666666666666667,02-04-14,True,good_u2_weak_surfaceT,2
N12_A03_greedy_maximin_distance,N12,N12_A03,A03,maximin,J2D_N12_N12_A03_greedy_maximin_distance,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A03_greedy_maximin_distance,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A03_greedy_maximin_distance\J2D_N12_N12_A03_greedy_maximin_distance.odb,52354272,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A03_greedy_maximin_distance\scan_order_N12_A03_greedy_maximin_distance.json,"[0,11,5,8,2,1,3,4,6,7,9,10]",PASS_ODB_EXTRACTED,final_frame_metrics_extracted,step_final_cooling,1200.0,Increment     37: Step Time =    1200.,399,-7.76898450567387e-05,4.069099759362871e-06,8.175894481610158e-05,7.76898450567387e-05,-4.325743335148833e-05,4.339967404434548e-05,4.831322446508513e-05,8.327879596320572e-05,1344,0.16098161041736603,0.0640482540696948,1.0,1344,1344,579939584.0,579938487.9047619,585035712.0,579936689.9047619,585035712.0,585.035712,399,20.096744537353516,20.09926414489746,20.09836847023259,8,10,13,13,12,N12_A03_greedy_maximin_distance,J2D_N12_N12_A03_greedy_maximin_distance,PASS_ODB_EXTRACTED,8.175894481610158e-05,0.16098161041736603,585035712.0,surface_t_proxy_max_tensile_pa,N12,A03,greedy_maximin_distance,maximin,engineering_baseline,engineering_baseline,False,False,"[0,11,5,8,2,1,3,4,6,7,9,10]",8,0.5,-0.14826320344051122,10,0.6428571428571429,0.29072047636946324,13,0.8571428571428571,1.6061734508751777,10.333333333333334,08-10-13,False,none,8
N12_A04_method_c_u2_first_engineering,N12,N12_A04,A04,method_c,J2D_N12_N12_A04_method_c_u2_first_engineering,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A04_method_c_u2_first_engineering,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A04_method_c_u2_first_engineering\J2D_N12_N12_A04_method_c_u2_first_engineering.odb,52037852,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A04_method_c_u2_first_engineering\scan_order_N12_A04_method_c_u2_first_engineering.json,"[0,2,4,6,8,10,5,3,1,7,9,11]",PASS_ODB_EXTRACTED,final_frame_metrics_extracted,step_final_cooling,1200.0,Increment     38: Step Time =    1200.,399,-3.416103572817519e-05,9.955185305443592e-06,4.4116221033618785e-05,3.416103572817519e-05,-9.492983299870211e-06,9.824398311131885e-06,1.1855288911405825e-05,5.2509960603724584e-05,1344,0.1464761346578598,0.06312932184941712,1.0,1344,1344,579939584.0,579938510.0476191,581743296.0,579937896.4761904,581743296.0,581.743296,399,20.096710205078125,20.099233627319336,20.098336958347407,3,3,6,14,12,N12_A04_method_c_u2_first_engineering,J2D_N12_N12_A04_method_c_u2_first_engineering,PASS_ODB_EXTRACTED,4.4116221033618785e-05,0.1464761346578598,581743296.0,surface_t_proxy_max_tensile_pa,N12,A04,method_c_u2_first_engineering,method_c,engineering_baseline,engineering_baseline,False,False,"[0,2,4,6,8,10,5,3,1,7,9,11]",3,0.14285714285714285,-1.204709747320001,3,0.14285714285714285,-1.172634639793502,6,0.35714285714285715,-0.41370527539004304,4.0,03-03-06,True,none,3
N12_A05_center_out,N12,N12_A05,A05,center_out,J2D_N12_N12_A05_center_out,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A05_center_out,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A05_center_out\J2D_N12_N12_A05_center_out.odb,51581752,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A05_center_out\scan_order_N12_A05_center_out.json,"[5,6,4,7,3,8,2,9,1,10,0,11]",PASS_ODB_EXTRACTED,final_frame_metrics_extracted,step_final_cooling,1200.0,Increment     38: Step Time =    1200.,399,-0.00015555191203020513,2.803304369081161e-06,0.0001583552163992863,0.00015555191203020513,-9.253847048755157e-05,9.263870687765145e-05,0.00010386552147455265,0.00015917309287060804,1344,0.16032162308692932,0.06409899739775851,1.0,1344,1344,579938048.0,579936992.2380953,580972800.0,579936731.0952381,580972800.0,580.9728,399,20.099102020263672,20.10167694091797,20.100762948057707,15,9,3,2,12,N12_A05_center_out,J2D_N12_N12_A05_center_out,PASS_ODB_EXTRACTED,0.0001583552163992863,0.16032162308692932,580972800.0,surface_t_proxy_max_tensile_pa,N12,A05,center_out,center_out,engineering_baseline,engineering_baseline,False,False,"[5,6,4,7,3,8,2,9,1,10,0,11]",15,1.0,2.0014182823016733,9,0.5714285714285714,0.22413901067955966,3,0.14285714285714285,-0.8864002443953107,9.0,15-09-03,False,good_surfaceT_weak_u2,15
N12_A06_edge_in_alternating,N12,N12_A06,A06,edge_in,J2D_N12_N12_A06_edge_in_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A06_edge_in_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A06_edge_in_alternating\J2D_N12_N12_A06_edge_in_alternating.odb,50900440,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A06_edge_in_alternating\scan_order_N12_A06_edge_in_alternating.json,"[0,11,1,10,2,9,3,8,4,7,5,6]",PASS_ODB_EXTRACTED,final_frame_metrics_extracted,step_final_cooling,1200.0,Increment     38: Step Time =    1200.,399,-9.773541387403384e-05,3.553596570782247e-06,0.00010128901044481609,9.773541387403384e-05,-6.31844216398886e-05,6.331047488547563e-05,6.874351514867891e-05,0.00010336884673120771,1344,0.17532625794410706,0.0637466843348063,1.0,1344,1344,579937984.0,579936920.0,580798976.0,579936614.9523809,580798976.0,580.798976,399,20.099210739135742,20.101797103881836,20.100876437691518,11,15,2,1,12,N12_A06_edge_in_alternating,J2D_N12_N12_A06_edge_in_alternating,PASS_ODB_EXTRACTED,0.00010128901044481609,0.17532625794410706,580798976.0,surface_t_proxy_max_tensile_pa,N12,A06,edge_in_alternating,edge_in,engineering_baseline,engineering_baseline,False,False,"[0,11,1,10,2,9,3,8,4,7,5,6]",11,0.7142857142857143,0.39984990480370336,15,1.0,1.7378507667395782,2,0.07142857142857142,-0.9930402922247241,9.333333333333334,11-15-02,False,good_surfaceT_weak_u2,11
N12_A07_regular_jump_coprime,N12,N12_A07,A07,regular_jump,J2D_N12_N12_A07_regular_jump_coprime,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A07_regular_jump_coprime,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A07_regular_jump_coprime\J2D_N12_N12_A07_regular_jump_coprime.odb,51900824,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A07_regular_jump_coprime\scan_order_N12_A07_regular_jump_coprime.json,"[0,5,10,3,8,1,6,11,4,9,2,7]",PASS_ODB_EXTRACTED,final_frame_metrics_extracted,step_final_cooling,1200.0,Increment     38: Step Time =    1200.,399,-5.981122376397252e-05,3.9836913856561296e-06,6.379491514962865e-05,5.981122376397252e-05,-3.2046169674861046e-05,3.217244447614974e-05,3.556877382687532e-05,6.544923016208837e-05,1344,0.15351411700248718,0.061477830029270125,1.0,1344,1344,579938432.0,579937331.1904762,581880128.0,579936723.5238096,581880128.0,581.880128,399,20.098556518554688,20.10112762451172,20.10021413836563,5,5,8,9,12,N12_A07_regular_jump_coprime,J2D_N12_N12_A07_regular_jump_coprime,PASS_ODB_EXTRACTED,6.379491514962865e-05,0.15351411700248718,581880128.0,surface_t_proxy_max_tensile_pa,N12,A07,regular_jump_coprime,regular_jump,engineering_baseline,engineering_baseline,False,False,"[0,5,10,3,8,1,6,11,4,9,2,7]",5,0.2857142857142857,-0.6524253667567976,5,0.2857142857142857,-0.4626222525937535,8,0.5,-0.3297596118188774,6.0,05-05-08,True,none,5
N12_A08_block_interleaved_quarters,N12,N12_A08,A08,block_interleaved,J2D_N12_N12_A08_block_interleaved_quarters,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A08_block_interleaved_quarters,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A08_block_interleaved_quarters\J2D_N12_N12_A08_block_interleaved_quarters.odb,52690652,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A08_block_interleaved_quarters\scan_order_N12_A08_block_interleaved_quarters.json,"[0,3,6,9,1,4,7,10,2,5,8,11]",PASS_ODB_EXTRACTED,final_frame_metrics_extracted,step_final_cooling,1200.0,Increment     38: Step Time =    1200.,399,-2.8705233489745297e-05,8.121222890622448e-06,3.6826456380367745e-05,2.8705233489745297e-05,-7.696279960699518e-06,8.098261520366451e-06,1.0484311208570598e-05,5.691980420077794e-05,1344,0.14324450492858887,0.062383604781990426,1.0,1344,1344,579939584.0,579938485.3333334,582462656.0,579937313.1428572,582462656.0,582.462656,399,20.09674835205078,20.099271774291992,20.098376061384542,1,2,11,15,12,N12_A08_block_interleaved_quarters,J2D_N12_N12_A08_block_interleaved_quarters,PASS_ODB_EXTRACTED,3.6826456380367745e-05,0.14324450492858887,582462656.0,surface_t_proxy_max_tensile_pa,N12,A08,block_interleaved_quarters,block_interleaved,engineering_baseline,engineering_baseline,False,False,"[0,3,6,9,1,4,7,10,2,5,8,11]",1,0.0,-1.4092976702908073,2,0.07142857142857142,-1.4986509646819686,11,0.7142857142857143,0.02761804478764693,4.666666666666667,01-02-11,True,good_u2_weak_surfaceT,1
N12_A09_center_edge_alternating,N12,N12_A09,A09,center_edge,J2D_N12_N12_A09_center_edge_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A09_center_edge_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A09_center_edge_alternating\J2D_N12_N12_A09_center_edge_alternating.odb,51534320,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A09_center_edge_alternating\scan_order_N12_A09_center_edge_alternating.json,"[5,0,6,11,4,1,7,10,3,2,8,9]",PASS_ODB_EXTRACTED,final_frame_metrics_extracted,step_final_cooling,1200.0,Increment     38: Step Time =    1200.,399,-0.0001041934301611036,3.891162123181857e-06,0.00010808459228428546,0.0001041934301611036,-5.634558807097201e-05,5.648325238750754e-05,6.367469802048051e-05,0.00010982888267376641,1344,0.1680927276611328,0.062407269389257725,1.0,1344,1344,579938304.0,579937185.6666666,580752832.0,579936825.4285715,580752832.0,580.752832,399,20.098791122436523,20.10136604309082,20.10045025282934,12,13,1,6,12,N12_A09_center_edge_alternating,J2D_N12_N12_A09_center_edge_alternating,PASS_ODB_EXTRACTED,0.00010808459228428546,0.1680927276611328,580752832.0,surface_t_proxy_max_tensile_pa,N12,A09,center_edge_alternating,center_edge,engineering_baseline,engineering_baseline,False,False,"[5,0,6,11,4,1,7,10,3,2,8,9]",12,0.7857142857142857,0.590568541144746,13,0.8571428571428571,1.0081109275913842,1,0.0,-1.021349377086656,8.666666666666666,12-13-01,False,good_surfaceT_weak_u2,12
N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,N12,N12_A10,A10,graph_pointer_proxy,J2D_N12_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A10_graph_pointer_policy_zero_shot_or_proxy_best\J2D_N12_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best.odb,51514684,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A10_graph_pointer_policy_zero_shot_or_proxy_best\scan_order_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best.json,"[0,11,2,5,4,8,6,1,10,3,7,9]",PASS_ODB_EXTRACTED,final_frame_metrics_extracted,step_final_cooling,1200.0,Increment     38: Step Time =    1200.,399,-5.159885040484369e-05,4.110397640033625e-06,5.570924804487731e-05,5.159885040484369e-05,-2.173074924581961e-05,2.1879138648217166e-05,2.416873178312493e-05,5.578938650348171e-05,1344,0.15651747584342957,0.0630347404401705,1.0,1344,1344,579938304.0,579937227.3809524,583114560.0,579936216.0952381,583114560.0,583.11456,399,20.098722457885742,20.101293563842773,20.10037923635994,4,6,12,7,12,N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,J2D_N12_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,PASS_ODB_EXTRACTED,5.570924804487731e-05,0.15651747584342957,583114560.0,surface_t_proxy_max_tensile_pa,N12,A10,graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,proxy_fallback_policy,proxy_policy,False,False,"[0,11,2,5,4,8,6,1,10,3,7,9]",4,0.21428571428571427,-0.8793503660510762,6,0.35714285714285715,-0.15963456722355535,12,0.7857142857142857,0.42755748778853214,7.333333333333333,04-06-12,True,good_u2_weak_surfaceT,4
