n,leaderboard,position,strategy_name,strategy_family,candidate_group,u2_range,peeq_max,surfaceT_proxy,u2_rank_within_n,peeq_rank_within_n,surfaceT_rank_within_n,simple_mean_rank,constrained_rank_within_n
16,top5_u2,3,N16_A04_method_c_u2_first_engineering,method_c,engineering_baseline,5.043179316999158e-05,0.15182757377624512,581727104.0,3,2,6,3.6666666666666665,3
16,top5_u2,4,N16_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,proxy_fallback_policy,0.00011749031591534731,0.15198101103305817,581337280.0,4,3,3,3.3333333333333335,4
16,top5_u2,5,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,proxy_fallback_policy,0.0001204781697197177,0.1701684147119522,581290304.0,5,11,2,6.0,5
16,top5_peeq,1,N16_A08_block_interleaved_quarters,block_interleaved,engineering_baseline,0.00016068820355030766,0.1505546271800995,582573376.0,7,1,11,6.333333333333333,7
16,top5_peeq,2,N16_A04_method_c_u2_first_engineering,method_c,engineering_baseline,5.043179316999158e-05,0.15182757377624512,581727104.0,3,2,6,3.6666666666666665,3
16,top5_peeq,3,N16_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,proxy_fallback_policy,0.00011749031591534731,0.15198101103305817,581337280.0,4,3,3,3.3333333333333335,4
16,top5_peeq,4,N16_A03_greedy_maximin_distance,maximin,engineering_baseline,4.607185064742225e-05,0.1532730907201767,582927360.0,1,4,13,6.0,1
16,top5_peeq,5,N16_A02_odd_even_interlaced,odd_even,engineering_baseline,4.9715717977960594e-05,0.15370793640613556,585719808.0,2,5,14,7.0,2
16,top5_surfaceT,1,N16_A09_center_edge_alternating,center_edge,engineering_baseline,0.00021473178685482708,0.17430327832698822,580899648.0,11,12,1,8.0,11
16,top5_surfaceT,2,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,proxy_fallback_policy,0.0001204781697197177,0.1701684147119522,581290304.0,5,11,2,6.0,5
16,top5_surfaceT,3,N16_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,proxy_fallback_policy,0.00011749031591534731,0.15198101103305817,581337280.0,4,3,3,3.3333333333333335,4
16,top5_surfaceT,4,N16_A07_regular_jump_coprime,regular_jump,engineering_baseline,0.0002763091160886688,0.16533087193965912,581433216.0,14,9,4,9.0,14
16,top5_surfaceT,5,N16_A12_graph_pointer_policy_diverse_02,graph_pointer_proxy,proxy_fallback_policy,0.00023973382963049517,0.16137175261974335,581517248.0,12,6,5,7.666666666666667,12
16,top5_simple_mean_rank,1,N16_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,proxy_fallback_policy,0.00011749031591534731,0.15198101103305817,581337280.0,4,3,3,3.3333333333333335,4
16,top5_simple_mean_rank,2,N16_A04_method_c_u2_first_engineering,method_c,engineering_baseline,5.043179316999158e-05,0.15182757377624512,581727104.0,3,2,6,3.6666666666666665,3
16,top5_simple_mean_rank,3,N16_A03_greedy_maximin_distance,maximin,engineering_baseline,4.607185064742225e-05,0.1532730907201767,582927360.0,1,4,13,6.0,1
16,top5_simple_mean_rank,4,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,proxy_fallback_policy,0.0001204781697197177,0.1701684147119522,581290304.0,5,11,2,6.0,5
16,top5_simple_mean_rank,5,N16_A08_block_interleaved_quarters,block_interleaved,engineering_baseline,0.00016068820355030766,0.1505546271800995,582573376.0,7,1,11,6.333333333333333,7
16,top5_constrained_rank_key,1,N16_A03_greedy_maximin_distance,maximin,engineering_baseline,4.607185064742225e-05,0.1532730907201767,582927360.0,1,4,13,6.0,1
16,top5_constrained_rank_key,2,N16_A02_odd_even_interlaced,odd_even,engineering_baseline,4.9715717977960594e-05,0.15370793640613556,585719808.0,2,5,14,7.0,2
16,top5_constrained_rank_key,3,N16_A04_method_c_u2_first_engineering,method_c,engineering_baseline,5.043179316999158e-05,0.15182757377624512,581727104.0,3,2,6,3.6666666666666665,3
16,top5_constrained_rank_key,4,N16_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,proxy_fallback_policy,0.00011749031591534731,0.15198101103305817,581337280.0,4,3,3,3.3333333333333335,4
16,top5_constrained_rank_key,5,N16_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,proxy_fallback_policy,0.0001204781697197177,0.1701684147119522,581290304.0,5,11,2,6.0,5
16,worst3_u2,1,N16_A05_center_out,center_out,engineering_baseline,0.00027908391211894923,0.16641919314861298,582182080.0,15,10,8,11.0,15
16,worst3_u2,2,N16_A07_regular_jump_coprime,regular_jump,engineering_baseline,0.0002763091160886688,0.16533087193965912,581433216.0,14,9,4,9.0,14
16,worst3_u2,3,N16_A01_raster_left_to_right,raster,engineering_baseline,0.00024349282352886803,0.17520761489868164,587841664.0,13,14,15,14.0,13
16,worst3_peeq,1,N16_A06_edge_in_alternating,edge_in,engineering_baseline,0.00020532089024527522,0.1797565519809723,581764096.0,10,15,7,10.666666666666666,10
16,worst3_peeq,2,N16_A01_raster_left_to_right,raster,engineering_baseline,0.00024349282352886803,0.17520761489868164,587841664.0,13,14,15,14.0,13
16,worst3_peeq,3,N16_A11_graph_pointer_policy_diverse_01,graph_pointer_proxy,proxy_fallback_policy,0.00018299555517842236,0.17434175312519073,582880128.0,9,13,12,11.333333333333334,9
16,worst3_surfaceT,1,N16_A01_raster_left_to_right,raster,engineering_baseline,0.00024349282352886803,0.17520761489868164,587841664.0,13,14,15,14.0,13
16,worst3_surfaceT,2,N16_A02_odd_even_interlaced,odd_even,engineering_baseline,4.9715717977960594e-05,0.15370793640613556,585719808.0,2,5,14,7.0,2
16,worst3_surfaceT,3,N16_A03_greedy_maximin_distance,maximin,engineering_baseline,4.607185064742225e-05,0.1532730907201767,582927360.0,1,4,13,6.0,1
24,top5_u2,1,N24_A04_method_c_u2_first_engineering,method_c,engineering_baseline,5.621172385872342e-05,0.15437763929367065,581727232.0,1,2,2,1.6666666666666667,1
24,top5_u2,2,N24_A02_odd_even_interlaced,odd_even,engineering_baseline,8.360300034837564e-05,0.15498611330986023,586226112.0,2,4,11,5.666666666666667,2
24,top5_u2,3,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,proxy_fallback_policy,0.00018885933013734757,0.15415936708450317,583863616.0,3,1,7,3.6666666666666665,3
24,top5_u2,4,N24_A11_graph_pointer_policy_diverse_01,graph_pointer_proxy,proxy_fallback_policy,0.0002307547981672542,0.16373257339000702,589194880.0,4,8,14,8.666666666666666,4
24,top5_u2,5,N24_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,proxy_fallback_policy,0.0002316626496394747,0.16216421127319336,581204672.0,5,5,1,3.6666666666666665,5
24,top5_peeq,1,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,proxy_fallback_policy,0.00018885933013734757,0.15415936708450317,583863616.0,3,1,7,3.6666666666666665,3
24,top5_peeq,2,N24_A04_method_c_u2_first_engineering,method_c,engineering_baseline,5.621172385872342e-05,0.15437763929367065,581727232.0,1,2,2,1.6666666666666667,1
24,top5_peeq,3,N24_A08_block_interleaved_quarters,block_interleaved,engineering_baseline,0.0006247397857350734,0.15462736785411835,584995648.0,14,3,10,9.0,14
24,top5_peeq,4,N24_A02_odd_even_interlaced,odd_even,engineering_baseline,8.360300034837564e-05,0.15498611330986023,586226112.0,2,4,11,5.666666666666667,2
24,top5_peeq,5,N24_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,proxy_fallback_policy,0.0002316626496394747,0.16216421127319336,581204672.0,5,5,1,3.6666666666666665,5
24,top5_surfaceT,1,N24_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,proxy_fallback_policy,0.0002316626496394747,0.16216421127319336,581204672.0,5,5,1,3.6666666666666665,5
24,top5_surfaceT,2,N24_A04_method_c_u2_first_engineering,method_c,engineering_baseline,5.621172385872342e-05,0.15437763929367065,581727232.0,1,2,2,1.6666666666666667,1
24,top5_surfaceT,3,N24_A09_center_edge_alternating,center_edge,engineering_baseline,0.0005546370016418223,0.17539091408252716,581775744.0,13,13,3,9.666666666666666,13
24,top5_surfaceT,4,N24_A12_graph_pointer_policy_diverse_02,graph_pointer_proxy,proxy_fallback_policy,0.0005429062013035946,0.16415530443191528,583079232.0,11,9,4,8.0,11
24,top5_surfaceT,5,N24_A14_graph_pointer_policy_u2first_proxy,graph_pointer_proxy,proxy_fallback_policy,0.00037357585802055837,0.1622905135154724,583235840.0,8,6,5,6.333333333333333,8
24,top5_simple_mean_rank,1,N24_A04_method_c_u2_first_engineering,method_c,engineering_baseline,5.621172385872342e-05,0.15437763929367065,581727232.0,1,2,2,1.6666666666666667,1
24,top5_simple_mean_rank,2,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,proxy_fallback_policy,0.00018885933013734757,0.15415936708450317,583863616.0,3,1,7,3.6666666666666665,3
24,top5_simple_mean_rank,3,N24_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,proxy_fallback_policy,0.0002316626496394747,0.16216421127319336,581204672.0,5,5,1,3.6666666666666665,5
24,top5_simple_mean_rank,4,N24_A02_odd_even_interlaced,odd_even,engineering_baseline,8.360300034837564e-05,0.15498611330986023,586226112.0,2,4,11,5.666666666666667,2
24,top5_simple_mean_rank,5,N24_A07_regular_jump_coprime,regular_jump,engineering_baseline,0.00023713416885584593,0.1627264767885208,583243392.0,6,7,6,6.333333333333333,6
24,top5_constrained_rank_key,1,N24_A04_method_c_u2_first_engineering,method_c,engineering_baseline,5.621172385872342e-05,0.15437763929367065,581727232.0,1,2,2,1.6666666666666667,1
24,top5_constrained_rank_key,2,N24_A02_odd_even_interlaced,odd_even,engineering_baseline,8.360300034837564e-05,0.15498611330986023,586226112.0,2,4,11,5.666666666666667,2
24,top5_constrained_rank_key,3,N24_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,proxy_fallback_policy,0.00018885933013734757,0.15415936708450317,583863616.0,3,1,7,3.6666666666666665,3
24,top5_constrained_rank_key,4,N24_A11_graph_pointer_policy_diverse_01,graph_pointer_proxy,proxy_fallback_policy,0.0002307547981672542,0.16373257339000702,589194880.0,4,8,14,8.666666666666666,4
24,top5_constrained_rank_key,5,N24_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,proxy_fallback_policy,0.0002316626496394747,0.16216421127319336,581204672.0,5,5,1,3.6666666666666665,5
24,worst3_u2,1,N24_A05_center_out,center_out,engineering_baseline,0.0006265991143266092,0.17296180129051208,588072192.0,15,12,13,13.333333333333334,15
24,worst3_u2,2,N24_A08_block_interleaved_quarters,block_interleaved,engineering_baseline,0.0006247397857350734,0.15462736785411835,584995648.0,14,3,10,9.0,14
24,worst3_u2,3,N24_A09_center_edge_alternating,center_edge,engineering_baseline,0.0005546370016418223,0.17539091408252716,581775744.0,13,13,3,9.666666666666666,13
24,worst3_peeq,1,N24_A01_raster_left_to_right,raster,engineering_baseline,0.0005523721708868834,0.18925029039382935,587159872.0,12,15,12,13.0,12
24,worst3_peeq,2,N24_A06_edge_in_alternating,edge_in,engineering_baseline,0.000525546938433763,0.18484757840633392,590591168.0,10,14,15,13.0,10
24,worst3_peeq,3,N24_A09_center_edge_alternating,center_edge,engineering_baseline,0.0005546370016418223,0.17539091408252716,581775744.0,13,13,3,9.666666666666666,13
24,worst3_surfaceT,1,N24_A06_edge_in_alternating,edge_in,engineering_baseline,0.000525546938433763,0.18484757840633392,590591168.0,10,14,15,13.0,10
24,worst3_surfaceT,2,N24_A11_graph_pointer_policy_diverse_01,graph_pointer_proxy,proxy_fallback_policy,0.0002307547981672542,0.16373257339000702,589194880.0,4,8,14,8.666666666666666,4
24,worst3_surfaceT,3,N24_A05_center_out,center_out,engineering_baseline,0.0006265991143266092,0.17296180129051208,588072192.0,15,12,13,13.333333333333334,15
40,top5_u2,1,N40_A04_method_c_u2_first_engineering,method_c,engineering_baseline,0.0001108189990191022,0.15395095944404602,582221504.0,1,1,2,1.3333333333333333,1
40,top5_u2,2,N40_A02_odd_even_interlaced,odd_even,engineering_baseline,0.00015956887364154682,0.15780819952487946,587307392.0,2,4,9,5.0,2
40,top5_u2,3,N40_A13_graph_pointer_policy_anti_odd_even_novelty,graph_pointer_proxy,proxy_fallback_policy,0.0006711278786042385,0.1731724888086319,581541824.0,3,10,1,4.666666666666667,3
40,top5_u2,4,N40_A03_greedy_maximin_distance,maximin,engineering_baseline,0.0006838651936504903,0.16065658628940582,585288896.0,4,5,5,4.666666666666667,4
40,top5_u2,5,N40_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,proxy_fallback_policy,0.0007608353594150685,0.15650783479213715,585921600.0,5,2,6,4.333333333333333,5
40,top5_peeq,1,N40_A04_method_c_u2_first_engineering,method_c,engineering_baseline,0.0001108189990191022,0.15395095944404602,582221504.0,1,1,2,1.3333333333333333,1
40,top5_peeq,2,N40_A10_graph_pointer_policy_zero_shot_or_proxy_best,graph_pointer_proxy,proxy_fallback_policy,0.0007608353594150685,0.15650783479213715,585921600.0,5,2,6,4.333333333333333,5
40,top5_peeq,3,N40_A08_block_interleaved_quarters,block_interleaved,engineering_baseline,0.0020561176352202892,0.1575537621974945,594139136.0,14,3,13,10.0,14
40,top5_peeq,4,N40_A02_odd_even_interlaced,odd_even,engineering_baseline,0.00015956887364154682,0.15780819952487946,587307392.0,2,4,9,5.0,2
