candidate_group,metadata_status,count,mean_u2_rank_within_n,median_u2_rank_within_n,mean_peeq_rank_within_n,median_peeq_rank_within_n,mean_surfaceT_rank_within_n,median_surfaceT_rank_within_n,top5_u2_hit_count,top5_peeq_hit_count,top5_surfaceT_hit_count,best_case_per_n_json,worst_case_per_n_json
proxy_fallback_policy,PASS_RUN09_CANDIDATE_GROUP_METADATA_READY,24,7.333333333333333,7.0,7.541666666666667,8.0,6.666666666666667,6.5,8,5,11,"{""12"": ""N12_A10_graph_pointer_policy_zero_shot_or_proxy_best"", ""16"": ""N16_A13_graph_pointer_policy_anti_odd_even_novelty"", ""24"": ""N24_A10_graph_pointer_policy_zero_shot_or_proxy_best"", ""40"": ""N40_A13_graph_pointer_policy_anti_odd_even_novelty""}","{""12"": ""N12_A12_graph_pointer_policy_diverse_02"", ""16"": ""N16_A12_graph_pointer_policy_diverse_02"", ""24"": ""N24_A12_graph_pointer_policy_diverse_02"", ""40"": ""N40_A12_graph_pointer_policy_diverse_02""}"
engineering_baseline,PASS_RUN09_CANDIDATE_GROUP_METADATA_READY,36,8.444444444444445,9.5,8.305555555555555,9.0,8.88888888888889,9.5,12,15,9,"{""12"": ""N12_A08_block_interleaved_quarters"", ""16"": ""N16_A03_greedy_maximin_distance"", ""24"": ""N24_A04_method_c_u2_first_engineering"", ""40"": ""N40_A04_method_c_u2_first_engineering""}","{""12"": ""N12_A05_center_out"", ""16"": ""N16_A05_center_out"", ""24"": ""N24_A05_center_out"", ""40"": ""N40_A07_regular_jump_coprime""}"
