n,candidate_family,candidate_source,generation_method,seed_strategy,mutation_type,mutation_distance,order_hash,priority_role,first_track,last_track,center_track_index,first_track_norm,last_track_norm,mean_jump,median_jump,max_jump,min_jump,std_jump,total_jump,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,jump_entropy,running_center_distance_mean,early_center_bias,late_center_bias,edge_early_count,center_early_count,odd_even_transition_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,candidate_id,strategy_name,order_json,order_compact,duplicate_of_existing_teacher,is_existing_teacher_order,duplicate_of_run18,nearest_existing_teacher_strategy,novelty_distance_to_combined108,nearest_existing_teacher_distance,pred_reward_ET_F01,pred_reward_Ridge_F03,pred_reward_Ridge_F06,pred_reward_ET_F04,pred_reward_ET_F05,pred_u2_score,pred_peeq_score,pred_surfaceT_score,pred_mises_score,pred_uncertainty_ET_F01_std,model_prediction_mean,model_prediction_std,disagreement_ET_F01_vs_Ridge_F03,disagreement_ET_F01_vs_Ridge_F06,pred_rank_ET_F01_within_n,pred_percentile_ET_F01_within_n,pred_rank_mean_within_n,pred_percentile_mean_within_n,normalized_pred_reward_within_n,normalized_model_mean_within_n,normalized_novelty_within_n,normalized_uncertainty_within_n,normalized_disagreement_within_n,feature_space_coverage_score,disagreement_rank_std,exploitation_score,exploration_score,combined_selection_score,selection_bucket,selection_reason,shortlist_rank_within_n,shortlist_name,batch32_rank_within_n
12,known_best_mutation,combined108_known_best_mutation,reverse_segment_065,S3R19B28_N12_B01_surrogate_top,reverse_segment,0.16666666666666666,59a4564dddea3d39,top_region_local_search,1,10,5.5,0.09090909090909091,0.9090909090909091,3.1818181818181817,2,10,1,2.3671302847802793,35,0.2892561983471074,0.9090909090909091,1,1,1.6171895725927152,0.5454545454545455,0.8181818181818182,0.4545454545454546,3,0,1,0.09090909090909091,0.6,4,R23_N12_C00266,N12_R23_N12_C00266_known_best_mutation,"[1,11,9,5,7,3,2,0,4,6,8,10]",1-11-9-5-7-3-2-0-4-6-8-10,False,False,False,S3R19B28_N12_B01_surrogate_top,0.015151515151515152,0.015151515151515152,0.7507307222595823,0.3080402677752805,0.28912899021493094,0.25328314035711935,0.2599192629676317,0.7724202738598881,0.7008043174866794,0.5073012062730166,0.33788259969759393,0.09009156663303734,0.372220476714909,0.19028975427993852,0.4426904544843018,0.4616017320446513,15,0.9824780976220275,9,0.9899874843554443,0.9552540645006796,0.9701106930259997,0.030303030303030304,0.3191162436450528,0.904322294437803,0.46731266237041663,15.72768260107,0.9552540645006796,0.5950916276808385,0.5918022077514287,top_region_local_search,batch32 balanced bucket selection.,1,R23_N12_S01_top_region_local_search,1
12,known_best_mutation,combined108_known_best_mutation,reverse_segment_025,S3R19B28_N12_B01_surrogate_top,reverse_segment,0.3333333333333333,06159883e6ddc52e,top_region_local_search,1,10,5.5,0.09090909090909091,0.9090909090909091,2.8181818181818183,2,8,1,1.849726359034164,31,0.25619834710743805,0.7272727272727273,1,1,1.4911148500551858,0.5454545454545455,0.393939393939394,0.4545454545454546,1,2,1,0.09090909090909091,0.8,2,R23_N12_C00245,N12_R23_N12_C00245_known_best_mutation,"[1,5,7,9,11,3,2,0,4,6,8,10]",1-5-7-9-11-3-2-0-4-6-8-10,False,False,False,S3R19B28_N12_B02_u2_primary_top,0.015151515151515152,0.015151515151515152,0.7810377734675663,0.26756010864492763,0.2488541297787613,0.26505451355946563,0.2673143202466845,0.8399495904885481,0.7348312639601602,0.4870089457638092,0.2686183488203627,0.03807847443036909,0.3659641691394811,0.2076529646918829,0.5134776648226387,0.532183643688805,2,0.9987484355444305,20,0.9762202753441802,1.0,0.9456323367345424,0.030303030303030304,0.05395400126018334,1.0,0.5151515151515151,144.74446448828363,1.0,0.5466194925216112,0.5493378756848841,model_disagreement,batch32 balanced bucket selection.,3,R23_N12_S03_model_disagreement,2
12,known_best_mutation,combined108_known_best_mutation,reverse_segment_081,S3B20_N12_B04_surrogate_top,reverse_segment,0.16666666666666666,6e7afc0358f50959,model_disagreement,0,11,5.5,0.0,1.0,2.6363636363636362,2,10,1,2.384523099746182,29,0.23966942148760328,0.9090909090909091,2,1,1.4911148500551858,0.5454545454545455,0.7575757575757577,0.6363636363636364,2,1,3,0.2727272727272727,0.8,2,R23_N12_C00090,N12_R23_N12_C00090_known_best_mutation,"[0,10,8,6,4,3,1,2,5,7,9,11]",0-10-8-6-4-3-1-2-5-7-9-11,False,False,False,S3B20_N12_B04_surrogate_top,0.045454545454545456,0.045454545454545456,0.5092473840740507,0.2770181228828784,0.2575805574567207,0.20268090700476418,0.1890888593428381,0.5480536824338673,0.514215379364419,0.39004119740588455,0.32154914154670255,0.2236508142848433,0.2871231661522504,0.11580610196092232,0.23222926119117226,0.25166682661733,239,0.7021276595744681,242,0.6983729662077597,0.5987232426646109,0.637159944955547,0.09090909090909091,1.0,0.4938898463650939,0.29239946863709243,2.8,0.5987232426646109,0.5516747276642555,0.544511222734733,uncertainty_calibration,batch32 balanced bucket selection.,4,R23_N12_S04_uncertainty_calibration,3
12,combined108_seed_mutation,combined108_known_best_mutation,swap_early_late_blocks_035,N12_A08_block_interleaved_quarters,swap_early_late_blocks,0.3333333333333333,3a2cff7d7a0ab264,top_region_local_search,8,3,5.5,0.7272727272727273,0.2727272727272727,4.2727272727272725,3,8,3,1.9112541856026035,47,0.3884297520661157,0.7272727272727273,0,2,1.3092966682370037,0.5454545454545455,0.5151515151515151,0.5151515151515151,1,2,9,0.8181818181818182,0.2,8,R23_N12_C00355,N12_R23_N12_C00355_combined108_seed_mutation,"[8,11,6,9,1,4,7,10,2,5,0,3]",8-11-6-9-1-4-7-10-2-5-0-3,False,False,False,S3B20_N12_B03_method_c_inspired,0.48484848484848486,0.48484848484848486,0.3994155350869574,0.26244032096657455,0.24217688469968282,0.1410518469537365,0.14097532675497665,0.2443258990367019,0.6571537952869524,0.5202185916083155,0.7039126802323349,0.12363851477316512,0.2372119828923856,0.09537229929568461,0.13697521412038283,0.15723865038727455,489,0.38923654568210264,399,0.5018773466833542,0.4365653079707565,0.44187802953922634,0.9696969696969697,0.49013826170436126,0.38129204281744233,0.675494506257206,66.11323619367002,0.4365653079707565,0.5743969130034217,0.5713676136673324,diversity_coverage,batch32 balanced bucket selection.,5,R23_N12_S05_diversity_coverage,4
16,known_best_mutation,combined108_known_best_mutation,rotate_sequence_210,S3R19B28_N16_B02_u2_primary_top,rotate_sequence,1.0,e58393cf80938931,top_region_local_search,0,14,7.5,0.0,0.9333333333333333,2.6666666666666665,2,13,1,2.772884579078056,40,0.17777777777777776,0.8666666666666667,1,1,0.6998428398862386,0.5333333333333333,0.7,0.4666666666666667,3,1,2,0.13333333333333333,0.8571428571428571,2,R23_N16_C00233,N16_R23_N16_C00233_known_best_mutation,"[0,1,3,5,7,9,11,13,15,2,4,6,8,10,12,14]",0-1-3-5-7-9-11-13-15-2-4-6-8-10-12-14,False,False,False,N16_A03_greedy_maximin_distance,0.15,0.15,0.7198210527139253,0.3436677584097678,0.32459193327155444,0.24944260533792836,0.2523899753757244,0.8203360386512369,0.6300340628862071,0.37718208644035767,0.36905410773237507,0.09595258392917495,0.37798266502178,0.17503007569480147,0.37615329430415745,0.3952291194423708,109,0.8871473354231975,2,0.9989550679205852,0.9199715975238529,0.9757255486043067,0.3,0.36004292991815334,0.7979596831118889,0.5489798415559445,114.95459973398194,0.9199715975238529,0.6569927578921366,0.6481044646175158,top_region_local_search,batch32 balanced bucket selection.,1,R23_N16_S01_top_region_local_search,1
16,teacher_best_local_search,combined108_known_best_mutation,swap_two_positions_088,S3R19B28_N16_B04_method_c_inspired,swap_two_positions,0.125,7b1f9abab4fd9007,diversity,0,15,7.5,0.0,1.0,2.7333333333333334,2,6,1,1.4817407180595246,41,0.18222222222222223,0.4,1,0,1.4256051990169438,0.5333333333333333,0.6,0.5666666666666667,2,2,1,0.06666666666666667,0.8571428571428571,2,R23_N16_C00314,N16_R23_N16_C00314_teacher_best_local_search,"[0,2,4,6,8,14,12,10,9,5,3,1,7,11,13,15]",0-2-4-6-8-14-12-10-9-5-3-1-7-11-13-15,False,False,False,S3R19B28_N16_B04_method_c_inspired,0.025,0.025,0.7714557205189702,0.22503808410532927,0.20699001493573632,0.2671656924022786,0.2672484390010545,0.8372174076462023,0.8087906199248777,0.37818703542028764,0.21251432759598995,0.037428265083309716,0.34757959019267376,0.21324742064329458,0.5464176364136408,0.5644657055832338,5,0.9958202716823407,181,0.8119122257053292,0.9967159466524972,0.8614468996885399,0.05,0.09560233209218295,1.0,0.525,313.06421066611875,0.9967159466524972,0.5261992262938526,0.5331268813094256,model_disagreement,batch32 balanced bucket selection.,3,R23_N16_S03_model_disagreement,2
16,known_best_mutation,combined108_known_best_mutation,swap_early_late_blocks_059,S3B20_N16_B05_surrogate_top,swap_early_late_blocks,0.25,6f7864c0c7e0a04d,tradeoff,0,15,7.5,0.0,1.0,2.7333333333333334,2,6,1,1.3888444437333105,41,0.18222222222222223,0.4,1,0,1.6402239289418519,0.5333333333333333,0.6666666666666666,0.6,3,1,5,0.3333333333333333,0.8571428571428571,2,R23_N16_C00645,N16_R23_N16_C00645_known_best_mutation,"[0,2,3,5,8,14,12,10,7,1,4,6,9,11,13,15]",0-2-3-5-8-14-12-10-7-1-4-6-9-11-13-15,False,False,False,S3B20_N16_B04_surrogate_top,0.225,0.225,0.46498090949423027,0.2699949765839535,0.25072221873048384,0.15921739350523836,0.15577465691228073,0.5091874929455299,0.501057888536667,0.3714276109665716,0.27707315071829924,0.23758383088991486,0.26013803104523736,0.11244830873789441,0.19498593291027677,0.21425869076374643,503,0.47544409613375127,528,0.44932079414838033,0.541203964175486,0.5327728002882169,0.45,1.0,0.4671140933820883,0.45855704669104413,109.53100017803179,0.541203964175486,0.5956762341226001,0.5923932987772935,uncertainty_calibration,batch32 balanced bucket selection.,4,R23_N16_S04_uncertainty_calibration,3
16,known_best_mutation,combined108_known_best_mutation,swap_early_late_blocks_203,S3R19B28_N16_B01_surrogate_top,swap_early_late_blocks,0.25,fdcb8720ecd084d8,diversity,13,2,7.5,0.8666666666666667,0.13333333333333333,3.933333333333333,2,11,1,3.2957885584822066,59,0.2622222222222222,0.7333333333333333,1,3,1.8716022614097982,0.5333333333333333,0.6,0.6,2,2,3,0.2,0.5714285714285714,6,R23_N16_C00607,N16_R23_N16_C00607_known_best_mutation,"[13,15,4,6,10,12,14,8,7,5,3,1,9,11,0,2]",13-15-4-6-10-12-14-8-7-5-3-1-9-11-0-2,False,False,False,S3R19B28_N16_B01_surrogate_top,0.43333333333333335,0.43333333333333335,0.5537552301757586,0.24779408683546011,0.2314690553439548,0.21850189929443004,0.20992701213407816,0.5486792891841578,0.448896308970335,0.6657347836672587,0.28196732417513937,0.19172015150442787,0.29228945675673634,0.1313556133269714,0.30596114334029845,0.3222861748318038,383,0.6008359456635319,412,0.5705329153605015,0.673148794066999,0.6536231258450335,0.8666666666666667,0.7927661691007672,0.5670696977241889,0.7168681821954278,62.61118111008608,0.673148794066999,0.7217296054834619,0.7174019340774197,diversity_coverage,batch32 balanced bucket selection.,5,R23_N16_S05_diversity_coverage,4
24,known_best_mutation,combined108_known_best_mutation,reverse_segment_305,S3B20_N24_B04_surrogate_top,reverse_segment,0.25,d5d7a577aae2fbbb,top_region_local_search,0,19,11.5,0.0,0.8260869565217391,3.0869565217391304,2,14,1,3.1884716725737574,71,0.1342155009451796,0.6086956521739131,1,2,1.0144044449514424,0.5217391304347826,0.6956521739130435,0.5652173913043478,4,2,1,0.043478260869565216,0.7727272727272727,5,R23_N24_C00969,N24_R23_N24_C00969_known_best_mutation,"[0,2,4,6,8,22,20,18,16,14,12,10,11,9,7,5,3,1,13,15,17,23,21,19]",0-2-4-6-8-22-20-18-16-14-12-10-11-9-7-5-3-1-13-15-17-23-21-19,False,False,False,S3B20_N24_B04_surrogate_top,0.07608695652173914,0.07608695652173914,0.7375660211890794,0.3533754026536001,0.3345983279249893,0.266524768644835,0.26836282725810934,0.7776215329919294,0.7075053759142964,0.5545467935239031,0.2520399777960173,0.0789369018801653,0.3920854695341226,0.17620035988593433,0.3841906185354793,0.40296769326409015,79,0.9730290456431535,1,1.0,0.9644891507576806,1.0,0.1640625,0.2652722755093146,0.8498283602361587,0.5069454301180794,69.838098484996,0.9644891507576806,0.6215443341372867,0.6140357521490947,top_region_local_search,batch32 balanced bucket selection.,1,R23_N24_S01_top_region_local_search,1
24,known_best_mutation,combined108_known_best_mutation,parity_preserving_swap_188,S3R19B28_N24_B06_uncertainty_calibration,parity_preserving_swap,0.08333333333333333,5e8f606e284ef168,diversity,11,22,11.5,0.4782608695652174,0.9565217391304348,6.6521739130434785,2,20,1,5.715035057537678,153,0.2892249527410208,0.8695652173913043,1,5,2.3144908557451114,0.5217391304347826,0.34782608695652173,0.47826086956521735,1,5,1,0.043478260869565216,0.5454545454545454,10,R23_N24_C00672,N24_R23_N24_C00672_known_best_mutation,"[11,21,7,17,9,13,23,3,19,5,15,1,0,2,4,6,8,10,12,14,16,18,20,22]",11-21-7-17-9-13-23-3-19-5-15-1-0-2-4-6-8-10-12-14-16-18-20-22,False,False,False,S3R19B28_N24_B06_uncertainty_calibration,0.018115942028985508,0.018115942028985508,0.7334367648075067,0.2107249922912925,0.19429276103616278,0.246096552790097,0.24066423310868526,0.6969857905296414,0.7831572046058257,0.7268842962086683,0.3446919956536525,0.09392569247288846,0.32504306080674883,0.2050863314989003,0.5227117725162143,0.539144003771344,95,0.9674965421853389,1162,0.5985477178423236,0.9581044666603794,0.7756349851470542,0.0390625,0.3325556828613448,1.0,0.51953125,804.6371604642679,0.9581044666603794,0.5365307556310907,0.547749006373738,model_disagreement,batch32 balanced bucket selection.,6,R23_N24_S06_model_disagreement,2
