command_index,n,strategy_name,case_dir,inp_path,inp_exists,odb_exists,sim_exists,sta_exists,dat_exists,msg_exists,lck_exists,sta_success_marker,failure_keywords,sta_tail,msg_tail,dat_tail,status
14,16,PPOV01_N16_B06_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N16_PPOV01_N16_B06_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N16_PPOV01_N16_B06_diverse_tophalf\J2D_PPOV01_N16_B06_diverse_tophalf.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
15,16,PPOV01_N16_B07_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N16_PPOV01_N16_B07_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N16_PPOV01_N16_B07_novelty_tophalf\J2D_PPOV01_N16_B07_novelty_tophalf.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
16,16,PPOV01_N16_B08_stochastic_highreward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N16_PPOV01_N16_B08_stochastic_highreward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N16_PPOV01_N16_B08_stochastic_highreward\J2D_PPOV01_N16_B08_stochastic_highreward.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
17,24,PPOV01_N24_B01_deterministic,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B01_deterministic,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B01_deterministic\J2D_PPOV01_N24_B01_deterministic.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
18,24,PPOV01_N24_B02_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B02_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B02_surrogate_top\J2D_PPOV01_N24_B02_surrogate_top.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
19,24,PPOV01_N24_B03_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B03_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B03_surrogate_top\J2D_PPOV01_N24_B03_surrogate_top.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
20,24,PPOV01_N24_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B04_surrogate_top\J2D_PPOV01_N24_B04_surrogate_top.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
21,24,PPOV01_N24_B05_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B05_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B05_diverse_tophalf\J2D_PPOV01_N24_B05_diverse_tophalf.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
22,24,PPOV01_N24_B06_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B06_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B06_diverse_tophalf\J2D_PPOV01_N24_B06_diverse_tophalf.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
23,24,PPOV01_N24_B07_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B07_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B07_novelty_tophalf\J2D_PPOV01_N24_B07_novelty_tophalf.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
24,24,PPOV01_N24_B08_stochastic_highreward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B08_stochastic_highreward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N24_PPOV01_N24_B08_stochastic_highreward\J2D_PPOV01_N24_B08_stochastic_highreward.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
25,40,PPOV01_N40_B01_deterministic,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B01_deterministic,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B01_deterministic\J2D_PPOV01_N40_B01_deterministic.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
26,40,PPOV01_N40_B02_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B02_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B02_surrogate_top\J2D_PPOV01_N40_B02_surrogate_top.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
27,40,PPOV01_N40_B03_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B03_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B03_surrogate_top\J2D_PPOV01_N40_B03_surrogate_top.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
28,40,PPOV01_N40_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B04_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B04_surrogate_top\J2D_PPOV01_N40_B04_surrogate_top.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
29,40,PPOV01_N40_B05_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B05_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B05_diverse_tophalf\J2D_PPOV01_N40_B05_diverse_tophalf.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
30,40,PPOV01_N40_B06_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B06_diverse_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B06_diverse_tophalf\J2D_PPOV01_N40_B06_diverse_tophalf.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
31,40,PPOV01_N40_B07_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B07_novelty_tophalf,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B07_novelty_tophalf\J2D_PPOV01_N40_B07_novelty_tophalf.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
32,40,PPOV01_N40_B08_stochastic_highreward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B08_stochastic_highreward,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_ppo_policy_only_batch32_v01\N40_PPOV01_N40_B08_stochastic_highreward\J2D_PPOV01_N40_B08_stochastic_highreward.inp,True,False,False,False,False,False,False,False,,,,,NOT_STARTED_OR_QUEUED
