n,selected_count,mean_abs_jump_mean,max_abs_jump_mean,adjacent_jump_fraction_mean,parity_switch_fraction_mean,early_center_bias_mean,early_edge_bias_mean
12,8,3.4772727272727275,9.25,0.0,0.09090909090909091,0.7575757575757577,0.24242424242424243
16,8,3.6666666666666665,12.0,0.0,0.06666666666666667,0.7000000000000001,0.3
24,8,4.673913043478261,13.25,0.0,0.08695652173913043,0.6340579710144928,0.36594202898550726
40,8,7.17948717948718,23.125,0.0,0.07692307692307693,0.5602564102564103,0.43974358974358974
