n,candidate_family,candidate_source,generation_method,seed_strategy,mutation_type,mutation_distance,order_hash,priority_role,first_track,last_track,center_track_index,first_track_norm,last_track_norm,mean_jump,median_jump,max_jump,min_jump,std_jump,total_jump,normalized_mean_jump,normalized_max_jump,adjacent_jump_count,long_jump_count,jump_entropy,running_center_distance_mean,early_center_bias,late_center_bias,edge_early_count,center_early_count,odd_even_transition_count,parity_switch_rate,monotonicity_fraction,direction_reversal_count,candidate_id,strategy_name,order_json,order_compact,is_existing_teacher_order,duplicate_of_run12,nearest_existing_teacher_strategy,novelty_distance_to_combined80,pred_reward_combined80_u2_primary,pred_u2_score_combined80_rank,pred_peeq_score_combined80_rank,pred_surfaceT_score_combined80_rank,pred_mises_score_combined80_rank,pred_tree_mean,pred_uncertainty_std,pred_rank_within_n,pred_percentile_within_n,normalized_pred_reward_within_n,normalized_novelty_within_n,normalized_uncertainty_within_n,exploitation_score,exploration_score,combined_selection_score,selection_bucket,selection_reason,shortlist_rank_within_n,shortlist_name,batch28_rank_within_n
24,regular_jump_coprime,regular_jump_sweep,regular_jump_start2_jump11_dir-1,,,,d3a53772d5f34db6,exploitation,2,13,11.5,0.08695652173913043,0.5652173913043478,11.956521739130435,11,13,11,0.9990543733109615,275,0.5198487712665407,0.5652173913043478,0,11,0.9986359641585718,0.5217391304347826,0.5652173913043478,0.5072463768115941,3,3,23,1.0,0.09090909090909091,20,R18_N24_C00495,N24_R18_N24_C00495_regular_jump_coprime,"[2,15,4,17,6,19,8,21,10,23,12,1,14,3,16,5,18,7,20,9,22,11,0,13]",2-15-4-17-6-19-8-21-10-23-12-1-14-3-16-5-18-7-20-9-22-11-0-13,False,False,N24_A02_odd_even_interlaced,0.4057971014492754,0.46489707739927627,0.4153975729401721,0.5969619275615897,0.4872887409743537,0.8087977669398103,0.4648970773992756,0.13214442723832334,1073,0.48952380952380947,0.4675793542167418,0.8358208955223881,0.41588050853198255,0.4675793542167418,0.5492999704062016,0.5150607585598749,geometry_signal_top,batch28 balanced bucket selection.,7,R18_N24_S07_geometry_signal_top,3
24,known_best_mutation,combined80_known_best_mutation,seed_crossover_205,S3B20_N24_B02_diversity_top,seed_crossover,0.16666666666666666,ab92e12a269eefca,exploitation,3,1,11.5,0.13043478260869565,0.043478260869565216,3.739130434782609,2,23,2,4.918619383034296,86,0.16257088846880907,1.0,0,2,0.7653636126766978,0.5217391304347826,0.34782608695652173,0.6231884057971014,2,4,2,0.08695652173913043,0.8636363636363636,3,R18_N24_C01123,N24_R18_N24_C01123_known_best_mutation,"[3,5,7,9,11,13,15,17,19,21,23,0,2,4,6,8,10,12,22,20,18,16,14,1]",3-5-7-9-11-13-15-17-19-21-23-0-2-4-6-8-10-12-22-20-18-16-14-1,False,False,S3B20_N24_B02_diversity_top,0.036231884057971016,0.8334242950575794,0.9013134024150387,0.7326252718751286,0.63145946700982,0.5313246842399811,0.8334242950575791,0.05709240001825852,5,0.9980952380952381,0.9982184361056038,0.0746268656716418,0.12733989322432643,0.9982184361056038,0.5931448349208579,0.7290479191083179,method_c_or_known_best_inspired,batch28 balanced bucket selection.,10,R18_N24_S10_method_c_or_known_best_inspired,4
24,known_best_mutation,combined80_known_best_mutation,swap_early_late_blocks_131,S3B20_N24_B01_surrogate_top,swap_early_late_blocks,0.3333333333333333,e930ae09f58cc941,diversity,17,6,11.5,0.7391304347826086,0.2608695652173913,3.9565217391304346,2,15,2,4.348695565234778,91,0.1720226843100189,0.6521739130434783,0,3,0.9274479232123118,0.5217391304347826,0.5652173913043478,0.5652173913043478,3,3,3,0.13043478260869565,0.7272727272727273,6,R18_N24_C01735,N24_R18_N24_C01735_known_best_mutation,"[17,19,21,23,8,10,12,22,20,18,16,14,1,3,5,7,9,11,13,15,0,2,4,6]",17-19-21-23-8-10-12-22-20-18-16-14-1-3-5-7-9-11-13-15-0-2-4-6,False,False,N24_A13_graph_pointer_policy_anti_odd_even_novelty,0.47101449275362317,0.6030267515360568,0.5884163116407525,0.6327515199225725,0.6555053182352452,0.4798248710685574,0.6030267515360564,0.22695743052164807,695,0.6695238095238095,0.6664710505513923,0.9701492537313433,0.7803930116562614,0.6664710505513923,0.7651749935673539,0.7291110751941152,diversity_top,batch28 balanced bucket selection.,12,R18_N24_S12_diversity_top,5
24,regular_jump_non_coprime,regular_jump_sweep,regular_jump_start11_jump10_dir1,,,,f868aca20195ed3a,sentinel,11,22,11.5,0.4782608695652174,0.9565217391304348,6.6521739130434785,2,14,1,5.138166613070006,153,0.2892249527410208,0.6086956521739131,1,5,1.6899461611103166,0.5217391304347826,0.43478260869565216,0.47826086956521735,2,4,1,0.043478260869565216,0.5454545454545454,10,R18_N24_C00465,N24_R18_N24_C00465_regular_jump_non_coprime,"[11,21,7,17,3,13,23,9,19,5,15,1,0,2,4,6,8,10,12,14,16,18,20,22]",11-21-7-17-3-13-23-9-19-5-15-1-0-2-4-6-8-10-12-14-16-18-20-22,False,False,S3B20_N24_B02_diversity_top,0.14492753623188406,0.4886829063971227,0.4676375633355836,0.6358474933773592,0.5974838295743685,0.547815759040653,0.4886829063971226,0.28407919706850615,945,0.5504761904761905,0.5018283590570993,0.2985074626865672,1.0,0.5018283590570993,0.5506324631530464,0.5460559707429546,uncertainty_calibration,batch28 balanced bucket selection.,14,R18_N24_S14_uncertainty_calibration,6
24,regular_jump_coprime,regular_jump_sweep,regular_jump_start20_jump7_dir-1,,,,0c9eaa96b519ed0c,exploitation,20,3,11.5,0.8695652173913043,0.13043478260869565,9.608695652173912,7,17,7,4.391089103635686,221,0.4177693761814744,0.7391304347826086,0,6,0.828055725379504,0.5217391304347826,0.49275362318840576,0.49275362318840576,2,4,23,1.0,0.45454545454545453,12,R18_N24_C00340,N24_R18_N24_C00340_regular_jump_coprime,"[20,13,6,23,16,9,2,19,12,5,22,15,8,1,18,11,4,21,14,7,0,17,10,3]",20-13-6-23-16-9-2-19-12-5-22-15-8-1-18-11-4-21-14-7-0-17-10-3,False,False,N24_A08_block_interleaved_quarters,0.4855072463768116,0.3091989497642632,0.17938718323586753,0.4328681192198332,0.6844104365895196,0.6914731483742161,0.30919894976426315,0.12936786951150564,1669,0.20571428571428574,0.24339099704453793,1.0,0.4052059177899616,0.24339099704453793,0.4649062319324882,0.38115458559967075,negative_control_sentinel,batch28 balanced bucket selection.,16,R18_N24_S16_negative_control_sentinel,7
24,known_best_mutation,combined80_known_best_mutation,swap_early_late_blocks_067,S3B20_N24_B02_diversity_top,swap_early_late_blocks,0.3333333333333333,f1233028e9f67703,diversity,16,1,11.5,0.6956521739130435,0.043478260869565216,3.9565217391304346,2,23,2,4.894346879815752,91,0.1720226843100189,1.0,0,1,0.9274479232123118,0.5217391304347826,0.463768115942029,0.5072463768115941,3,3,3,0.13043478260869565,0.6818181818181818,7,R18_N24_C01029,N24_R18_N24_C01029_known_best_mutation,"[16,18,20,22,11,13,15,17,19,21,23,0,2,4,6,8,10,12,14,3,5,7,9,1]",16-18-20-22-11-13-15-17-19-21-23-0-2-4-6-8-10-12-14-3-5-7-9-1,False,False,N24_A04_method_c_u2_first_engineering,0.4492753623188406,0.6294687350064118,0.6308595828088688,0.6128058625098097,0.6558548694828122,0.515183991275323,0.6294687350064118,0.2163618875172687,651,0.6904761904761905,0.7045446287288372,0.9253731343283582,0.7396580094019184,0.7045446287288372,0.7667744312633337,0.7429359116697275,batch_fill,batch28 fill by combined selection score.,13,R18_N24_S13_diversity_top,8
24,known_best_mutation,combined80_known_best_mutation,rotate_sequence_274,S3B20_N24_B01_surrogate_top,rotate_sequence,1.0,ff4a2ca726ec276c,diversity,2,0,11.5,0.08695652173913043,0.0,3.739130434782609,2,23,2,4.918619383034296,86,0.16257088846880907,1.0,0,2,0.7653636126766978,0.5217391304347826,0.4057971014492754,0.7101449275362319,2,4,2,0.08695652173913043,0.8636363636363636,3,R18_N24_C01817,N24_R18_N24_C01817_known_best_mutation,"[2,4,6,8,10,12,22,20,18,16,14,1,3,5,7,9,11,13,15,17,19,21,23,0]",2-4-6-8-10-12-22-20-18-16-14-1-3-5-7-9-11-13-15-17-19-21-23-0,False,False,S3B20_N24_B01_surrogate_top,0.08333333333333333,0.8346615857274359,0.9026654190989053,0.7308708859102163,0.6360137321803779,0.5340293626025543,0.8346615857274355,0.05311782246862869,2,0.9995238095238095,1.0,0.17164179104477612,0.1120594658429913,1.0,0.6153223409297923,0.742555188533165,batch_fill,batch28 fill by combined selection score.,2,R18_N24_S02_surrogate_top,9
24,known_best_mutation,combined80_known_best_mutation,reverse_segment_137,S3B20_N24_B04_surrogate_top,reverse_segment,0.25,18768954906ed35e,exploitation,0,1,11.5,0.0,0.043478260869565216,3.608695652173913,2,16,2,3.807762442749794,83,0.15689981096408318,0.6956521739130435,0,2,1.0144044449514424,0.5217391304347826,0.5652173913043478,0.608695652173913,3,3,1,0.043478260869565216,0.8636363636363636,3,R18_N24_C00861,N24_R18_N24_C00861_known_best_mutation,"[0,2,4,6,8,10,12,14,16,18,20,22,11,9,7,5,3,19,21,23,17,15,13,1]",0-2-4-6-8-10-12-14-16-18-20-22-11-9-7-5-3-19-21-23-17-15-13-1,False,False,N24_A04_method_c_u2_first_engineering,0.06521739130434782,0.83392072968107,0.895159675176543,0.7703453273009592,0.624961913050971,0.43053284563733535,0.8339207296810696,0.05816725009820782,3,0.9990476190476191,0.9989332479300892,0.13432835820895522,0.13147219870519877,0.9989332479300892,0.6092898156548276,0.7391233570881854,batch_fill,batch28 fill by combined selection score.,3,R18_N24_S03_surrogate_top,10
40,known_best_mutation,combined80_known_best_mutation,reverse_segment_009,S3B20_N40_B02_diversity_top,reverse_segment,0.1,aaf186300ff761a7,exploitation,1,3,19.5,0.02564102564102564,0.07692307692307693,3.8461538461538463,2,39,2,6.635330693509465,150,0.09861932938856016,1.0,0,2,0.6821995113475348,0.5128205128205129,0.5333333333333333,0.4564102564102564,5,5,2,0.05128205128205128,0.9210526315789473,3,R18_N40_C01795,N40_R18_N40_C01795_known_best_mutation,"[1,21,23,25,27,29,31,33,35,37,39,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,38,36,34,32,19,17,15,13,11,9,7,5,3]",1-21-23-25-27-29-31-33-35-37-39-0-2-4-6-8-10-12-14-16-18-20-22-24-26-28-30-38-36-34-32-19-17-15-13-11-9-7-5-3,False,False,S3B20_N40_B02_diversity_top,0.007692307692307693,0.8514641979123286,0.9163562910248619,0.7859110624769983,0.6212112145758286,0.5203261296147816,0.8514641979123281,0.035509035141857,1,1.0,1.0,0.015384615384615385,0.06400811642267445,1.0,0.5666477771306888,0.7119089097710934,surrogate_top,batch28 balanced bucket selection.,1,R18_N40_S01_surrogate_top,1
40,known_best_mutation,combined80_known_best_mutation,seed_crossover_301,S3B20_N40_B05_surrogate_top,seed_crossover,0.525,15819cd97ca505dd,exploitation,0,3,19.5,0.0,0.07692307692307693,3.717948717948718,2,35,1,6.380855653371656,145,0.09533201840894148,0.8974358974358975,1,2,0.6821995113475348,0.5128205128205129,0.5384615384615385,0.4871794871794871,5,5,3,0.07692307692307693,0.9210526315789473,3,R18_N40_C02227,N40_R18_N40_C02227_known_best_mutation,"[0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,1,21,23,25,27,29,31,33,35,37,39,38,19,17,15,13,11,9,7,5,3]",0-2-4-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-1-21-23-25-27-29-31-33-35-37-39-38-19-17-15-13-11-9-7-5-3,False,False,N40_A04_method_c_u2_first_engineering,0.14102564102564102,0.8352921770206385,0.9112226468835914,0.7622852854730187,0.5819369067350896,0.4901933165214423,0.835292177020638,0.0714035979006012,15,0.9953871499176277,0.9771216367115181,0.28205128205128205,0.1968056594732891,0.9771216367115181,0.6472908525988134,0.7558136869267482,U2_primary_top,batch28 balanced bucket selection.,5,R18_N40_S05_U2_primary_top,2
