n,dataset,count,family_counts_json,bucket_counts_json,pred_reward_mean,pred_reward_max,pred_reward_min,novelty_mean,uncertainty_mean
12,unscored,1000,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""combined80_seed_mutation"": 81, ""diversity_random"": 56, ""edge_in"": 1, ""geometry_signal_center_bias"": 22, ""geometry_signal_edge_bias"": 19, ""geometry_signal_edge_center"": 1, ""geometry_signal_high_jump"": 56, ""geometry_signal_parity_switch"": 56, ""known_best_mutation"": 504, ""maximin"": 1, ""method_c_inspired"": 5, ""negative_control_low_adjacent"": 56, ""odd_even"": 1, ""raster"": 2, ""regular_jump_coprime"": 45, ""regular_jump_non_coprime"": 81, ""surrogate_topology_crossover"": 10}","{"""": 1000}",nan,,,0.2011363636363636,nan
12,scored,1000,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""combined80_seed_mutation"": 81, ""diversity_random"": 56, ""edge_in"": 1, ""geometry_signal_center_bias"": 22, ""geometry_signal_edge_bias"": 19, ""geometry_signal_edge_center"": 1, ""geometry_signal_high_jump"": 56, ""geometry_signal_parity_switch"": 56, ""known_best_mutation"": 504, ""maximin"": 1, ""method_c_inspired"": 5, ""negative_control_low_adjacent"": 56, ""odd_even"": 1, ""raster"": 2, ""regular_jump_coprime"": 45, ""regular_jump_non_coprime"": 81, ""surrogate_topology_crossover"": 10}","{"""": 1000}",0.42699804396314023,0.7767946480121407,0.12339300523218988,0.2011363636363636,0.12570887328956962
12,shortlist48,8,"{""known_best_mutation"": 8}","{""U2_primary_top"": 1, ""diversity_top"": 1, ""geometry_signal_top"": 1, ""method_c_or_known_best_inspired"": 1, ""negative_control_sentinel"": 1, ""surrogate_top"": 2, ""uncertainty_calibration"": 1}",0.6011152422329586,0.7767946480121407,0.27293564590803165,0.16856060606060608,0.12251647588809822
12,batch28,4,"{""known_best_mutation"": 4}","{""U2_primary_top"": 1, ""geometry_signal_top"": 1, ""method_c_or_known_best_inspired"": 1, ""surrogate_top"": 1}",0.6856134014992993,0.7767946480121407,0.4897740204749237,0.07954545454545454,0.07769606846875682
16,unscored,1166,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""combined80_seed_mutation"": 198, ""edge_in"": 1, ""known_best_mutation"": 719, ""maximin"": 1, ""method_c_inspired"": 5, ""odd_even"": 1, ""raster"": 2, ""regular_jump_coprime"": 125, ""regular_jump_non_coprime"": 111}","{"""": 1166}",nan,,,0.16493710691823898,nan
16,scored,1166,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""combined80_seed_mutation"": 198, ""edge_in"": 1, ""known_best_mutation"": 719, ""maximin"": 1, ""method_c_inspired"": 5, ""odd_even"": 1, ""raster"": 2, ""regular_jump_coprime"": 125, ""regular_jump_non_coprime"": 111}","{"""": 1166}",0.5014488093118848,0.7837953306452194,0.11896284983291579,0.16493710691823898,0.1330843205636539
16,shortlist48,8,"{""known_best_mutation"": 4, ""raster"": 1, ""regular_jump_coprime"": 1, ""regular_jump_non_coprime"": 2}","{""U2_primary_top"": 1, ""diversity_top"": 1, ""geometry_signal_top"": 1, ""method_c_or_known_best_inspired"": 1, ""negative_control_sentinel"": 1, ""surrogate_top"": 2, ""uncertainty_calibration"": 1}",0.6187160563213003,0.7837953306452194,0.21463642178362605,0.175,0.10479710067015652
16,batch28,4,"{""known_best_mutation"": 2, ""regular_jump_coprime"": 1, ""regular_jump_non_coprime"": 1}","{""U2_primary_top"": 1, ""geometry_signal_top"": 1, ""method_c_or_known_best_inspired"": 1, ""surrogate_top"": 1}",0.7037996500911543,0.7837953306452194,0.48155024139479785,0.09583333333333334,0.05187611674378831
24,unscored,2101,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""combined80_seed_mutation"": 207, ""edge_in"": 1, ""known_best_mutation"": 1333, ""maximin"": 1, ""method_c_inspired"": 5, ""odd_even"": 1, ""raster"": 2, ""regular_jump_coprime"": 189, ""regular_jump_non_coprime"": 359}","{"""": 2101}",nan,,,0.15426401506528983,nan
24,scored,2101,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""combined80_seed_mutation"": 207, ""edge_in"": 1, ""known_best_mutation"": 1333, ""maximin"": 1, ""method_c_inspired"": 5, ""odd_even"": 1, ""raster"": 2, ""regular_jump_coprime"": 189, ""regular_jump_non_coprime"": 359}","{"""": 2101}",0.5026703644845456,0.8346615857274359,0.14016464753265717,0.15426401506528983,0.1321758337449261
24,shortlist48,16,"{""known_best_mutation"": 10, ""regular_jump_coprime"": 4, ""regular_jump_non_coprime"": 2}","{""U2_primary_top"": 2, ""diversity_top"": 2, ""geometry_signal_top"": 3, ""method_c_or_known_best_inspired"": 2, ""negative_control_sentinel"": 1, ""surrogate_top"": 4, ""uncertainty_calibration"": 2}",0.6593956950756624,0.8346615857274359,0.3091989497642632,0.18546195652173914,0.12497250410554127
24,batch28,10,"{""known_best_mutation"": 7, ""regular_jump_coprime"": 2, ""regular_jump_non_coprime"": 1}","{""U2_primary_top"": 1, ""batch_fill"": 3, ""diversity_top"": 1, ""geometry_signal_top"": 1, ""method_c_or_known_best_inspired"": 1, ""negative_control_sentinel"": 1, ""surrogate_top"": 1, ""uncertainty_calibration"": 1}",0.6664047466909787,0.8346615857274359,0.3091989497642632,0.22282608695652173,0.12684355636303318
40,unscored,3036,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""edge_in"": 1, ""known_best_mutation"": 1467, ""maximin"": 1, ""method_c_inspired"": 5, ""odd_even"": 1, ""raster"": 2, ""regular_jump_coprime"": 637, ""regular_jump_non_coprime"": 919}","{"""": 3036}",nan,,,0.19503690753690753,nan
40,scored,3036,"{""block_interleaved"": 1, ""center_edge"": 1, ""center_out"": 1, ""edge_in"": 1, ""known_best_mutation"": 1467, ""maximin"": 1, ""method_c_inspired"": 5, ""odd_even"": 1, ""raster"": 2, ""regular_jump_coprime"": 637, ""regular_jump_non_coprime"": 919}","{"""": 3036}",0.4970649617444668,0.8514641979123286,0.1445945373613958,0.19503690753690753,0.14811383109383414
40,shortlist48,16,"{""known_best_mutation"": 8, ""regular_jump_coprime"": 6, ""regular_jump_non_coprime"": 2}","{""U2_primary_top"": 2, ""diversity_top"": 2, ""geometry_signal_top"": 3, ""method_c_or_known_best_inspired"": 2, ""negative_control_sentinel"": 1, ""surrogate_top"": 4, ""uncertainty_calibration"": 2}",0.6385833497377649,0.8514641979123286,0.2967600292160324,0.23181089743589745,0.11737212590223867
40,batch28,10,"{""known_best_mutation"": 6, ""regular_jump_coprime"": 3, ""regular_jump_non_coprime"": 1}","{""U2_primary_top"": 1, ""batch_fill"": 3, ""diversity_top"": 1, ""geometry_signal_top"": 1, ""method_c_or_known_best_inspired"": 1, ""negative_control_sentinel"": 1, ""surrogate_top"": 1, ""uncertainty_calibration"": 1}",0.6732291164005411,0.8514641979123286,0.2967600292160324,0.24333333333333335,0.104207145635242
