run_id,batch_option,batch_name,n,handoff_strategy_name,original_run73_candidate_id,original_run73_strategy_name,candidate_source,generation_method,selection_bucket,priority_role,surrogate_prediction,N12_final_diagnostic_prediction,N16_final_diagnostic_prediction,smallN_final_diagnostic_prediction,variable_N_bounded_prediction,N24_anchor_prediction,N40_anchor_prediction,u2_primary_prediction,constrained_reward_prediction,strict_penalty_guard_prediction,penalty_repair_prediction,gnn_reward_prediction,graph_pointer_policy_score,hybrid_score,uncertainty_score,gnn_vs_surrogate_disagreement,novelty_distance,nearest_existing_teacher_strategy,native_validation_N,final_smallN_diagnostic,smallN_recovery,variable_N_bounded,anchor_case,order_json,order_compact,order_hash,teacher_validated,teacher_validation_status,notes
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,final_smallN_diagnostic_batch32,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B11_n12_u2_safe,R73_N12_C01117,N12_R73_N12_C01117_N12_final_diag_u2_safe,N12_final_diag_u2_safe,offline_mutation_or_pointer_proxy,N12_final_diag_u2_safe,constrained_reward_balance,0.7444444444444445,0.7417694444444446,0.7417694444444446,0.7417694444444447,0.7417694444444447,0.7419512626262628,0.7420876489898992,0.7408080808080809,0.74180126489899,0.7420898989898991,0.7422285353535355,0.7164848484848485,0.7272727272727273,0.7429035353535354,0.007964499274999,0.0279595959595959,0.1666666666666666,S3R69SNR_N12_B03_n12_run66_local,True,True,True,True,False,"[11,9,5,7,3,1,0,6,2,4,8,10]",11-9-5-7-3-1-0-6-2-4-8-10,456759ca2d4a49d6,False,NOT_RUN,Run74 handoff only. Final small-N diagnostic batch32 candidate is not teacher-validated.
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,final_smallN_diagnostic_batch32,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B12_n12_run71_local,R73_N12_C01766,N12_R73_N12_C01766_N12_local_search_around_Run71_best,N12_local_search_around_Run71_best,offline_mutation_or_pointer_proxy,N12_local_search_around_Run71_best,constrained_reward_balance,0.7626190476190475,0.762073593073593,0.762073593073593,0.762073593073593,0.762073593073593,0.7621231798504525,0.7622223534041714,0.7616273120818575,0.7620884691066507,0.7622223534041715,0.7623215269578905,0.7339324675324674,0.7933884297520661,0.7623215269578905,0.0117975659179753,0.02868658008658,0.3333333333333333,S3R69SNR_N12_B16_n12_uncertainty,True,True,True,True,False,"[11,9,7,5,3,1,0,2,4,10,8,6]",11-9-7-5-3-1-0-2-4-10-8-6,ec4ebefb3a22cb53,False,NOT_RUN,Run74 handoff only. Final small-N diagnostic batch32 candidate is not teacher-validated.
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,final_smallN_diagnostic_batch32,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B13_n12_run71_local,R73_N12_C00126,N12_R73_N12_C00126_N12_local_search_around_Run71_best,N12_local_search_around_Run71_best,offline_mutation_or_pointer_proxy,N12_local_search_around_Run71_best,constrained_reward_balance,0.7338888888888889,0.731213888888889,0.731213888888889,0.731213888888889,0.731213888888889,0.7313957070707071,0.7315320934343434,0.7302525252525254,0.7312457093434346,0.7315343434343435,0.7316729797979798,0.7063515151515152,0.7272727272727273,0.7323479797979799,0.0054792247831675,0.0275373737373737,0.1666666666666666,S3R69SNR_N12_B16_n12_uncertainty,True,True,True,True,False,"[11,9,5,7,3,1,0,2,8,6,4,10]",11-9-5-7-3-1-0-2-8-6-4-10,6dee960c4fb162c7,False,NOT_RUN,Run74 handoff only. Final small-N diagnostic batch32 candidate is not teacher-validated.
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,final_smallN_diagnostic_batch32,stage3_run74_final_smallN_diagnostic_batch32_v01,12,S3R74FSD_N12_B14_n12_run71_local,R73_N12_C00083,N12_R73_N12_C00083_N12_local_search_around_Run71_best,N12_local_search_around_Run71_best,offline_mutation_or_pointer_proxy,N12_local_search_around_Run71_best,constrained_reward_balance,0.7333333333333334,0.7324242424242425,0.7324242424242425,0.7324242424242426,0.7324242424242426,0.7325068870523417,0.7326721763085401,0.73168044077135,0.7324490358126723,0.7326721763085401,0.7328374655647384,0.7058181818181819,0.7768595041322314,0.7328374655647384,0.0028994358378958,0.0275151515151514,0.1666666666666666,S3R69SNR_N12_B05_n12_penalty,True,True,True,True,False,"[5,9,11,7,3,1,0,2,4,6,8,10]",5-9-11-7-3-1-0-2-4-6-8-10,6f99d8eacf831b53,False,NOT_RUN,Run74 handoff only. Final small-N diagnostic batch32 candidate is not teacher-validated.
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,final_smallN_diagnostic_batch32,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B01_n16_penalty,R73_N16_C00420,N16_R73_N16_C00420_N16_final_diag_penalty_aware,N16_final_diag_penalty_aware,offline_mutation_or_pointer_proxy,N16_final_diag_penalty_aware,constrained_reward_balance,0.8784126984126981,0.8773371428571426,0.8773371428571426,0.8773371428571426,0.8773371428571426,0.8774349206349203,0.877630476190476,0.8764571428571425,0.8773664761904759,0.877630476190476,0.8778260317460316,0.8446095238095235,0.8177777777777777,0.8778260317460315,0.0069539041789347,0.0338031746031746,0.25,S3R69SNR_N16_B02_n16_run66_local,True,True,True,True,False,"[14,6,10,12,8,4,2,0,1,3,5,7,9,11,13,15]",14-6-10-12-8-4-2-0-1-3-5-7-9-11-13-15,5e0129a21f85cd34,False,NOT_RUN,Run74 handoff only. Final small-N diagnostic batch32 candidate is not teacher-validated.
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,final_smallN_diagnostic_batch32,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B02_n16_penalty,R73_N16_C00160,N16_R73_N16_C00160_N16_final_diag_penalty_aware,N16_final_diag_penalty_aware,offline_mutation_or_pointer_proxy,N16_final_diag_penalty_aware,constrained_reward_balance,0.7991666666666667,0.7973088888888888,0.7973088888888888,0.7973088888888888,0.7973088888888888,0.7974777777777777,0.7978155555555555,0.7957888888888889,0.7931595555555555,0.7978155555555556,0.7981533333333333,0.7685333333333333,0.7822222222222223,0.7981533333333333,0.0091920560611253,0.0306333333333334,0.125,S3R69SNR_N16_B02_n16_run66_local,True,True,True,True,False,"[14,6,2,8,12,10,4,0,1,3,5,7,9,11,13,15]",14-6-2-8-12-10-4-0-1-3-5-7-9-11-13-15,f2f8d60a7967d749,False,NOT_RUN,Run74 handoff only. Final small-N diagnostic batch32 candidate is not teacher-validated.
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,final_smallN_diagnostic_batch32,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B03_n16_reward_bal,R73_N16_C00057,N16_R73_N16_C00057_N16_final_diag_reward_balanced,N16_final_diag_reward_balanced,offline_mutation_or_pointer_proxy,N16_final_diag_reward_balanced,constrained_reward_balance,0.8392857142857141,0.8393834920634919,0.8393834920634919,0.8393834920634919,0.8393834920634919,0.839374603174603,0.8393568253968251,0.8394634920634918,0.8393808253968251,0.8393568253968253,0.8393390476190474,0.8070476190476188,0.8711111111111112,0.8393390476190472,0.0030817650431803,0.0322380952380952,0.25,S3R69SNR_N16_B02_n16_run66_local,True,True,True,True,False,"[14,12,10,8,6,4,2,0,1,3,5,7,9,11,13,15]",14-12-10-8-6-4-2-0-1-3-5-7-9-11-13-15,543b47f89dc534e4,False,NOT_RUN,Run74 handoff only. Final small-N diagnostic batch32 candidate is not teacher-validated.
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,final_smallN_diagnostic_batch32,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B04_n16_reward_bal,R73_N16_C01486,N16_R73_N16_C01486_N16_final_diag_reward_balanced,N16_final_diag_reward_balanced,offline_mutation_or_pointer_proxy,N16_final_diag_reward_balanced,constrained_reward_balance,0.7880952380952382,0.7860419047619049,0.7860419047619049,0.7860419047619049,0.7860419047619049,0.7862285714285715,0.7866019047619048,0.7843619047619048,0.786097904761905,0.7866019047619048,0.7869752380952381,0.757904761904762,0.7733333333333333,0.7869752380952382,0.0218819887893363,0.0301904761904762,0.1875,S3R69SNR_N16_B02_n16_run66_local,True,True,True,True,False,"[14,6,0,8,12,10,4,2,1,3,5,7,9,11,13,15]",14-6-0-8-12-10-4-2-1-3-5-7-9-11-13-15,b674fc00f675c220,False,NOT_RUN,Run74 handoff only. Final small-N diagnostic batch32 candidate is not teacher-validated.
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,final_smallN_diagnostic_batch32,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B05_n16_final_top,R73_N16_C00189,N16_R73_N16_C00189_N16_final_diag_surrogate_top,N16_final_diag_surrogate_top,existing_pool_selection,N16_final_diag_surrogate_top,constrained_reward_balance,0.8784126984126981,0.8769460317460315,0.8769460317460315,0.8769460317460316,0.8769460317460316,0.8770793650793648,0.8773460317460314,0.8757460317460314,0.8727860317460315,0.8773460317460315,0.8776126984126982,0.8446095238095235,0.8,0.8776126984126982,0.0200081326472512,0.0338031746031746,0.125,S3R69SNR_N16_B01_n16_run66_local,True,True,True,True,False,"[14,8,4,6,12,10,2,0,1,3,5,7,9,11,13,15]",14-8-4-6-12-10-2-0-1-3-5-7-9-11-13-15,e198f4b34b0fa657,False,NOT_RUN,Run74 handoff only. Final small-N diagnostic batch32 candidate is not teacher-validated.
run_74_run73_final_smallN_diagnostic_batch32_handoff_package,final_smallN_diagnostic_batch32,stage3_run74_final_smallN_diagnostic_batch32_v01,16,S3R74FSD_N16_B06_n16_final_top,R73_N16_C00029,N16_R73_N16_C00029_N16_final_diag_surrogate_top,N16_final_diag_surrogate_top,existing_pool_selection,N16_final_diag_surrogate_top,constrained_reward_balance,0.8539682539682543,0.851334920634921,0.851334920634921,0.851334920634921,0.851334920634921,0.8511765873015876,0.8513295039682542,0.8513015873015876,0.8471343789682543,0.8511515873015876,0.8514182539682543,0.8211428571428574,0.8,0.852584920634921,0.0051898666232876,0.0328253968253968,0.125,S3R69SNR_N16_B02_n16_run66_local,True,True,True,True,False,"[14,6,4,8,10,12,2,0,1,3,5,7,9,11,13,15]",14-6-4-8-10-12-2-0-1-3-5-7-9-11-13-15,b459805c4b47a188,False,NOT_RUN,Run74 handoff only. Final small-N diagnostic batch32 candidate is not teacher-validated.
