comparison,n,metric,combined520_best_strategy,combined520_best_value,run76_best_strategy,run76_best_value,run76_beats_combined520,absolute_improvement,relative_improvement_pct,combined552_new_best_strategy,combined552_new_best_source
Run76_vs_combined520,24,strict_penalty_guard,S3R44CNS_N24_B16_uncertainty,0.8505291005291007,S3R74FSD_N24_B01_n24_anchor_ref,0.7158730158730159,False,-0.1346560846560848,-15.832037325038895,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32
Run76_vs_combined520,24,penalty_repair,S3R69SNR_N24_B04_n24_uncertainty,0.8466931216931217,S3R74FSD_N24_B01_n24_anchor_ref,0.6711640211640213,False,-0.17552910052910042,-20.731135760037482,S3R69SNR_N24_B04_n24_uncertainty,run71_smallN_recovery_focused_batch40
Run76_vs_combined520,40,U2,S3R64VNR_N40_B15_n40_u2ret_anchor,4.5779268475598656e-05,S3R74FSD_N40_B01_n40_anchor_ref,5.995848368911538e-05,False,-1.4179215213516727e-05,-30.973005217579125,S3R64VNR_N40_B15_n40_u2ret_anchor,run66_variable_N_recovery_anchor_batch48
Run76_vs_combined520,40,PEEQ,S3R39N2440B60_N40_B10_surrogate_top,0.1440253555774688,S3R74FSD_N40_B01_n40_anchor_ref,0.1530008167028427,False,-0.008975461125373924,-6.231861806129113,S3R39N2440B60_N40_B10_surrogate_top,run41_native_N24_N40_focused_batch60
Run76_vs_combined520,40,SurfaceT,S3R19B28_N40_B06_uncertainty_calibration,581119040.0,S3R74FSD_N40_B01_n40_anchor_ref,582012928.0,False,-893888.0,-0.15382184001405289,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20
Run76_vs_combined520,40,Mises,N40_A07_regular_jump_coprime,579924032.0,S3R74FSD_N40_B01_n40_anchor_ref,579927488.0,False,-3456.0,-0.0005959401247920694,N40_A07_regular_jump_coprime,probe60_run08
Run76_vs_combined520,40,u2_primary,S3R64VNR_N40_B03_n40_penalty_anchor,0.9395121951219513,S3R74FSD_N40_B01_n40_anchor_ref,0.866829268292683,False,-0.07268292682926825,-7.7362409138110015,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48
Run76_vs_combined520,40,constrained_u2_reward_balanced,S3R64VNR_N40_B03_n40_penalty_anchor,0.9097560975609755,S3R74FSD_N40_B01_n40_anchor_ref,0.8353658536585367,False,-0.07439024390243887,-8.176943699731886,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48
Run76_vs_combined520,40,strict_penalty_guard,S3R64VNR_N40_B03_n40_penalty_anchor,0.8985365853658538,S3R74FSD_N40_B01_n40_anchor_ref,0.8302439024390246,False,-0.06829268292682922,-7.600434310532024,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48
Run76_vs_combined520,40,penalty_repair,S3R64VNR_N40_B03_n40_penalty_anchor,0.8760975609756098,S3R74FSD_N40_B01_n40_anchor_ref,0.8007317073170732,False,-0.07536585365853654,-8.60244988864142,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48
