n,record_source,count,best_U2_strategy,best_U2_value,best_PEEQ_strategy,best_PEEQ_value,best_SurfaceT_strategy,best_SurfaceT_value,best_Mises_strategy,best_Mises_value,best_target_reward_combined552_u2_primary_strategy,best_target_reward_combined552_u2_primary_value,best_target_reward_combined552_constrained_u2_reward_balanced_strategy,best_target_reward_combined552_constrained_u2_reward_balanced_value,best_target_reward_combined552_strict_penalty_guard_strategy,best_target_reward_combined552_strict_penalty_guard_value,best_target_reward_combined552_penalty_repair_strategy,best_target_reward_combined552_penalty_repair_value
24,run71_smallN_recovery_focused_batch40,4,S3R69SNR_N24_B01_n24_anchor_ref,5.2054501793463714e-05,S3R69SNR_N24_B03_n24_uncertainty,0.152449369430542,S3R69SNR_N24_B04_n24_uncertainty,581044032.0,S3R69SNR_N24_B03_n24_uncertainty,579943488.0,S3R69SNR_N24_B04_n24_uncertainty,0.780820105820106,S3R69SNR_N24_B04_n24_uncertainty,0.8071428571428572,S3R69SNR_N24_B04_n24_uncertainty,0.8293650793650794,S3R69SNR_N24_B04_n24_uncertainty,0.8466931216931217
24,run66_variable_N_recovery_anchor_batch48,8,S3R64VNR_N24_B07_n24_uncertainty,4.171763998783717e-05,S3R64VNR_N24_B01_n24_diversity,0.1511800736188888,S3R64VNR_N24_B08_n24_uncertainty,581858048.0,S3R64VNR_N24_B04_n24_frozen_ref,579943552.0,S3R64VNR_N24_B07_n24_uncertainty,0.7867724867724868,S3R64VNR_N24_B04_n24_frozen_ref,0.7523809523809524,S3R64VNR_N24_B04_n24_frozen_ref,0.7283068783068783,S3R64VNR_N24_B08_n24_uncertainty,0.7178571428571427
24,run61_custom_N40_focused_batch40,16,S3R59N40PR40_N24_B03_n24_penalty,4.353990880190395e-05,S3R59N40PR40_N24_B09_n24_diversity,0.1492166519165039,S3R59N40PR40_N24_B13_n24_maint,581617920.0,S3R59N40PR40_N24_B01_n24_diversity,579942912.0,S3R59N40PR40_N24_B02_n24_penalty,0.7694444444444444,S3R59N40PR40_N24_B02_n24_penalty,0.7550264550264552,S3R59N40PR40_N24_B02_n24_penalty,0.7468253968253968,S3R59N40PR40_N24_B02_n24_penalty,0.7384920634920634
24,run56_calibrated_N24_N40_batch64,32,S3R54CAL64_N24_B04_n24_u2ret_top,3.356376646479475e-05,S3R54CAL64_N24_B20_median_guard,0.1517210751771927,S3R54CAL64_N24_B10_penalty_repair,580972224.0,S3R54CAL64_N24_B14_penalty_repair,579943488.0,S3R54CAL64_N24_B09_penalty_repair,0.8403439153439155,S3R54CAL64_N24_B09_penalty_repair,0.8349206349206351,S3R54CAL64_N24_B09_penalty_repair,0.8373015873015872,S3R54CAL64_N24_B09_penalty_repair,0.828174603174603
24,run51_stricter_constrained_N24_N40_batch32,16,S3R49SCN_N24_B09_median_guard,2.9523077955673216e-05,S3R49SCN_N24_B07_two_stage,0.1539869755506515,S3R49SCN_N24_B03_strict_guard,581865344.0,S3R49SCN_N24_B15_mises_repair,579943488.0,S3R49SCN_N24_B09_median_guard,0.8130952380952382,S3R49SCN_N24_B09_median_guard,0.7452380952380951,S3R49SCN_N24_B06_two_stage,0.6886243386243387,S3R49SCN_N24_B06_two_stage,0.6638888888888889
24,run46_constrained_N24_N40_batch32,16,S3R44CNS_N24_B14_hybrid_disagree,3.166340729876538e-05,S3R44CNS_N24_B16_uncertainty,0.1528085321187973,S3R44CNS_N24_B07_surfacet_guarded,581497728.0,S3R44CNS_N24_B03_constr_surrogate,579943360.0,S3R44CNS_N24_B16_uncertainty,0.8718253968253968,S3R44CNS_N24_B16_uncertainty,0.8558201058201058,S3R44CNS_N24_B16_uncertainty,0.8505291005291007,S3R44CNS_N24_B16_uncertainty,0.83505291005291
24,run41_native_N24_N40_focused_batch60,30,S3R39N2440B60_N24_B08_n24_u2_near,3.7988751273587695e-05,S3R39N2440B60_N24_B12_surrogate_top,0.1496064215898513,S3R39N2440B60_N24_B17_diversity,581337792.0,S3R39N2440B60_N24_B17_diversity,579942848.0,S3R39N2440B60_N24_B07_n24_u2_near,0.7587301587301588,S3R39N2440B60_N24_B07_n24_u2_near,0.7158730158730158,S3R39N2440B60_N24_B07_n24_u2_near,0.7132275132275133,S3R39N2440B60_N24_B15_surrogate_top,0.6793650793650794
24,run36_N32_informed_native_batch32,12,S3R34N32INF_N24_B10_n24_calibration,3.273940910730744e-05,S3R34N32INF_N24_B02_surrogate_top,0.1497802585363388,S3R34N32INF_N24_B01_graph_pointer,581126080.0,S3R34N32INF_N24_B05_uncertainty,579943296.0,S3R34N32INF_N24_B10_n24_calibration,0.7814814814814816,S3R34N32INF_N24_B11_n24_calibration,0.7190476190476192,S3R34N32INF_N24_B01_graph_pointer,0.6756613756613757,S3R34N32INF_N24_B01_graph_pointer,0.6828042328042329
24,shortlist64_run27,24,S3R24L64_N24_B20_tradeoff_probe,5.346994021238061e-05,S3R24L64_N24_B22_sentinel_control,0.1525747328996658,S3R24L64_N24_B06_model_disagreement,580875968.0,S3R24L64_N24_B18_tradeoff_probe,579943168.0,S3R24L64_N24_B03_top_region,0.6544973544973546,S3R24L64_N24_B07_model_disagreement,0.6486772486772485,S3R24L64_N24_B07_model_disagreement,0.6798941798941798,S3R24L64_N24_B11_uncertainty_calibration,0.6953703703703704
40,run76_final_smallN_diagnostic_batch32,2,S3R74FSD_N40_B01_n40_anchor_ref,5.995848368911538e-05,S3R74FSD_N40_B01_n40_anchor_ref,0.1530008167028427,S3R74FSD_N40_B01_n40_anchor_ref,582012928.0,S3R74FSD_N40_B01_n40_anchor_ref,579927488.0,S3R74FSD_N40_B01_n40_anchor_ref,0.866829268292683,S3R74FSD_N40_B01_n40_anchor_ref,0.8353658536585367,S3R74FSD_N40_B01_n40_anchor_ref,0.8302439024390246,S3R74FSD_N40_B01_n40_anchor_ref,0.8007317073170732
40,run71_smallN_recovery_focused_batch40,4,S3R69SNR_N40_B01_n40_anchor_ref,5.276091178529896e-05,S3R69SNR_N40_B01_n40_anchor_ref,0.1530022174119949,S3R69SNR_N40_B02_n40_anchor_ref,581827520.0,S3R69SNR_N40_B02_n40_anchor_ref,579926464.0,S3R69SNR_N40_B01_n40_anchor_ref,0.9126829268292683,S3R69SNR_N40_B01_n40_anchor_ref,0.8723170731707317,S3R69SNR_N40_B01_n40_anchor_ref,0.8617073170731708,S3R69SNR_N40_B01_n40_anchor_ref,0.8273170731707318
40,run66_variable_N_recovery_anchor_batch48,16,S3R64VNR_N40_B15_n40_u2ret_anchor,4.5779268475598656e-05,S3R64VNR_N40_B12_n40_u2ret_anchor,0.1525734812021255,S3R64VNR_N40_B07_n40_penalty_anchor,581830016.0,S3R64VNR_N40_B16_n40_u2ret_anchor,579926336.0,S3R64VNR_N40_B03_n40_penalty_anchor,0.9395121951219513,S3R64VNR_N40_B03_n40_penalty_anchor,0.9097560975609755,S3R64VNR_N40_B03_n40_penalty_anchor,0.8985365853658538,S3R64VNR_N40_B03_n40_penalty_anchor,0.8760975609756098
40,run61_custom_N40_focused_batch40,24,S3R59N40PR40_N40_B17_n40_two_stage,5.130235695105512e-05,S3R59N40PR40_N40_B06_n40_no_median,0.1516209989786148,S3R59N40PR40_N40_B09_n40_penalty_repair,582004416.0,S3R59N40PR40_N40_B02_n40_peeq_repair,579926528.0,S3R59N40PR40_N40_B17_n40_two_stage,0.9131707317073171,S3R59N40PR40_N40_B17_n40_two_stage,0.8631707317073171,S3R59N40PR40_N40_B17_n40_two_stage,0.8507317073170733,S3R59N40PR40_N40_B08_n40_penalty_repair,0.8356097560975609
40,run56_calibrated_N24_N40_batch64,32,S3R54CAL64_N40_B12_penalty_repair,5.201993008085992e-05,S3R54CAL64_N40_B32_diversity,0.1480723470449447,S3R54CAL64_N40_B14_penalty_repair,582003392.0,S3R54CAL64_N40_B21_median_guard,579925888.0,S3R54CAL64_N40_B11_penalty_repair,0.8643902439024391,S3R54CAL64_N40_B11_penalty_repair,0.8508536585365853,S3R54CAL64_N40_B11_penalty_repair,0.8500000000000001,S3R54CAL64_N40_B11_penalty_repair,0.8360975609756097
40,run51_stricter_constrained_N24_N40_batch32,16,S3R49SCN_N40_B04_strict_guard,6.170961933094077e-05,S3R49SCN_N40_B09_median_guard,0.1534324586391449,S3R49SCN_N40_B05_two_stage,581980672.0,S3R49SCN_N40_B11_peeq_repair,579926528.0,S3R49SCN_N40_B09_median_guard,0.8131707317073171,S3R49SCN_N40_B09_median_guard,0.8026829268292683,S3R49SCN_N40_B09_median_guard,0.802439024390244,S3R49SCN_N40_B09_median_guard,0.7946341463414633
40,run46_constrained_N24_N40_batch32,16,S3R44CNS_N40_B01_reward_balanced,5.7689914683578536e-05,S3R44CNS_N40_B08_surfacet_guarded,0.1534235626459121,S3R44CNS_N40_B05_peeq_guarded,581921728.0,S3R44CNS_N40_B04_constr_surrogate,579926528.0,S3R44CNS_N40_B05_peeq_guarded,0.8253658536585367,S3R44CNS_N40_B05_peeq_guarded,0.7760975609756098,S3R44CNS_N40_B05_peeq_guarded,0.7609756097560976,S3R44CNS_N40_B08_surfacet_guarded,0.7370731707317073
40,run41_native_N24_N40_focused_batch60,30,S3R39N2440B60_N40_B04_n40_u2_near,6.792713247705251e-05,S3R39N2440B60_N40_B10_surrogate_top,0.1440253555774688,S3R39N2440B60_N40_B01_n40_u2_near,581616832.0,S3R39N2440B60_N40_B25_diversity,579924352.0,S3R39N2440B60_N40_B04_n40_u2_near,0.7941463414634147,S3R39N2440B60_N40_B04_n40_u2_near,0.7704878048780488,S3R39N2440B60_N40_B02_n40_u2_near,0.7792682926829269,S3R39N2440B60_N40_B02_n40_u2_near,0.7820731707317072
40,run36_N32_informed_native_batch32,12,S3R34N32INF_N40_B08_n40_best_near,5.696606240235269e-05,S3R34N32INF_N40_B06_diversity,0.1472502499818802,S3R34N32INF_N40_B10_n40_best_near,581764736.0,S3R34N32INF_N40_B06_diversity,579925120.0,S3R34N32INF_N40_B08_n40_best_near,0.8051219512195121,S3R34N32INF_N40_B08_n40_best_near,0.7529268292682927,S3R34N32INF_N40_B10_n40_best_near,0.725609756097561,S3R34N32INF_N40_B10_n40_best_near,0.6950000000000001
40,shortlist64_run27,24,S3R24L64_N40_B23_exploitation_reference,5.95808796788333e-05,S3R24L64_N40_B24_exploitation_reference,0.1537862718105316,S3R24L64_N40_B01_top_region,581591424.0,S3R24L64_N40_B21_sentinel_control,579924800.0,S3R24L64_N40_B23_exploitation_reference,0.8282926829268293,S3R24L64_N40_B23_exploitation_reference,0.7834146341463415,S3R24L64_N40_B23_exploitation_reference,0.7721951219512195,S3R24L64_N40_B23_exploitation_reference,0.7412195121951219
