n,count,bucket_composition_json,candidate_family_composition_json,mean_pred_reward_ET_F01,max_pred_reward_ET_F01,mean_novelty_distance_to_combined108,mean_uncertainty_ET_F01_std,mean_model_disagreement_std
12,8,"{""diversity_coverage"": 1, ""exploitation_reference"": 1, ""model_disagreement"": 1, ""sentinel_control"": 1, ""top_region_local_search"": 2, ""tradeoff_probe"": 1, ""uncertainty_calibration"": 1}","{""combined108_seed_mutation"": 1, ""known_best_mutation"": 5, ""negative_control_low_adjacent"": 1, ""teacher_best_local_search"": 1}",0.5895102062877131,0.7810377734675663,0.17803030303030304,0.09738765560850304,0.14893119114355208
16,8,"{""diversity_coverage"": 1, ""exploitation_reference"": 1, ""model_disagreement"": 1, ""sentinel_control"": 1, ""top_region_local_search"": 2, ""tradeoff_probe"": 1, ""uncertainty_calibration"": 1}","{""combined108_seed_mutation"": 1, ""known_best_mutation"": 6, ""teacher_best_local_search"": 1}",0.5923782655548937,0.7736652773863834,0.21250000000000002,0.10532651414000817,0.14938661487488755
24,24,"{""diversity_coverage"": 4, ""exploitation_reference"": 2, ""model_disagreement"": 4, ""sentinel_control"": 2, ""top_region_local_search"": 5, ""tradeoff_probe"": 3, ""uncertainty_calibration"": 4}","{""known_best_mutation"": 22, ""teacher_best_local_search"": 2}",0.6178025418235368,0.760532451260521,0.1490036231884058,0.11798186828556562,0.15414819132565186
40,24,"{""diversity_coverage"": 4, ""exploitation_reference"": 2, ""model_disagreement"": 4, ""sentinel_control"": 2, ""top_region_local_search"": 5, ""tradeoff_probe"": 3, ""uncertainty_calibration"": 4}","{""diversity_random"": 1, ""geometry_signal_center_bias"": 1, ""geometry_signal_parity_switch"": 3, ""known_best_mutation"": 17, ""teacher_best_local_search"": 2}",0.5425244645370184,0.7793373847495568,0.2729166666666667,0.09596633736468908,0.1360334061364489
